Figure 3. Soil C stock (Mg C ha^-1) within each incremental soil depth (a) or mass (b); values are mean +/- one standard error of the six plots for each pasture and eucalyptus pair. Significant Student's t-test results comparing the means between pairs for each depth or mass increment are shown; ** indicates p < 0.05 and * indicates p < 0.10; actual p-values are listed for significant differences.,,,,,,,
x,y,standard error difference,x axis label,y axis label,location,p-values,graph label
138.7,0-20,6.2,carbon stock (mg C ha^-1),Depth (cm),Pasture,-,a
133.1,0-20,4.8,carbon stock (mg C ha^-1),Depth (cm),Eucalyptus,p = 0.003**,a
83.6,20-40,4.5,carbon stock (mg C ha^-1),Depth (cm),Pasture,p = 0.071*,a
117.5,20-40,4.2,carbon stock (mg C ha^-1),Depth (cm),Eucalyptus,-,a
83.8,40-60,4.8,carbon stock (mg C ha^-1),Depth (cm),Pasture,-,a
106,40-60,5,carbon stock (mg C ha^-1),Depth (cm),Eucalyptus,-,a
80,60-80,4.9,carbon stock (mg C ha^-1),Depth (cm),Pasture,-,a
95.3,60-80,4.2,carbon stock (mg C ha^-1),Depth (cm),Eucalyptus,-,a
69.9,80-100,4.8,carbon stock (mg C ha^-1),Depth (cm),Pasture,-,a
76.8,80-100,4.3,carbon stock (mg C ha^-1),Depth (cm),Eucalyptus,-,a
59.9,100-120,3.8,carbon stock (mg C ha^-1),Depth (cm),Pasture,-,a
64,100-120,6.2,carbon stock (mg C ha^-1),Depth (cm),Eucalyptus,-,a
143.4,800,11.1,carbon stock (mg C ha^-1),Cumulative soil mass (Mg ha^-1),Pasture,-,b
128,800,6.5,carbon stock (mg C ha^-1),Cumulative soil mass (Mg ha^-1),Eucalyptus,-,b
116.2,1600,8.5,carbon stock (mg C ha^-1),Cumulative soil mass (Mg ha^-1),Pasture,-,b
115.4,1600,7.7,carbon stock (mg C ha^-1),Cumulative soil mass (Mg ha^-1),Eucalyptus,-,b
102.1,2400,6.8,carbon stock (mg C ha^-1),Cumulative soil mass (Mg ha^-1),Pasture,-,b
106.1,2400,5.5,carbon stock (mg C ha^-1),Cumulative soil mass (Mg ha^-1),Eucalyptus,-,b
88.2,3200,5.8,carbon stock (mg C ha^-1),Cumulative soil mass (Mg ha^-1),Pasture,-,b
96.6,3200,4.9,carbon stock (mg C ha^-1),Cumulative soil mass (Mg ha^-1),Eucalyptus,-,b
74.1,4000,5.7,carbon stock (mg C ha^-1),Cumulative soil mass (Mg ha^-1),Pasture,p = 0.085*,b
87.2,4000,4.3,carbon stock (mg C ha^-1),Cumulative soil mass (Mg ha^-1),Eucalyptus,-,b
