"Table 2. Soil carbon stocks (Mg C ha^-1) calculated by both the bulk density method (to 1 m) and the equivalent soil mass method (to 4000 g soil). Mean values (+/- one standard error) of the five soil cores quantified for each plot are reported for the pasture and eucalyptus plot pairs. The change in C stock between pasture and eucalyptus (D) and the percent change (% D) were calculated for each plot pair. Biomass C (Mg C ha^-1 ), both aboveground (AG) and belowground (BG) and the sum (AG CBG) also are reported for the eucalyptus plots.",,,,,
Plot,Method,Pasture,Eucalyptus,$\Delta$,% $\Delta$
1,Bulk density method (Mg C ha^-1 in 1 m),429.4 +/- 16.7,534.4 +/- 43.6,114,26.6
2,Bulk density method (Mg C ha^-1 in 1 m),486.4 +/- 12.7,641.7 +/- 44.6,155.2,31.9
3,Bulk density method (Mg C ha^-1 in 1 m),431.7 +/- 21.4,535.1 +/- 22.8,103.4,23.9
4,Bulk density method (Mg C ha^-1 in 1 m),479.6 +/- 25.8,652.0 +/-26.9,172.4,35.9
5,Bulk density method (Mg C ha^-1 in 1 m),663.9 +/- 20.7,661.8 +/- 34.9,-2.1,-0.3
6,Bulk density method (Mg C ha^-1 in 1 m),618.2 +/- 68.3,537.0 +/- 24.7,-81.1,-13.1
Mean,Bulk density method (Mg C ha^-1 in 1 m),518.2 +/- 40.5,595.2 +/- 25.5,77.0 +/- 40.2,17.5 +/- 8.0
1,Equivalent soil mass method (Mg C ha^-1 in 4 kg),450.4 +/- 10.0,477.0 +/- 19.8,26.6,5.9
2,Equivalent soil mass method (Mg C ha^-1 in 4 kg),505.1 +/- 4.8,505.1 +/- 4.8,23.8,4.9
3,Equivalent soil mass method (Mg C ha^-1 in 4 kg),518.9 +/- 21.6,518.9 +/- 21.6,71.8,16.1
4,Equivalent soil mass method (Mg C ha^-1 in 4 kg),568.0 +/- 40.0,568.0 +/- 40.0,23.1,4.2
5,Equivalent soil mass method (Mg C ha^-1 in 4 kg),680.4 +/- 26.1,637.3 +/- 28.3,-43.1,-6.3
6,Equivalent soil mass method (Mg C ha^-1 in 4 kg),492.33 +/- 14.4,492.33 +/- 14.3,-48.5,-8.9
Mean,Equivalent soil mass method (Mg C ha^-1 in 4 kg),524.2 +/- 23.4,533.1 +/- 14.5,8.9 +/- 18.9,2.6 +/- 3.7
1,AG Biomass C (Mg C ha^-1) ,,55,,
2,AG Biomass C (Mg C ha^-1) ,,66.9,,
3,AG Biomass C (Mg C ha^-1) ,,68.7,,
4,AG Biomass C (Mg C ha^-1) ,,60.4,,
5,AG Biomass C (Mg C ha^-1) ,,51.1,,
6,AG Biomass C (Mg C ha^-1) ,,41.2,,
Mean,AG Biomass C (Mg C ha^-1) ,,57.2 +/- 4.2,,
1,BG Biomass C (Mg C ha^-1) ,,11,,
2,BG Biomass C (Mg C ha^-1) ,,13.4,,
3,BG Biomass C (Mg C ha^-1) ,,13.7,,
4,BG Biomass C (Mg C ha^-1) ,,12.1,,
5,BG Biomass C (Mg C ha^-1) ,,10.2,,
6,BG Biomass C (Mg C ha^-1) ,,8.2,,
Mean,BG Biomass C (Mg C ha^-1) ,,11.4 +/- 0.8,,
1,AG + BG Biomass C (Mg C ha^-1) ,,66,,
2,AG + BG Biomass C (Mg C ha^-1) ,,80.3,,
3,AG + BG Biomass C (Mg C ha^-1) ,,82.4,,
4,AG + BG Biomass C (Mg C ha^-1) ,,72.5,,
5,AG + BG Biomass C (Mg C ha^-1) ,,61.3,,
6,AG + BG Biomass C (Mg C ha^-1) ,,49.4,,
Mean,AG + BG Biomass C (Mg C ha^-1) ,,68.7 +/- 5.1,,
