Table 1: species compositions of the different litter mixtures and single-species treatments used in the experiment,"Species abbreviations are As = Avena sterilis L. (annual grass); Hb = Hordeum bulbosum L.; Pc = Phalaris coerulescens Desf. and Fa = Festuca arundinacea Schreb. ssp. arundinacea (perennial grasses); Bb = Bituminaria bituminosa (L.) Stirton and Tr = Trifolium repens L. (perennial legumes); Hi = Hirschfeldia incana (L.) Lagreze-Fossat (annual non-leguminous forbs); Pl = Plantago lanceolata L., Bt = Bellevalia trifoliata (Ten) Kunth and Ms = Malva sylvestris L. (perennial non-leguminous forbs).",,
Species mixture,Species richness,Species composition,
1-10,1,"Litter of each individual species: As, Hb, Pc, Fa, Bb, Tr, Hi, Pl, Bt, Ms",
11,3,"Pc, Hb, Bb",
12,3,"Hi, Ms, As",
13,3,"Tr, Pl, Bt",
14,3,"Hb, Bb, Fa",
15,3,"Bt, Hi, Ms",
16,6,"Pc, Hb, Bb, Fa, Tr, Pl",
17,6,"Tr, Pl, Bt, Hi, Ms, As",
18,6,"Bb, Fa, Tr, Pl, Bt, Hi",
19,6,"Pc, Hb, Bb, Fa, Ms, As",
20,6,"Pc, Hb, Bt, Hi, Ms, As",
