"wo-v9-4_Aug2025_UG_FIADB_database_description_NFI.pdf						",,,
Name,Code,Description,Table_ID
PLOT_STATUS_CD,1,Sampled - at least one accessible forest land condition present on plot.,ENTIRE_PLOT
PLOT_STATUS_CD,2,Sampled - no accessible forest land condition present on plot.,ENTIRE_PLOT
PLOT_STATUS_CD,3,Nonsampled.,ENTIRE_PLOT
PLOT_NONSAMPLE_REASN_CD,1,Outside U.S. boundary - Entire plot is outside of the U.S. border.,ENTIRE_PLOT
PLOT_NONSAMPLE_REASN_CD,2,"Denied access area - Access to the entire plot is denied by the legal owner, or by the owner of the only reasonable route to the plot.",ENTIRE_PLOT
PLOT_NONSAMPLE_REASN_CD,3,"Hazardous - Entire plot cannot be accessed because of a hazard or danger, for example cliffs, quarries, strip mines, illegal substance plantations, high water, etc.",ENTIRE_PLOT
PLOT_NONSAMPLE_REASN_CD,5,Lost data - Plot data file was discovered to be corrupt after a panel was completed and submitted for processing.,ENTIRE_PLOT
PLOT_NONSAMPLE_REASN_CD,6,Lost plot - Entire plot cannot be found.,ENTIRE_PLOT
PLOT_NONSAMPLE_REASN_CD,7,"Wrong location - Previous plot can be found, but its placement is beyond the tolerance limits for plot location.",ENTIRE_PLOT
PLOT_NONSAMPLE_REASN_CD,8,Skipped visit - Entire plot skipped. Used for plots that are not completed prior to the time a panel is finished and submitted for processing. This code is for office use only.,ENTIRE_PLOT
PLOT_NONSAMPLE_REASN_CD,9,Dropped intensified plot - Intensified plot dropped due to a change in grid density. This code used only by units engaged in intensification. This code is for office use only.,ENTIRE_PLOT
PLOT_NONSAMPLE_REASN_CD,10,Other - Entire plot not sampled due to a reason other than one of the specific reasons already listed.,ENTIRE_PLOT
PLOT_NONSAMPLE_REASN_CD,11,Ocean - Plot falls in ocean water below mean high tide line.,ENTIRE_PLOT
MEASMON,1,January.,ENTIRE_PLOT
MEASMON,2,February.,ENTIRE_PLOT
MEASMON,3,March.,ENTIRE_PLOT
MEASMON,4,April.,ENTIRE_PLOT
MEASMON,5,May.,ENTIRE_PLOT
MEASMON,6,June.,ENTIRE_PLOT
MEASMON,7,July.,ENTIRE_PLOT
MEASMON,8,August.,ENTIRE_PLOT
MEASMON,9,September.,ENTIRE_PLOT
MEASMON,10,October.,ENTIRE_PLOT
MEASMON,11,November.,ENTIRE_PLOT
MEASMON,12,December.,ENTIRE_PLOT
KINDCD,0,Periodic inventory plot.,ENTIRE_PLOT
KINDCD,1,Initial installation of a national design plot or resampling of a national design plot that was coded as nonsampled (PLOT_STATUS_CD = 3) at the previous visit.,ENTIRE_PLOT
KINDCD,2,Remeasurement of previously installed national design plot.,ENTIRE_PLOT
KINDCD,3,Replacement of previously installed national design plot.,ENTIRE_PLOT
KINDCD,4,Modeled periodic inventory plot (Northeastern and North Central only).,ENTIRE_PLOT
RDDISTCD,1,100 ft or less.,ENTIRE_PLOT
RDDISTCD,2,101 ft to 300 ft.,ENTIRE_PLOT
RDDISTCD,3,301 ft to 500 ft.,ENTIRE_PLOT
RDDISTCD,4,501 ft to 1000 ft.,ENTIRE_PLOT
RDDISTCD,5,1001 ft to 1/2 mile.,ENTIRE_PLOT
RDDISTCD,6,1/2 to 1 mile.,ENTIRE_PLOT
RDDISTCD,7,1 to 3 miles.,ENTIRE_PLOT
RDDISTCD,8,3 to 5 miles.,ENTIRE_PLOT
RDDISTCD,9,Greater than 5 miles.,ENTIRE_PLOT
WATERCD,0,None - no water sources within the sampled condition class(es).,ENTIRE_PLOT
WATERCD,1,Permanent streams or ponds too small to qualify as noncensus water.,ENTIRE_PLOT
WATERCD,2,"Permanent water in the form of deep swamps, bogs, marshes without standing trees present and less than 1.0 acre in size, or with standing trees.",ENTIRE_PLOT
WATERCD,3,"Ditch/canal - human-made channels used as a means of moving water, e.g., for irrigation or drainage, which are too small to qualify as noncensus water.",ENTIRE_PLOT
WATERCD,4,Temporary streams.,ENTIRE_PLOT
WATERCD,5,Flood zones - evidence of flooding when bodies of water exceed their natural banks.,ENTIRE_PLOT
WATERCD,9,Other temporary water.,ENTIRE_PLOT
GROW_TYP_CD,1,Current annual.,ENTIRE_PLOT
GROW_TYP_CD,2,Periodic annual.,ENTIRE_PLOT
MORT_TYP_CD,1,Current annual.,ENTIRE_PLOT
MORT_TYP_CD,2,Periodic annual.,ENTIRE_PLOT
KINDCD_NC,0,New/lost.,ENTIRE_PLOT
KINDCD_NC,6,Remeasured.,ENTIRE_PLOT
KINDCD_NC,8,Old location but not remeasured.,ENTIRE_PLOT
KINDCD_NC,20,Skipped.,ENTIRE_PLOT
KINDCD_NC,33,Replacement of lost plot.,ENTIRE_PLOT
QA_STATUS,1,Standard production plot.,ENTIRE_PLOT
QA_STATUS,2,Cold check.,ENTIRE_PLOT
QA_STATUS,3,Reference plot (off grid).,ENTIRE_PLOT
QA_STATUS,4,Training/practice plot (off grid).,ENTIRE_PLOT
QA_STATUS,5,Botched plot file (disregard during data processing).,ENTIRE_PLOT
MICROPLOT_LOC,OFFSET,The microplot center is offset from the subplot center.,ENTIRE_PLOT
MICROPLOT_LOC,CENTER,The microplot center is at the subplot center.,ENTIRE_PLOT
SAMP_METHOD_CD,1,"Field visited, meaning a field crew physically examined the plot and recorded information at least about subplot 1 center condition (see SUBP_EXAMINE_CD below).",ENTIRE_PLOT
SAMP_METHOD_CD,2,"Remotely sensed, meaning a determination was made using some type of imagery that a field visit was not necessary. When the plot is sampled remotely, the number of subplots examined (SUBP_EXAMINE_CD) usually equals 1.",ENTIRE_PLOT
SUBP_EXAMINE_CD,1,Only subplot 1 center condition examined and all other subplots assumed (inferred) to be the same.,ENTIRE_PLOT
SUBP_EXAMINE_CD,4,All four subplots fully described (no assumptions/inferences).,ENTIRE_PLOT
TOPO_POSITION_PNW,1,Topographic coverage: Ridge top or mountain peak over 130 feet. Common shape of slope: Flat.,ENTIRE_PLOT
TOPO_POSITION_PNW,2,Topographic coverage: Narrow ridge top or mountain peak over 130 feet wide. Common shape of slope: Convex.,ENTIRE_PLOT
