Subsection, Column name (attribute),Descriptive name, Oracle data type,Description,,
2.4.1,CN,Sequence number,VARCHAR2(34),A unique sequence number used to identify a plot record.,,
2.4.2,SRV_CN,Survey sequence number,VARCHAR2(34),Foreign key linking the plot record to the survey record.,,
2.4.3,CTY_CN,County sequence number,VARCHAR2(34),Foreign key linking the plot record to the county record.,,
2.4.4,PREV_PLT_CN,Previous plot sequence number,VARCHAR2(34),"Foreign key linking the plot record to the previous inventory's plot record for this location. Only populated on remeasurement plots.
Note: If the previous plot was classified as periodic, PREV_PLT_CN will not link to the periodic record.",,
2.4.5,INVYR,Inventory year,NUMBER(4),"The year that best represents when the inventory data were collected. Under the annual inventory system, a group of plots is selected each year for sampling. The selection is based on a panel system. INVYR is the year in which the majority of plots in that group were collected (plots in the group have the same panel and, if applicable, subpanel). Under periodic inventory, a reporting inventory year was selected, usually based on the year in which the majority of the plots were collected or the mid-point of the years over which the inventory spanned. For either annual or periodic inventory, INVYR is not necessarily the same as MEASYEAR. Exceptions: INVYR = 9999. INVYR is set to 9999 to distinguish Phase 3 plots taken by the western FIA work units that are ""off subpanel."" This is due to differences in measurement intervals between Phase 3 (measurement interval = 5 years) and Phase 2 (measurement interval = 10 years) plots. Only users interested in performing certain Phase 3 data analyses should access plots with this anomalous value in INVYR.",,See SURVEY.INVYR description for definition. 
2.4.6,STATECD,State code,NUMBER(4),Bureau of the Census Federal Information Processing Standards (FIPS) 2-digit code for each State. Refer to appendix B.,,
2.4.7,UNITCD,Survey unit,NUMBER(2),"Forest Inventory and Analysis survey unit identification number. Survey units are usually groups of counties within each State. For periodic inventories, survey units may be made up of lands of particular owners. Refer to appendix B for codes.",,
2.4.8,COUNTYCD,County code,NUMBER(3),"The identification number for a county, parish, watershed, borough, or similar governmental unit in a State. FIPS codes from the Bureau of the Census are used. Refer to appendix B for codes. Note: Summarizing data by county is not recommended for Alaska datasets. For assistance with analyses for Alaska, please consult the PNWRS analyst contact listed in table 1-1.",,
2.4.9,PLOT,Plot number,NUMBER(5),"An identifier for a plot. Along with STATECD, INVYR, UNITCD, COUNTYCD and/or some other combinations of variables, PLOT may be used to uniquely identify a plot.",,
2.4.10,PLOT_STATUS_CD,Plot status,NUMBER(1),A code that describes the sampling status of the plot. May not be populated for some FIA work units when MANUAL <1.0.,,
2.4.11,PLOT_NONSAMPLE_REASN_CD,Plot nonsampled,NUMBER(2),A code indicating the reason an entire plot was not sampled.,,
2.4.12,MEASYEAR,Measurement year,NUMBER(4),The year in which the plot was completed. MEASYEAR may differ from INVYR. May be blank (null) for periodic inventory or when PLOT_STATUS_CD = 3.,,
2.4.13,MEASMON,Measurement month,NUMBER(2),The month in which the plot was completed. May be blank (null) for periodic inventory or when PLOT_STATUS_CD = 3.,,
2.4.14,MEASDAY,Measurement day,NUMBER(2),The day of the month in which the plot was completed. May be blank (null) for periodic inventory or when PLOT_STATUS_CD = 3.,,
2.4.15,REMPER,Remeasurement period,"NUMBER(3,1)","The number of years between measurements for remeasured plots to the nearest 0.1 year. This attribute is blank (null) for new plots or remeasured plots that are not used for growth, removals, or mortality estimates.",,
2.4.16,KINDCD,Sample kind,NUMBER(2),"A code indicating the type of plot installation. Database users may also want to examine DESIGNCD to obtain additional information about the kind of plot being selected. Revisited plots with KINDCD = 1, 3 are not used for remeasurement estimates.",,
2.4.17,DESIGNCD,Design code,NUMBER(4),A code indicating the type of plot design used to collect the data. Refer to appendix G for a list of codes and descriptions.,,
2.4.18,RDDISTCD,Horizontal distance to improved road code,NUMBER(2),"The straight-line distance from plot center to the nearest improved road, which is a road of any width that is maintained as evidenced by pavement, gravel, grading, ditching, and/or other improvements. May not be populated for some FIA work units when MANUAL <1.0.",,
2.4.19,WATERCD,Water on,NUMBER(2),Water body <1 acre in size or a stream <30 feet wide that has the greatest impact on the area within the sampled portions of any of the four subplots. The coding hierarchy is listed in order from large permanent water to temporary water. May not be populated for some FIA work units.,,
2.4.20,LAT,"Latitude NUMBER(8,6)","NUMBER(8,6)","The approximate latitude of the plot in decimal degrees using NAD 83 datum (these Pacific Islands plots use WSG84 datum - SURVEY.RSCD = 26 and SURVEY.STATECD = 60, 64, 66, 68, 69, or 70). Actual plot coordinates cannot be released because of a Privacy provision enacted by Congress in the Food Security Act of 1985. Therefore, this attribute is approximately +/- 1 mile and, for annual inventory data, most plots are within +/- ½ mile. Annual data have additional uncertainty for private plots caused by swapping plot coordinates for up to 20 percent of the plots. In some cases, the county centroid is used when the actual coordinate is not available.",,
2.4.21,LON,"Longitude NUMBER(9,6)","NUMBER(9,6)","The approximate longitude of the plot in decimal degrees using NAD 83 datum (these Pacific Islands plots use WSG84 datum - SURVEY.RSCD = 26 and SURVEY.STATECD = 60, 64, 66, 68, 69, or 70). Actual plot coordinates cannot be released because of a Privacy provision enacted by Congress in the Food Security Act of 1985. Therefore, this attribute is approximately +/- 1 mile and, for annual inventory data, most plots are within +/- ½ mile. Annual data have additional uncertainty for private plots caused by swapping plot coordinates for up to 20 percent of the plots. In some cases, the county centroid is used when the actual coordinate is not available.",,
