wo-v9-4_Aug2025_UG_FIADB_database_description_NFI.pdf,,,,
Subsection, Column name (attribute),Descriptive name, Oracle data type,Description
2.6.1,CN,Sequence number,VARCHAR2(34),A unique sequence number used to identify a subplot record.
2.6.2,PLT_CN,Plot sequence number,VARCHAR2(34),Foreign key linking the subplot record to the plot record.
2.6.3,PREV_SBP_CN,Previous subplot sequence number ,VARCHAR2(34),Foreign key linking the subplot record to the previous inventory's subplot record for this subplot. Only populated on annual remeasured plots.
2.6.4,INVYR,Inventory year,NUMBER(4),"The year that best represents when the inventory data were collected. Under the annual inventory system, a group of plots is selected each year for sampling. The selection is based on a panel system. INVYR is the year in which the majority of plots in that group were collected (plots in the group have the same panel and, if applicable, subpanel). Under periodic inventory, a reporting inventory year was selected, usually based on the year in which the majority of the plots were collected or the mid-point of the years over which the inventory spanned. For either annual or periodic inventory, INVYR is not necessarily the same as MEASYEAR. Exceptions: INVYR = 9999. INVYR is set to 9999 to distinguish Phase 3 plots taken by the western FIA work units that are ""off subpanel."" This is due to differences in measurement intervals between Phase 3 (measurement interval = 5 years) and Phase 2 (measurement interval = 10 years) plots. Only users interested in performing certain Phase 3 data analyses should access plots with this anomalous value in INVYR."
2.6.5,STATECD,State code,NUMBER(4),Bureau of the Census Federal Information Processing Standards (FIPS) 2-digit code for each State. Refer to appendix B.
2.6.6,UNITCD,Survey unit code,NUMBER(2),"Forest Inventory and Analysis survey unit identification number. Survey units are usually groups of counties within each State. For periodic inventories, survey units may be made up of lands of particular owners. Refer to appendix B for codes."
2.6.7,COUNTYCD,County code,NUMBER(3),"The identification number for a county, parish, watershed, borough, or similar governmental unit in a State. FIPS codes from the Bureau of the Census are used. Refer to appendix B for codes. Note: Summarizing data by county is not recommended for Alaska datasets. For assistance with analyses for Alaska, please consult the PNWRS analyst contact listed in table 1-1."
2.6.8,PLOT,Plot number,NUMBER(5),"An identifier for a plot. Along with STATECD, INVYR, UNITCD, COUNTYCD and/or some other combinations of variables, PLOT may be used to uniquely identify a plot."
2.6.9,SUBP,Subplot number,NUMBER(3),"The number assigned to the subplot. The national plot design (PLOT.DESIGNCD = 1) has subplot number values of 1 through 4. Other plot designs have various subplot number values. See PLOT.DESIGNCD and appendix G for information about plot designs. For more explanation about SUBP, contact the appropriate FIA work unit (table 1-1)."
2.6.10,SUBP_STATUS_CD,Subplot/macroplot status code,NUMBER(1),A code indicating whether or not forest land was sampled on the subplot/macroplot. May be blank (null) in periodic inventories and where SUBP >4.
2.6.11,POINT_NONSAMPLE_REASN_CD,Point nonsampled reason code,NUMBER(2),A code indicating the reason an entire subplot (or macroplot) was not sampled.
2.6.12,MICRCOND,Microplot center condition,NUMBER(1),Condition number for the condition at the center of the microplot.
2.6.13,SUBPCOND,Subplot center condition ,NUMBER(1),Condition number for the condition at the center of the subplot.
2.6.14,MACRCOND,Macroplot center condition ,NUMBER(1),Condition number for the condition at the center of the macroplot. Blank (null) if macroplot is not measured.
2.6.15,CONDLIST,Subplot/macroplot condition list ,NUMBER(4),"(core optional) This is a listing of all condition classes located within the 24.0/58.9-foot radius around the subplot/macroplot center. A maximum of four conditions is permitted on any individual subplot/macroplot. For example, a value of 2300 indicates that conditions 2 and 3 are on the subplot/macroplot."
2.6.16,SLOPE,Subplot percent slope,NUMBER(3),"The predominant or average angle of the slope across the subplot, to the nearest 1 percent. Valid values are 0 through 155."
2.6.17,ASPECT,Subplot aspect ,NUMBER(3),"The aspect across the subplot, to the nearest 1 degree. Aspect is measured by sighting along the direction used to determine slope. North is recorded as 360. When slope is <5 percent, there is no aspect and it is recorded as 0."
2.6.18,WATERDEP,Snow/water depth ,"NUMBER(2,1)","The approximate depth in feet of water or snow covering the subplot. Not collected for certain FIA work units in 1999 (SURVEY.RSCD = 23, 24). May not be populated for some FIA work units when PLOT.MANUAL <1.0."
2.6.19,P2A_GRM_FLG,"Periodic to annual growth, removal,
and mortality flag",VARCHAR2(1),"A code indicating if this subplot is part of a periodic inventory that is only included for the purposes of computing growth, removals and/or mortality estimates, referred to as GRM throughout this document. The flag is set to 'Y' for those subplots that are needed for change estimation and otherwise is left blank (null)."
2.6.20,CREATED_BY,Created by,VARCHAR2(30),The employee who created the record. This attribute is intentionally left blank (null) in download files.
2.6.21,CREATED_DATE,Created date,DATE,The date the record was created.
2.6.22,CREATED_IN_INSTANCE,Created in instance,VARCHAR2(6),The database instance in which the record was created. Each computer system has a unique database instance code and this attribute stores that information to determine on which computer the record was created.
2.6.23,MODIFIED_BY,Modified by,VARCHAR2(30),The employee who modified the record. This field will be blank (null) if the data have not been modified since initial creation. This attribute is intentionally left blank in download files.
2.6.24,MODIFIED_DATE,Modified date,DATE,The date the record was last modified. This field will be blank (null) if the data have not been modified since initial creation.
