"Oracle table name: SUBP_SOIL_SAMPLE_LOC; FIADB User Guides - Volume: Database Description (version 9.4); Chapter 8: Database Tables - Soils, Pacific
Northwest Research Station (PNWRS). The soils tables in this chapter are currently only populated by the PNWRS FIA work unit
(SURVEY.RSCD = 26, 27).
Refer to the ""The Forest Inventory and Analysis Database: Database Description and User Guide for Phase 3 (version 6.0.1)"" for documentation pertaining to other soils tables populated by FIA (available at web address: https://research.fs.usda.gov/products/dataandtools/fia-datamart).",,,,
Subsection, Column name (attribute),Descriptive name, Oracle data type,Description
8.1.1,CN,Sequence number,VARCHAR2(34),A unique sequence number used to identify a subplot soil sample location record.
8.1.2,PLT_CN,Plot sequence number,VARCHAR2(34),Foreign key linking the subplot soil sample location record to the plot record.
8.1.3,STATECD,State code,NUMBER(2),Bureau of the Census Federal Information Processing Standards (FIPS) 2-digit code for each State. Refer to appendix B.
8.1.4,COUNTYCD,County code,NUMBER(3),"The identification number for a county, parish, watershed, borough, or similar governmental unit in a State. FIPS codes from the Bureau of the Census are used. Refer to appendix B for codes. Note: Summarizing data by county is not recommended for Alaska datasets. For assistance with analyses for Alaska, please consult the PNWRS analyst contact listed in table 1-1."
8.1.5,PLOT,Plot number ,NUMBER(5),"An identifier for a plot. Along with STATECD, INVYR, UNITCD, COUNTYCD and/or some other combinations of variables, PLOT may be used to uniquely identify a plot."
8.1.6,INV_VST_NBR ,Inventory visit number ,NUMBER(2),"Visit number within a cycle. A plot is usually visited once per cycle, but may be visited again for quality assurance visits or other measurements."
8.1.7,INVYR,Inventory year,NUMBER(4),"The year that best represents when the inventory data were collected. Under the annual inventory system, a group of plots is selected each year for sampling. The selection is based on a panel system. INVYR is the year in which the majority of plots in that group were collected (plots in the group have the same panel and, if applicable, subpanel). Under periodic inventory, a reporting inventory year was selected, usually based on the year in which the majority of the plots were collected or the mid-point of the years over which the inventory spanned. For either annual or periodic inventory, INVYR is not necessarily the same as MEASYEAR. Exceptions: INVYR = 9999. INVYR is set to 9999 to distinguish Phase 3 plots taken by the western FIA work units that are ""off subpanel."" This is due to differences in measurement intervals between Phase 3 (measurement interval = 5 years) and Phase 2 (measurement interval = 10 years) plots. Only users interested in performing certain Phase 3 data analyses should access plots with this anomalous value in INVYR."
8.1.8,CYCLE,Inventory cycle number,NUMBER(2),"A number assigned to a set of plots, measured over a particular period of time from which a State estimate using all possible plots is obtained. A cycle number >1 does not necessarily mean that information for previous cycles resides in the database. A cycle is relevant for periodic and annual inventories."
8.1.9,SUBCYCLE,Inventory subcycle number,NUMBER(2),"For an annual inventory that takes n years to measure all plots, subcycle shows in which of the n years of the cycle the data were measured. Subcycle is 0 for a periodic inventory. Subcycle 99 may be used for plots that are not included in the estimation process."
8.1.10,UNITCD,Survey unit code,NUMBER(2),"Forest Inventory and Analysis survey unit identification number. Survey units are usually groups of counties within each State. For periodic inventories, survey units may be made up of lands of particular owners. Refer to appendix B for codes."
8.1.11,SUBP,Subplot number,NUMBER(1),The number assigned to the subplot adjacent to the soil sampling site. The national plot design (PLOT.DESIGNCD = 1) has subplot number values of 1 through 4. Soils protocols use only subplots 2-4.
8.1.12,VSTNBR,Visit number,NUMBER(1),The number of the soil sampling location at which the soil sample was collected. Values are 1-9.
8.1.13,CONDID,Condition class number,NUMBER(1),"The unique identifying number assigned to the condition where the soil sample was collected. If the condition class of the soil sample site differs from any condition class mapped on the four subplots, then CONDID = 0. If no soil sample was collected, this attribute is blank (null)."
8.1.14,SOILS_SAMPLE_METHOD_CD,Soils sample method code,NUMBER(1),A code indicating which soils protocol was used.
8.1.15,SOILS_SAMPLE_STATUS_CD,Soils sample status code,NUMBER(2),"A code indicating whether some or all of the soils protocol was applied (sampled) at the soil sampling location, and if not, the reason the location was not sampled."
8.1.16,CORE_SIZE,Soil core size,"NUMBER(4,3)",The inner diameter (inches) of the sample soil core collected.
8.1.17,CORE_LENGTH,Soil core length,"NUMBER(3,1)",The length of the soil core to the nearest 0.1 inch.
8.1.18,CORE_BOTTOM_CD,Core bottom code,NUMBER(1),A code indicating the substrate at the bottom of the core.
8.1.19,HOLE_DEPTH,Hole depth,"NUMBER(3,1)",The depth of the cored hole to the nearest 0.1 inch.
8.1.20,RESTRICTION_DEPTH_CD_1,Restrcition depth code 1,NUMBER(1),A code indicating the estimated substrate encountered when probing at location 1.
8.1.21,RESTRICTION_DEPTH_CD_2,Restrcition depth code 2,NUMBER(1),A code indicating the estimated substrate encountered when probing at location 2. See RESTRICTION_DEPTH_CD_1 for codes and definitions.
8.1.22,RESTRICTION_DEPTH_CD_3,Restrcition depth code 3,NUMBER(1),A code indicating the estimated substrate encountered when probing at location 3. See RESTRICTION_DEPTH_CD_1 for codes and definitions.
8.1.23,RESTRICTION_DEPTH_CD_4,Restrcition depth code 4,NUMBER(1),A code indicating the estimated substrate encountered when probing at location 4. See RESTRICTION_DEPTH_CD_1 for codes and definitions.
8.1.24,RESTRICTION_DEPTH_1,Restrcition depth 1,"NUMBER(3,1)","The maximum depth, to the nearest 0.5 inch, encountered when probing for a restriction at location 1."
