Subsection, Column name (attribute),Descriptive name, Oracle data type,Description
8.2.1,CN,Sequence number,VARCHAR2(34),A unique sequence number used to identify a subplot soil sample layer record.
8.2.2,SSSL_CN,Subplot soil sample location sequence number,VARCHAR2(34),Foreign key linking the subplot soil sample layer record to the subplot soil sample location record.
8.2.3,PLT_CN,Plot sequence number,VARCHAR2(34),Foreign key linking the subplot soil sample layer record to the plot record.
8.2.4,STATECD,State code,NUMBER(4),Bureau of the Census Federal Information Processing Standards (FIPS) 2-digit code for each State. Refer to appendix B.
8.2.5,COUNTYCD,County code,NUMBER(3),"The identification number for a county, parish, watershed, borough, or similar governmental unit in a State. FIPS codes from the Bureau of the Census are used. Refer to appendix B for codes. Note: Summarizing data by county is not recommended for Alaska datasets. For assistance with analyses for Alaska, please consult the PNWRS analyst contact listed in table 1-1."
8.2.6,PLOT,Plot number,NUMBER(6),"An identifier for a plot. Along with STATECD, INVYR, UNITCD, COUNTYCD and/or some other combinations of variables, PLOT may be used to uniquely identify a plot."
8.2.7,INVYR,Inventory year,NUMBER(4),"The year that best represents when the inventory data were collected. Under the annual inventory system, a group of plots is selected each year for sampling. The selection is based on a panel system. INVYR is the year in which the majority of plots in that group were collected (plots in the group have the same panel and, if applicable, subpanel). Under periodic inventory, a reporting inventory year was selected, usually based on the year in which the majority of the plots were collected or the mid-point of the years over which the inventory spanned. For either annual or periodic inventory, INVYR is not necessarily the same as MEASYEAR. Exceptions: INVYR = 9999. INVYR is set to 9999 to distinguish Phase 3 plots taken by the western FIA work units that are ""off subpanel."" This is due to differences in measurement intervals between Phase 3 (measurement interval = 5 years) and Phase 2 (measurement interval = 10 years) plots. Only users interested in performing certain Phase 3 data analyses should access plots with this anomalous value in INVYR."
8.2.8,INV_VST_NBR,Inventory visit number,NUMBER(2),"Visit number within a cycle. A plot is usually visited once per cycle, but may be visited again for quality assurance visits or other measurements."
8.2.9,CYCLE,Inventory visit number ,NUMBER(2),"A number assigned to a set of plots, measured over a particular period of time from which a State estimate using all possible plots is obtained. A cycle number >1 does not necessarily mean that information for previous cycles resides in the database. A cycle is relevant for periodic and annual inventories."
8.2.10,SUBCYCLE,Inventory subcycle number ,NUMBER(2),"For an annual inventory that takes n years to measure all plots, subcycle shows in which of the n years of the cycle the data were measured. Subcycle is 0 for a periodic inventory. Subcycle 99 may be used for plots that are not included in the estimation process."
