wo-v9-4_Aug2025_UG_FIADB_database_description_NFI.pdf,,,,
Subsection, Column name (attribute),Descriptive name, Oracle data type,Description
2.1.1,CN,Sequence number,VARCHAR2(34),A unique sequence number used to identify a survey record.
2.1.2,INVYR,Inventory year,NUMBER(4),"The year that best represents when the inventory data were collected. Under the annual inventory system, a group of plots is selected each year for sampling. The selection is based on a panel system. INVYR is the year in which the majority of plots in that group were collected (plots in the group have the same panel and, if applicable, subpanel). Under periodic inventory, a reporting inventory year was selected, usually based on the year in which the majority of the plots were collected or the mid-point of the years over which the inventory spanned. For either annual or periodic inventory, INVYR is not necessarily the same as MEASYEAR. Exceptions: INVYR = 9999. INVYR is set to 9999 to distinguish Phase 3 plots taken by the western FIA work units that are ""off subpanel."" This is due to differences in measurement intervals between Phase 3 (measurement interval = 5 years) and Phase 2 (measurement interval = 10 years) plots. Only users interested in performing certain Phase 3 data analyses should access plots with this anomalous value in INVYR."
2.1.3,P3_OZONE_IND,Phase 3 ozone indicator,VARCHAR2(1),"A code indicating whether or not the survey is for a P3 ozone inventory. Note: P3_OZONE_IND is part of the unique key because ozone data are stored as a separate inventory (survey); therefore, combinations of STATECD and INVYR may occur more than one time."
2.1.4,STATECD,State code,NUMBER(4),Bureau of the Census Federal Information Processing Standards (FIPS) 2-digit code for each State. Refer to appendix B.
2.1.5,STATEAB,State abbreviation,VARCHAR2(2),The 2-character State abbreviation. Refer to appendix B.
2.1.6,STATENM,State name,VARCHAR2(40),Refer to appendix B.
2.1.7,RSCD,Region or station code,NUMBER(2),Identification number of the Forest Service National Forest System Region or Station (FIA work unit) that provided the inventory data (see appendix B for more information).
2.1.8,ANN_INVENTORY,Annual inventory,VARCHAR2(1),A code indicating whether a particular inventory was collected as an annual inventory or as a periodic inventory.
2.1.9,NOTES,Notes,VARCHAR2(2000),An optional item where notes about the inventory may be stored.
2.1.10,CREATED_BY,Created by,VARCHAR2(30),The employee who created the record. This attribute is intentionally left blank (null) in download files.
2.1.11,CREATED_DATE,Created date,DATE,The date the record was created.
2.1.12,CREATED_IN_INSTANCE,Created in instance,VARCHAR2(6),The database instance in which the record was created. Each computer system has a unique database instance code and this attribute stores that information to determine on which computer the record was created.
2.1.13,MODIFIED_BY,Modified by,VARCHAR2(30),The employee who modified the record. This field will be blank (null) if the data have not been modified since initial creation. This attribute is intentionally left blank in download files.
2.1.14,MODIFIED_DATE,Modified date,DATE,The date the record was last modified. This field will be blank (null) if the data have not been modified since initial creation.
2.1.15,MODIFIED_IN_INSTANCE,Modified in instance,VARCHAR2(6),The database instance in which the record was modified. This field will be blank (null) if the data have not been modified since initial creation.
2.1.16,CYCLE,Inventory cycle number,NUMBER(2),"A number assigned to a set of plots, measured over a particular period of time from which a State estimate using all possible plots is obtained. A cycle number >1 does not necessarily mean that information for previous cycles resides in the database. A cycle is relevant for periodic and annual inventories."
2.1.17,SUBCYCLE,Inventory subcycle number,NUMBER(2),"For an annual inventory that takes n years to measure all plots, subcycle shows in which of the n years of the cycle the data were measured. Subcycle is 0 for a periodic inventory. Subcycle 99 may be used for plots that are not included in the estimation process."
2.1.18,PRJ_CN,Project sequence number,VARCHAR2(34),Foreign key linking the survey record to the project record.
