Subsection, Column name (attribute),Descriptive name, Oracle data type,Description
3.1.1,CN,Sequence number,VARCHAR2(34),A unique sequence number used to identify a tree record.
3.1.2,PLT_CN,Plot sequence number,VARCHAR2(34),Foreign key linking the subplot soil sample layer record to the plot record.
3.1.3,PREV_TRE_CN,Previous tree sequence number ,VARCHAR2(34),Foreign key linking the tree to the previous inventory's tree record for this tree. Only populated on trees remeasured from a previous annual inventory.
3.1.4,INVYR,Inventory year,NUMBER(4),"The year that best represents when the inventory data were collected. Under the annual inventory system, a group of plots is selected each year for sampling. The selection is based on a panel system. INVYR is the year in which the majority of plots in that group were collected (plots in the group have the same panel and, if applicable, subpanel). Under periodic inventory, a reporting inventory year was selected, usually based on the year in which the majority of the plots were collected or the mid-point of the years over which the inventory spanned. For either annual or periodic inventory, INVYR is not necessarily the same as MEASYEAR. Exceptions: INVYR = 9999. INVYR is set to 9999 to distinguish Phase 3 plots taken by the western FIA work units that are ""off subpanel."" This is due to differences in measurement intervals between Phase 3 (measurement interval = 5 years) and Phase 2 (measurement interval = 10 years) plots. Only users interested in performing certain Phase 3 data analyses should access plots with this anomalous value in INVYR."
3.1.5,STATECD,State code,NUMBER(4),Bureau of the Census Federal Information Processing Standards (FIPS) 2-digit code for each State. Refer to appendix B.
3.1.6,UNITCD,Survey unit code,NUMBER(2),"Forest Inventory and Analysis survey unit identification number. Survey units are usually groups of counties within each State. For periodic inventories, survey units may be made up of lands of particular owners. Refer to appendix B for codes."
3.1.7,COUNTYCD,County code,NUMBER(3),"The identification number for a county, parish, watershed, borough, or similar governmental unit in a State. FIPS codes from the Bureau of the Census are used. Refer to appendix B for codes. Note: Summarizing data by county is not recommended for Alaska datasets. For assistance with analyses for Alaska, please consult the PNWRS analyst contact listed in table 1-1."
3.1.8,PLOT,Plot number,NUMBER(5),"An identifier for a plot. Along with STATECD, INVYR, UNITCD, COUNTYCD and/or some other combinations of variables, PLOT may be used to uniquely identify a plot."
3.1.9,SUBP,Subplot number,NUMBER(3),"The number assigned to the subplot. The national plot design (PLOT.DESIGNCD = 1) has subplot number values of 1 through 4. Other plot designs have various subplot number values. See PLOT.DESIGNCD and appendix G for information about plot designs. For more explanation about SUBP, contact the appropriate FIA work unit (table 1-1)."
3.1.10,TREE,Tree number ,NUMBER(9),A number used to uniquely identify a tree on a subplot. Tree numbers can be used to track trees when PLOT.DESIGNCD is the same between inventories.
3.1.11,CONDID,Condition class number ,NUMBER(1),"The unique identifying number assigned to a condition on which the tree is located, and is defined in the COND table. See COND.CONDID for details on the attributes which delineate a condition."
3.1.12,AZIMUTH,Azimuth,NUMBER(3),This attribute now available from the FIA Spatial Data Services (SDS) group by following the instructions provided at the following web address: https://www.fs.usda.gov/research/programs/fia/sds.
3.1.13,DIST,Horizontal distance ,"NUMBER(4, 1)",This attribute now available from the FIA Spatial Data Services (SDS) group by following the instructions provided at the following web address: https://www.fs.usd.gov/research/programs/fia/sds.
3.1.14,PREVCOND,Previous condition class number,NUMBER(1),This Identifies the condition within the plot on which the tree occurred at the previous inventory.
3.1.15,STATUSCD,Status code ,NUMBER(1),"A code indicating whether the sample tree is live, cut, or dead at the time of measurement. Includes dead and cut trees, which are required to estimate aboveground biomass and net annual volume for growth, mortality, and removals. This code is not used when querying data for change estimates. Note: New and replacement plots use only codes 1 and 2."
3.1.16,SPCD,Species code,NUMBER,An FIA tree species code. Refer to appendix F for codes.
3.1.17,SPGRPCD,Species group code ,NUMBER(2),A code assigned to each tree species to group them for reporting purposes. Codes and their associated names (see REF_SPECIES_GROUP.NAME) are shown in appendix E. Refer to appendix F for individual tree species and corresponding species group codes.
3.1.18,DIA,Current diameter ,"NUMBER(5,2)","The current diameter, in inches, of the sample tree at the point of diameter measurement. For timber species, diameter is measured at breast height (d.b.h.), which is usually measured at 4.5 feet above the ground line on the uphill side of the tree. For woodland species, which are often multi-stemmed, diameter is measured at the ground line or at the stem root collar (d.r.c.), whichever is higher. DIA for woodland species (DRC) is computed using the following formula:
DRC = SQRT [SUM (stem diameter2)]
For additional information about where the tree diameter is measured, see DIAHTCD or HTDMP. DIA for live trees contains the measured value. DIA for cut and dead trees presents problems associated with uncertainty of when the tree was cut or died as well as structural deterioration of dead trees. Consult individual FIA work units (table 1-1) for explanations of how DIA is collected for dead and cut trees."
3.1.19,DIAHTCD,Diameter height code ,NUMBER(1),"A code indicating the location at which diameter was measured. For trees with code 1 (d.b.h.), the actual measurement point may be found in HTDMP."
3.1.20,HT,Total height ,NUMBER(3),"(All live and standing dead tally trees ω1.0 inch d.b.h./d.r.c.) The total length (height) of a tree, in feet, from the ground to the tip of the apical meristem beginning in PLOT.MANUAL = 1.1. The total length of a tree is not always its actual length. If the main stem is broken, the actual length is measured or estimated and the missing piece is added to the actual length to estimate total length. The amount added is determined by measuring the broken piece if it can be located on the ground; otherwise it is estimated. The minimum height for timber species is 5 feet and for woodland species is 1 foot. Starting with PLOT.MANUAL = 7.0, the core minimum diameter to qualify for a standing dead tree was changed from 5.0 inches to 1.0 inch. For multi-stemmed woodland species, this attribute is based on the length of the longest stem present.
Note: Prior to PLOT.MANUAL = 7.0, this attribute was tallied as follows:
• Core Phase 2: ω5.0-inch d.b.h./d.r.c. live trees.
• Core optional Phase 2: 1.0-4.9-inch d.b.h./d.r.c. live trees and ω5.0-inch d.b.h./d.r.c. standing dead trees.
• Core Phase 3: ω1.0-inch d.b.h./d.r.c. live trees.                              • Core optional Phase 3: ω5.0-inch d.b.h./d.r.c. standing dead trees."
3.1.21,HTCD,Height method code ,NUMBER(2),"(All live and standing dead tally trees ω1.0 inch d.b.h./d.r.c.) A code indicating how length (height) was determined beginning in PLOT.MANUAL = 1.1. Starting with PLOT.MANUAL = 7.0, the core minimum diameter to qualify for a standing dead tree
was changed from 5.0 inches to 1.0 inch.
Note: Prior to PLOT.MANUAL = 7.0, this attribute was tallied as follows:
• Core Phase 2: ω5.0-inch d.b.h./d.r.c. live trees.
• Core optional Phase 2: 1.0-4.9-inch d.b.h./d.r.c. live trees and ω5.0-inch d.b.h./d.r.c. standing dead trees.
• Core Phase 3: ω1.0-inch d.b.h./d.r.c. live trees.
• Core optional Phase 3: ω5.0-inch d.b.h./d.r.c. standing dead trees."
3.1.22,ACTUALHT,Actual height ,NUMBER(3),"(All live and standing dead tally trees ω1.0 inch d.b.h./d.r.c.) The length (height) of the tree to the nearest foot from ground level to the highest remaining portion of the tree still present and attached to the bole. If ACTUALHT = HT, then the tree does not have a broken top. If ACTUALHT <HT, then the tree does have a broken or missing top. The minimum height for timber species is 5 feet and for woodland species is 1 foot. Starting with PLOT.MANUAL = 7.0, the core minimum diameter to qualify for a standing dead tree was changed from 5.0 inches to 1.0 inch.
Note: Prior to PLOT.MANUAL = 7.0, this attribute was tallied as follows:
• Core Phase 2: live and standing dead trees with broken tops, ω5.0 inches d.b.h./d.r.c.
• Core optional Phase 2: live trees 1.0-4.9 inches d.b.h./d.r.c. with broken or missing tops.
• Core Phase 3: live trees ω1.0 inch d.b.h./d.r.c. (with broken or missing tops) and standing dead trees ω5.0 inches d.b.h./d.r.c. (with broken or missing tops)."
3.1.23,TREECLCD,Tree class code ,NUMBER(2),"A code indicating the general quality of the tree. In annual inventory, this is the tree class for both live and dead trees at the time of current measurement. In periodic inventory, for cut and dead trees, this is the tree class of the tree at the time it died or was cut. Therefore, cut and dead trees collected in periodic inventory can be coded as growing-stock trees."
3.1.24,CR,Compacted crown ratio ,NUMBER(3),"The percent of the tree bole supporting live, healthy foliage (the
crown is ocularly compacted to fill in gaps) when compared to actual length (ACTUALHT). When PLOT.MANUAL <1.0 the variable may have been a code, which was converted to the midpoint of the ranges represented by the codes, and is stored as a percentage. May not be populated for periodic inventories."
3.1.25,CCLCD,Crown class code ,NUMBER(2),A code indicating the amount of sunlight received and the crown position within the canopy.
3.1.26,TREEGRCD,Tree grade code,NUMBER(2),"A code indicating the quality of sawtimber trees. This attribute is
populated for live, growing-stock, sawtimber trees on subplots 1-4 where PLOT.MANUAL ω1.0 for plots that are in a forest condition class. This attribute may be populated for other tree records that do not meet the above criteria. For example, it may be populated with the previous tree grade on dead and cut trees. Standards for tree grading are specific to species and differ slightly by research station. Only populated by certain FIA work units (SURVEY.RSCD = 23, 24, 33). Tree grade codes along with explanations of the codes and when they are used can be found in the Northern regional field guide (SURVEY.RSCD = 23, 24) and Southern regional field guide (SURVEY.RSCD = 33)."
3.1.27,AGENTCD,Cause of death (agent) code ,NUMBER(2),"(core: all remeasured plots when the tree was alive at the previous visit and at revisit is dead or removed OR the tree is standing dead in the current inventory and the tree is ingrowth, through growth, or a missed live tree; core optional: all initial plot visits when tree qualifies as a mortality tree) When PLOT.MANUAL ω1.0, this attribute was collected on only dead and cut trees. When PLOT.MANUAL <1.0, this attribute was collected on all trees (live, dead, and cut). Cause of damage was recorded for live trees if the presence of damage or pathogen activity was serious enough to reduce the quality or vigor of the tree. When a tree was damaged by more than one agent, the most severe damage was coded. When no damage was observed on a live tree, 00 was recorded. Damage recorded for dead trees was the cause of death. Each FIA program records specific codes that may differ from one State to the next. These codes fall within the ranges listed below. For the specific codes used in a particular State, contact the FIA work unit responsible for that State (table 1-1)."
3.1.28,CULL,Rotten and missing cull ,NUMBER(3),The percent of the cubic-foot volume in a live or dead tally tree that is rotten or missing. This is a calculated value that is derived from the field-recorded cull estimate (see CULL_FLD) or a modeled cull estimate.
3.1.29,DAMLOC1,Damage location 1 ,NUMBER(2),"(core where PLOT.MANUAL = 1.0 through 1.6; core optional
beginning with PLOT.MANUAL = 1.7) A code indicating where damage (meeting or exceeding a severity threshold, as defined in the field guide) is present on the tree."
3.1.30,DAMTYP1,Damage type 1 ,NUMBER(2),"(core where PLOT.MANUAL = 1.0 through 1.6; core optional beginning with PLOT.MANUAL = 1.7) A code indicating the kind of damage (meeting or exceeding a severity threshold, as defined in the field guide) present. If DAMLOC1 = 0, then DAMTYP1 = blank (null)."
