"**FIGURE 2 | Remaining litter biomass (%) at the end of a 6-month decomposition experiment, preceded by photodegradation in the field.** Samples from the field experiment are shown by open (UV+) or filled symbols (UV-). The laboratory experiment included irrigation treatments representing years with contrasting annual rainfall. Irrigation treatments represented the equivalent rainfall of a dry year (~15 mm), an average year (140 mm) and wet (El Nino) year (240 mm) in semiarid Chile. The experiment was conducted under constant temperature (23C). **(A)** Remaining litter biomass *Proustia* and **(B)** *Porlieria*. Data are means +- 1 SE.",,,,,,
y value,SE High,x value,y axis label,x axis label,graph label,UV treatment
84.79,88.13,10.91,Remaining biomass (%),Water addition equivalent to annual rainfall (mm),A Proustia,UV+
97.87,100.0,10.25,Remaining biomass (%),Water addition equivalent to annual rainfall (mm),A Proustia,UV-
49.96,53.16,150.13,Remaining biomass (%),Water addition equivalent to annual rainfall (mm),A Proustia,UV+
59.39,62.89,150.13,Remaining biomass (%),Water addition equivalent to annual rainfall (mm),A Proustia,UV-
31.86,39.01,240.74,Remaining biomass (%),Water addition equivalent to annual rainfall (mm),A Proustia,UV +
35.21,39.62,240.74,Remaining biomass (%),Water addition equivalent to annual rainfall (mm),A Proustia,UV-
97.38,100.29,11.50,Remaining biomass (%),Water addition equivalent to annual rainfall (mm),B Porlieria,UV+
88.05,94.90,149.88,Remaining biomass (%),Water addition equivalent to annual rainfall (mm),B Porlieria,UV+
90.82,94.90,149.88,Remaining biomass (%),Water addition equivalent to annual rainfall (mm),B Porlieria,UV-
66.19,NA,240.05,Remaining biomass (%),Water addition equivalent to annual rainfall (mm),B Porlieria,UV+
64.88,68.09,240.05,Remaining biomass (%),Water addition equivalent to annual rainfall (mm),B Porlieria,UV-
