VARIABLE,NAME,UNITS,DESCRIPTION
curator_name,Curator Name,free text,Curator Name
curator_organization,Curator Organization,free text,Curator Organization
curator_email,Curator Email,free text,Curator Email
modification_date,Template Modification Date,YYYY-MM-DD or MM/DD/YYYY,Template Modification Date
contact_name,Additional Contact Name,free text,Additional Contact Name
contact_email,Additional Contact Email,free text,Additional Contact Email
dataset_name,Dataset Name,free text,Dataset Name
dataset_description,Dataset Description,free text,Dataset Description
reference,Reference,free text,Reference
citation,Citation text,free text,Citation text
citation_usage,Citation usage,free text,Citation usage
acknowledgement,Acknowlegement text,free text,Acknowlegement text
acknowledgement_usage,Acknowlegement usage,free text,Acknowlegement usage
metadata_general,General Metadata,free text,General Metadata
missdata_param,Parameters for Missing Data Equations,free text,Parameters for Missing Data Equations
resample,Resample Metadata,free text,Resample Metadata
funding_organization,Funding Organization(s),free text,Funding Organization(s)
