VARIABLE,NAME,UNITS,DESCRIPTION
site_name,Site Name,free text,"A unique name for a site that corresponds to a georeferenced point.
Examples include: “101”,“DFTC”, “Site 1”, “99AK180003”"
cluster_name,Cluster Name,,
profile_name,Profile/Plot Name,free text,"A unique name for a single profile. This can be the same as the site name if there is only one profile at the site. For NRCS data it is the same as “Pedon ID”.
Examples include: “BZBS4”, “99P0544”, “Profile 1”"
layer_name,Layer Name,free text,"A unique name for a single sampled layer. This can be a name that denotes depth, sequence, etc.
Examples include: “0-10”, “10-20”, “40A04456”, “BZBS4.1”"
layer_number,Laboratory Layer Number,free text,Laboratory layer sample identifier if different than the Layer Name (data contributor’s own identifier).
labeled_addition,Labeled Addition,CV,"Was this layer/gas/fraction/sample isotopically labeled? Answer yes or leave blank.
Controlled vocabulary: yes_blank"
layer_top,Layer Top,cm,The top (upper) depth of the layer. The surface of the non-green (i.e. non-living) surface layer is “0”. The top of the O-horizon should be 0.
layer_bot,Layer Bottom,cm,"The bottom (lower) depth of the layer. If it is uncertain that the bottom of the designated horizon was reached, enter the depth to the bottom of the sampled layer. Note that this is the same as ""hzn_bot"" in the NRCS database."
hzn_desgn,Horizon Designation,free text,"Follow conventions of the USDA-NRCS-NSSC Field Book for Describing and Sampling Soils (Staff 2002; pp. 2-2 through 2-4). Note that datasets originally using another convention will be modified for this column. If a different convention was used it can be entered in Horizon Designation Other.
Examples include: “Oi”, “A”, “AE”, “A/E”, “Bwf”, “Bhs”"
hzn_desgn_other,Horizon Designation Other,free text,"Horizon designation following a convention other than NRCS. Please document the convention in the associated Horizon Designation Other Note.
Examples include: “L”, “F”, “M”, “H”, “OF”, “OM”, “OH”"
hzn_desgn_other_note,Horizon Designation Other Note,free text,Provide a reference for the horizon designations employed if they differ from NRCS standards in the USDA-NRCS-NSSC Field Book for Describing and Sampling Soils (Staff 2002).
layer_note,Soil Layer Notes,free text,"A description of the sampled layer. For example, a full NRCS horizon description.
Examples include: “2-5 cm; brown (10YR 4/3) silt loam; moderate very fine platy structure; very friable; many roots; many fine vesicular pores; brown (10YR 5/3) on plate faces; many very thin bands of finer material similar to B't (below) throughout the horizon; abrupt wavy boundary”, “Denser, darker fabrics with white fungus and larger roots”"
c_method,Bulk Layer Carbon Analysis Method,free text,"Provide reference or describe the sample preparation and analysis methods used to determine carbon concentrations, whether Total Carbon, organic C, or Loss on Ignition.
Examples include: “Determined total %C from CHN analysis of air dried <2mm fraction”"
color,Moist Munsell Color,free text,"Color of moist soil based on the Munsell soil color chart.
Examples include: “10YR 3/3”"
burn_ev,Evidence of Burning,CV,"Descriptive information indicating evidence of burning within the layer.
Examples include: “charcoal”, “burned organic matter”, “ash”"
bd_method,Bulk Density Method,free text,"Please reference or describe the methods used to determine bulk density.
Examples include: “Determined BD_sample from core volume and dry weight of <2mm fraction”, “Strahm et al. 2005 Soil Solution…”"
bd_samp,"Bulk Density, Coarse Fragments Removed",g cm-3,"Grams of oven-dried soil per cubic centimeter, with soil particles greater than 2 mm and roots greater that 1 cm diameter removed."
bd_tot,Bulk Density With Coarse Fragments,g cm-3,"Grams of oven-dried soil per cubic centimeter, with soil particles greater than 2 mm and roots greater that 1 cm diameter included."
bd_whole,Bulk Density Minus Estimated Coarse Fragments,g cm-3,"Grams of oven-dried soil per cubic centimeter, with the content of soil particles >2mm and roots >1cm diameter estimated and subtracted."
bd_other,Bulk Density Other,g cm-3,Grams of oven-dried soil per cubic centimeter. Please document the method used in the associated Bulk Density Method including the soil particle fraction used.
ph_method,pH Method,free text,Provide reference or describe the sample preparation and analysis methods used for determinations of pH if not 1:1 soil and distilled water paste or in CaCl2.
ph_cacl,Soil pH CaCl2,free text,1:2 soil-CaCl2 is the pH of a sample measured in 0.01M CaCl2 at a 1:2 soil:solution ratio.
ph_h2o,Soil pH 1:1,free text,"1:1 distilled water and soil paste. If pH was done by a different method, then enter it into one of the other soil pH fields."
ph_other,Soil pH Other,free text,pH measurements other than 1:1 soil and distilled water paste or in CaCl2. Please document the method in the associated pH Method.
caco3,CaCO3,%,Inorganic carbon concentration as measured or estimated by the contributor. Please document the method in the associated Processed Site Organic Carbon Content Method.
sand_tot_psa,Percent Sand,%,"Percent by weight of soil particles greater than 0.05 mm in the sample remaining after removal of particles greater than 2 mm and roots greater than 1 cm diameter. See Gee, G.W. & Bauder, J.W. 1986."
silt_tot_psa,Percent Silt,%,"Percent by weight of soil particles in the size range from 0.002 to 0.050 mm in the sample remaining after removal of particles greater than 2 mm and roots greater than 1 cm diameter. See Gee, G.W. & Bauder, J.W. 1986."
clay_tot_psa,Percent Clay,%,"Percent by weight of soil particles less than 0.002 mm in the sample remaining after removal of particles greater than 2 mm and roots greater than 1 cm diameter. See Gee, G.W. & Bauder, J.W. 1986."
wpg2_method,Coarse Fragments Method,free text,Provide a reference for or describe the methods used to determine coarse fragment content.
wpg2,Coarse Fragments,%,The weight fraction of particles with >2 mm diameter is reported as a gravimetric percent on a whole soil base. Please include metadata in the Coarse Fragments Method column (e.g. estimate or quantitative).
cat_exch,Cation Exchange Capacity,cmol H+ kg-1,"Cation Exchange Capacity. Document the extractant solution in the metadata worksheet, Lab Analysis Method."
gwc,Gravimentric % Moisture,%,Gravimetric water content of the sampled layer.
vwc,Volumetric % Moisture,%,Water content of the soil sample expressed as a percent of total sample volume.
al_dith ,Dithionate extractable [Al],"specified by
al_fe_units",
al_ox,Oxalate extractable [Al],"specified by
al_fe_units",
al_other,Other extractable [Al],"specified by
al_fe_units",
fe_dith,Dithionate extractable [Fe],"specified by
al_fe_units",
fe_ox,Oxalate extractable [Fe],"specified by
al_fe_units",
fe_other,Other extractable [Fe],"specified by
al_fe_units",
mn_dith,Dithionate extractable [Mn],specified by al_fe_units,
mn_ox,Oxalate extractable [Mn],"specified by
al_fe_units",
mn_other,Other extractable [Mn],"specified by
al_fe_units",
al_fe_units,"Extractable Al, Fe, Mn units",,Controlled vocabulary: extract_units
al_fe_method,"Al, Fe, Mn extraction methods",free text,
ca_al,Ca:Al (molar),specified by bc_units,
ca_ext,Extractable [Ca],specified by bc_units,
k_ext,Extractable [K],specified by bc_units,
mg_ext,Extractable [Mg],specified by bc_units,
na_ext,Extractable [Na],specified by bc_units,
bc_units,Base cation extraction units,,Controlled vocabulary: extract_units
bc_method,Base cation extraction methods,free text,
base_sum,"CEC, sum of bases",specified by cec_h_units,
cec_sum,"CEC, sum of cations",specified by cec_h_units,
ecec,Effective CEC ,specified by cec_h_units,
cec_h_units,CEC and acidity units,,Controlled vocabulary: extract_units
bs,Base saturation,%,
bs_sum,"Base saturation, sum of cations",%,
h_ext,extractable acidity,specified by metal_ext_units,
zn_ext,extractable [Zn],specified by metal_ext_units,
