VARIABLE,NAME,UNITS,DESCRIPTION
site_name,Site Name,free text,"A unique name for a site that corresponds to a georeferenced point.
Examples include: “101”,“DFTC”, “Site 1”, “99AK180003”"
cluster_name,Cluster Name,,
profile_name,Profile/Plot Name,free text,"A unique name for a single profile. This can be the same as the site name if there is only one profile at the site. For NRCS data it is the same as “Pedon ID”.
Examples include: “BZBS4”, “99P0544”, “Profile 1”"
profile_note,Profile Notes,free text,Additional notes about the profile
layer_method,Layer Sampling Method,free text,"Description of how the individual layers of the soil profile were sampled as genetic horizons, fixed depth intervals, some combination or other."
profile_method,Profile Sampling Method,free text,"Description of the methods used to sample the soil profile, e.g., quantitative pit, core, bucket auger, etc."
observation_date,Observation Date,YYYY-MM-DD or MM/DD/YYYY,"The date at which the profile was taken at the site.
Examples include: “2001-08-20”"
observation_date_acc,Observation Date Accuracy,free text,Estimated accuracy of the observation date.
transect_flag,Part of a Transect Flag,CV,"Indicate whether this profile was part of a transect by entering ""yes"" or leaving the field blank.
Controlled vocabulary: yes_blank"
surface_veg,Surface Vegetation,free text,"Describe the dominant vegetation at the exact location of the profile.
Examples include: “Forest with canopy dominanted by Pinus spp., Quercus dominant in understory, and ground layer of Pteridium aquilinum and Vaccinium spp.”, “Andropogon- Sorghastrum prairie with invading Juniperus virginiana”"
soil_taxon,Soil Taxonomy,free text,"The taxonomic classification of the soil profile following NRCS convention (http://soils.usda.gov/technical/classification/taxonomy/).
Examples include: “Coarse-silty, mixed, active, subgelic Typic Dystrocryepts”, “Sandy, mixed, frigid Entic Haplorthods”"
soil_series,Soil Series,free text,"The NRCS soil series of the profile (http://soils.usda.gov/technical/classification/taxonomy/).
Examples include: ""Cowboy"", ""Rubicon"", ""Tawas"""
add_taxon_flag,Complete Taxonomy Flag,CV,"Indicate whether there is more taxonomic information for this profile by entering “yes”, otherwise leave the field blank.
Controlled vocabulary: yes_blank"
thaw_depth_profile,Thaw Depth of the Profile,cm,"The depth to the frozen surface of the profile. For Alaska sites, this applies only if sampled after August 15 and should be left blank if sampled before."
profile_properties_note,Profile Properties Notes,free text,Additional notes about the soil and surface vegetation profile properties
sampler_names,Sampler Names,free text,"The names of the persons who described and sampled the profile.
Examples include: “Johnson, Kris”, “Nave, Luke”"
soc,Profile Calculated Soil Organic Carbon Stock,g cm-2,"The data contributor's calculated soil organic carbon stock value for the site, cluster, profile or layer."
soc_type,Profile Calculated Soil Organic Carbon Stock Type,CV,"An indication of which portion of the profile (organic, mineral, organic + mineral) is described by the contributor's calculated soil organic carbon stock at the site, cluster, profile or layer level.
Controlled vocabulary: ccon_type"
soc_lcount,Profile Calculated Soil Organic Carbon Stock Layer Count,free text,The number of layer soil organic carbon stock values summed to produce the profile total soil organic carbon stock.
soc_depth,Profile Calculated Soil Organic Carbon Stock Depth,cm,"The depth to which profiles were sampled to quantify the mean site, cluster, or profile calculated soil organic carbon stocks."
soc_sigma,Profile Calculated Soil Organic Carbon Stock Standard Deviation,g cm-2,"The standard deviation of the site, cluster, profile, or layer- level calculated soil organic carbon stock. (For layer soil organic carbon stocks, this may be based on analytical or sampling replicates of %C or bulk density measurements)."
soc_method,Profile Calculated Soil Organic Carbon Stock Method,free text,"A description of the methods used to calculate (including any gap-filling) site, cluster, profile or layer soil organic carbon stocks."
