Variable,Name,Units,Description
site_name ,Site Name,"free
text","A unique name for a site that corresponds to a georeferenced point.
Examples include: “101”,“DFTC”, “Site 1”, “99AK180003”"
site_note ,Site Notes ,"free
text","Various notes on and descriptions of the site other than C flux, climate, photo or vegetation. May include local names for physiographic features, which may or may not appear on USGS Topographic Quadrangles.
Examples include: ""Biliau Hill"", ""Warner Valley"", ""Mudsock"""
country ,Country ,,"Nation of origin of the data.
Controlled vocabulary: country"
province,Province,"free
text","A politically defined sub-region of a country, for any country that does not describe these sub-divisions as ""states""."
state,State,,"State or territory. At output, may also include province for any contry that does not describe political subdivision as ""states"".
Controlled vocabulary: state_province"
county,County ,"free
text","For data collected in the U.S., the county of origin within a U.S. State."
lat,Latitude,"dec.
deg","The latitudinal coordinate, in decimal degrees, to the appropriate level of spatial accuracy (up to five decimal degrees; WGS84 Latitude/Longitude datum preferred).
Examples include: “64.67083”"
long,Longitude,"dec.
deg","The longitudinal coordinate, in decimal degrees, to the appropriate level of spatial accuracy (up to five decimal degrees; WGS84 Latitude/Longitude datum preferred).
Examples include: “-148.32683”"
datum,"Latitude/Longitude
Datum",,"Latitude/Longitude datum against which Latitude and Longitude are reported. If left blank, WGS84 will be assumed.
Controlled vocabulary: datum"
location_acc ,Location Accuracy ,m,"Estimated accuracy of the location of the site. Site origin has a 95% or greater probability of being within this many meters of the reported location.
Examples include: “100”, “2”"
elevation,Elevation,m,"The elevation at the site as determined by topo map, GPS, altimeter, etc. Contributed value is assumed accurate within several meters regardless of method used."
vegclass_nat,"US National
Vegetation
Classification
Standard","free
text","The type of vegetation at the site, described according to the Federal Geographic Data Committee’s classification scheme (http://www.fgdc.gov/standards/projects/FGDC- standards-projects/vegetation/NVCS_V2_FINAL_2008-02.pdf). Classify the site according to the four uppermost descriptive levels (Class, Subclass, Formation, Division).
Examples include: “1.C.2”, “3.A.1”, “4.C.1”,"
vegclass,"Vegetation
Classification
Code","free
text","The type of vegetation at the site, described according to a TBD international classification scheme."
