table_id,column_id,of_variable,is_type,with_entry
layer,site_name,Site Name,units,free text
layer,site_name,Site Name,description,"A unique name for a site that corresponds to a georeferenced point.
Examples include: “101”,“DFTC”, “Site 1”, “99AK180003”"
layer,profile_name,Profile/Plot Name,units,free text
layer,profile_name,Profile/Plot Name,description,"A unique name for a single profile. This can be the same as the site name if there is only one profile at the site. For NRCS data it is the same as “Pedon ID”.
Examples include: “BZBS4”, “99P0544”, “Profile 1”"
layer,layer_name,Layer Name,units,free text
layer,layer_name,Layer Name,description,"A unique name for a single sampled layer. This can be a name that denotes depth, sequence, etc.
Examples include: “0-10”, “10-20”, “40A04456”, “BZBS4.1”"
layer,layer_number,Laboratory Layer Number,units,free text
layer,layer_number,Laboratory Layer Number,description,Laboratory layer sample identifier if different than the Layer Name (data contributor’s own identifier).
layer,labeled_addition,Labeled Addition,control vocabulary,CV
layer,labeled_addition,Labeled Addition,description,"Was this layer/gas/fraction/sample isotopically labeled? Answer yes or leave blank.
Controlled vocabulary: yes_blank"
layer,layer_top,Layer Top,units,cm
layer,layer_top,Layer Top,description,The top (upper) depth of the layer. The surface of the non-green (i.e. non-living) surface layer is “0”. The top of the O-horizon should be 0.
layer,layer_bot,Layer Bottom,units,cm
layer,layer_bot,Layer Bottom,description,"The bottom (lower) depth of the layer. If it is uncertain that the bottom of the designated horizon was reached, enter the depth to the bottom of the sampled layer. Note that this is the same as ""hzn_bot"" in the NRCS database."
layer,hzn_desgn,Horizon Designation,units,free text
layer,hzn_desgn,Horizon Designation,description,"Follow conventions of the USDA-NRCS-NSSC Field Book for Describing and Sampling Soils (Staff 2002; pp. 2-2 through 2-4). Note that datasets originally using another convention will be modified for this column. If a different convention was used it can be entered in Horizon Designation Other.
Examples include: “Oi”, “A”, “AE”, “A/E”, “Bwf”, “Bhs”"
layer,hzn_desgn_other,Horizon Designation Other,units,free text
layer,hzn_desgn_other,Horizon Designation Other,description,"Horizon designation following a convention other than NRCS. Please document the convention in the associated Horizon Designation Other Note.
Examples include: “L”, “F”, “M”, “H”, “OF”, “OM”, “OH”"
layer,hzn_desgn_other_note,Horizon Designation Other Note,units,free text
layer,hzn_desgn_other_note,Horizon Designation Other Note,description,Provide a reference for the horizon designations employed if they differ from NRCS standards in the USDA-NRCS-NSSC Field Book for Describing and Sampling Soils (Staff 2002).
layer,layer_note,Soil Layer Notes,units,free text
layer,layer_note,Soil Layer Notes,description,"A description of the sampled layer. For example, a full NRCS horizon description.
Examples include: “2-5 cm; brown (10YR 4/3) silt loam; moderate very fine platy structure; very friable; many roots; many fine vesicular pores; brown (10YR 5/3) on plate faces; many very thin bands of finer material similar to B't (below) throughout the horizon; abrupt wavy boundary”, “Denser, darker fabrics with white fungus and larger roots”"
layer,c_method,Bulk Layer Carbon Analysis Method,units,free text
