Table 3.  Stand productivity and soil and leaf nutrients from 1200–2050 m asl at Hawaii Volcanoes National Park (HAVO). Strength of significant regression relationships with elevation are shown. Mean ± SE.,,,,,,,
Elevation (m),1200,1350,1600,1900,2050,P-Value,R²
Basal area (m² ha⁻¹),55.1+-6.04,57.3+-12.4,20.9+-9.35,39.0+-22.8,27.9+-8.37,ns,NA
LMA (g m⁻²),218+-8.25,214+-10.5,211+-13.0,274+-2.50,264+-13.0,ns,NA
Leaf N (%),2.25+-0.03,2.09+-0.13,2.12+-0.06,1.63+-0.01,1.59+-0.07,<0.05,0.89
Leaf N (g m⁻²),4.91+-0.013,4.47+-0.34,4.46+-0.50,4.46+-0.01,4.23+-0.39,ns,NA
Leaf P (%),0.093+-0.003,0.117+-0.07,0.110+-0.001,0.100+-0.01,0.103+-0.003,ns,NA
Leaf P (g m⁻²),0.204+-0.009,0.250+-0.024,0.211+-0.013,0.274+-0.025,0.273+-0.015,ns,NA
Leaf P Soil N (𝜇g cm⁻²),33.4+-3.02,32.6+-4.36,18.7+-2.27,13.1+-3.63,15.7+-2.62,<0.05,0.86
Leaf P Soil P (𝜇g cm⁻²),0.147+-0.025,0.168+-0.58,0.118+-0.003,0.123+-0.004,0.081+-0.012,ns,NA
N mineralization (mg g⁻¹) aerobic,58.6+-4.54,17.0+-5.18,45.6+-7.20,41.3+-22.8,36.4+-11.8,ns,NA
N mineralization (mg g⁻¹) anaerobic,229+-29.8,88.5+-27.9,133+-19.4,58.4+-12.4,112+-27.2,ns,NA
P fractions (mg g⁻¹) Resin-P,2.55+-0.482,0.976+-0.333,0.980+-0.440,0.521+-0.394,0.126+-0.002,"0,05",0.76
P fractions (mg g⁻¹) NaOH-Pi,52.8+-4.03,57.0+-22.3,103+-10.6,73.0+-0.697,80.2+-11.4,ns,NA
P fractions (mg g⁻¹) NaOH-Po,131+-16.1,214+-23.8,182+-61.6,167+-37.1,212+-37.2,ns,NA
P fractions (mg g⁻¹) HCl-Pi,409+-12.3,377+-15.2,353+-24.5,251+-35.8,241+-20.9,<0.01,0.96
P fractions (mg g⁻¹) SOM (%),24.0+-0.493,20.4+-1.69,28.7+-3.06,21.3+-1.39,23.2+-3.64,ns,NA
P fractions (mg g⁻¹) Soil C (%),12.8+-0.764,12.1+-0.732,15.2+-1.83,10.4+-0.893,13.6+-2.37,ns,NA
P fractions (mg g⁻¹) Soil N (%),1.09+-0.047,1.07+-0.037,1.29+-0.135,0.843+-0.046,1.03+-0.207,ns,NA
P fractions (mg g⁻¹) C:N,11.7+-0.322,11.3+-0.509,11.8+-0.179,12.4+-0.390,13.5+-0.567,<0.05,0.77
