"Fig. 2. Total mass of litterfall and litter accumulation at the two site qualities, high (H) and low (L), in four Greek coniferous (Pinus pinaster, Pinus nigra, Abies borisii regis ) and deciduous (Fagus sylvatica) forest sites.",,,,,
y bottom value_ AO,y top value_AOO,y value unit,species,site quality,graph label
1457,-,kg*ha$^{-1}$*yr$^{-1}$,Maritime pine,H,Litterfall
1406,-,kg*ha$^{-1}$*yr$^{-1}$,Maritime pine,L,Litterfall
2614,-,kg*ha$^{-1}$*yr$^{-1}$,Black pine,H,Litterfall
2480,-,kg*ha$^{-1}$*yr$^{-1}$,Black pine,L,Litterfall
2535,-,kg*ha$^{-1}$*yr$^{-1}$,Fir,H,Litterfall
2458,-,kg*ha$^{-1}$*yr$^{-1}$,Fir,L,Litterfall
4006,-,kg*ha$^{-1}$*yr$^{-1}$,Beech,H,Litterfall
4013,-,kg*ha$^{-1}$*yr$^{-1}$,Beech,L,Litterfall
25.1,35.2,tons*ha$^{-1}$,Maritime pine,H,Littermass
23.5,31.4,tons*ha$^{-1}$,Maritime pine,L,Littermass
40.9,56.3,tons*ha$^{-1}$,Black pine,H,Littermass
31.5,50,tons*ha$^{-1}$,Black pine,L,Littermass
47.7,76.6,tons*ha$^{-1}$,Fir,H,Littermass
56.3,81.6,tons*ha$^{-1}$,Fir,L,Littermass
60.2,75.5,tons*ha$^{-1}$,Beech,H,Littermass
42.2,58.5,tons*ha$^{-1}$,Beech,L,Littermass
