"Table 1. The age, stocking, basal area and mean height of maritime pine, black pine, fir and beech sites $^a$ Average basal area of six trees per plot. $^b$ Height of the 100 highest trees per hectare (Dafis, 1975). $^c$ Data of average rainfall were selected from January 1994 to January 1999.",,,,,,,,
Site characteristics,Maritime pine - Site quality Hsq,Maritime pine - Site quality  Lsq,Black pine - Site quality  Hsq,Black pine - Site quality  Lsq,Fir - Site quality  Hsq,Fir - Site quality  Lsq,Beech - Site quality  Hsq,Beech - Site quality  Lsq
Stand age (year),25,25,40,40,170,170,103,91
Stocking (stems/ha),1260,1370,2855,5620,539,594,441,670
Basal area (m$^2$/ha)$^a$,28,26,52,67,29,32,39,27
Mean height (m)$^b$,11.8,10.0,12.5,10.2,31.2,24.8,29.0,17
Elevation (m),1200,1200,1139,1139,950,950,1440,1440
Mean annual temperature (°C),13.5,13.5,13.5,13.5,8.7,8.7,14,14
Annual rainfall (mm)$^c$,498,498,570,570,1140,1140,1440,1440
Growing period (mm),190,190,320,320,547,547,304,304
Highers (July/lowest (January) temperature of the year (°C),24.0/-1.0,24.0/-1.0,24.7/-3.2,24.7/-3.2,"19.2/-3,0",19.2/-3.0,22.0/3.6,22.0/3.6
