"Table 6. Mean (*n*=35 and ±S.D.) organic matter, element concentrations and C:N and C:P ratios of the forest floor at the coniferous (*Pinus pinaster*, *Pinus nigra*, *Abies borisii regis*) and deciduous (*Fagus sylvatica*) species",,,,,,,,,,,
Forest sites,Site quality,Horizon,Organic matter (t/ha),N,P,K,Ca,Mg,Na,C:N,C:P
Maritime pine,Hsq,L,8.98 +- 1.565,8.90 +- 1.934,0.45 +- 0.062,1.13 +- 0.196,4.73 +- 0.915,1.17 +- 0.155,0.08 +- 0.017,48,1067
Maritime pine,Hsq,"F, H",9.48 +- 2.339,6.68 +- 0.820,0.48 +- 0.069,1.41 +- 0.127,2.99 +- 0.852,1.40 +- 0.146,0.09 +- 0.012,29,427
Maritime pine,Lsq,L,7.50 +- 2.959,10.18 +- 1.197,0.53 +- 0.017,0.85 +- 0.117,4.88 +- 0.729,1.09 +- 0.073,0.07 +- 0.025,48,875
Maritime pine,Lsq,"F, H",8.59 +- 2.589,6.68 +- 1.168,0.48 +- 0.068,1.45 +- 0.091,2.46 +- 0.630,1.37 +- 0.116,0.11 +- 0.023,28,355
Black pine,Hsq,L,13.79 +- 2.100,8.01 +- 0.609,0.62 +- 0.047,1.02 +- 0.179,9.46 +- 0.843,0.89 +- 0.138,0.09 +- 0.017,58,755
Black pine,Hsq,"F, H",12.18 +- 3.246,6.13 +- 0.555,0.44 +- 0.076,0.73 +- 0.120,7.35 +- 1.887,1.03 +- 0.109,0.12 +- 0.020,27,379
Black pine,Lsq,L,16.38 +- 2.363,7.64 +- 3.803,0.70 +- 0.048,0.91 +- 0.130,7.60 +- 0.561,0.83 +- 0.092,0.12 +- 0.016,60,666
Black pine,Lsq,"F, H",9.74 +- 2.620,4.03 +- 0.258,0.44 +- 0.085,1.01 +- 0.121,4.68 +- 1.225,0.97 +- 0.110,0.13 +- 0.023,40,386
Fir,Hsq,L,18.70 +- 5.319,10.71 +- 0.801,0.82 +- 0.090,1.23 +- 0.108,9.42 +- 1.397,2.82 +- 0.476,0.16 +- 0.029,33,437
Fir,Hsq,"F, H",16.17 +- 6.444,7.22 +- 0.965,0.65 +- 0.098,1.57 +- 0.174,3.91 +- 1.604,4.66 +- 0.669,0.28 +- 0.071,24,277
Fir,Lsq,L,17.53 +- 3.404,10.60 +- 0.459,0.73 +- 0.053,1.17 +- 0.177,10.20 +- 1.021,2.31 +- 0.246,0.25 +- 0.036,34,496
Fir,Lsq,"F, H",20.53 +- 7.411,7.28 +- 0.779,0.58 +- 0.062,1.47 +- 0.257,4.15 +- 0.890,3.85 +- 0.402,0.18 +- 0.026,25,332
Beech,Hsq,L,12.71 +- 2.654,18.11 +- 0.941,0.77 +- 0.063,1.03 +- 0.125,10.95 +- 1.555,1.86 +- 0.159,0.12 +- 0.046,24,561
Beech,Hsq,"F, H",25.94 +- 7.978,11.54 +- 1.513,0.65 +- 0.074,1.42 +- 0.234,3.39 +- 1.336,2.78 +- 0.570,0.18 +- 0.021,22,385
Beech,Lsq,L,13.28 +- 2.619,17.38 +- 1.387,0.73 +- 0.069,0.87 +- 0.121,10.15 +- 2.263,2.17 +- 0.580,0.16 +- 0.038,24,567
Beech,Lsq,"F, H",21.83 +- 6.842,13.03 +- 1.837,0.74 +- 0.061,1.37 +- 0.143,3.75 +- 1.425,4.32 +- 0.882,0.19 +- 0.026,22,394
Beech,Hsq,L,13.47 +- 4.699,11.34 +- 4.123,0.66 +- 0.158,1.09 +- 0.177,8.57 +- 2.647,1.68 +- 0.806,0.11 +- 0.044,40,709
Grand,NA,"F, H",15.94 +- 8.312,7.87 +- 2.374,0.56 +- 0.125,1.28 +- 0.366,4.41 +- 2.263,2.43 +- 1.487,0.16 +- 0.064,25,368
Grand,NA,Mean,14.72,9.60,0.61,1.19,6.45,2.06,0.14,NA,NA
Mean,Lsq,L,13.65 +- 4.856,11.47 +- 3.781,0.67 +- 0.097,0.95 +- 0.188,8.13 +- 2.567,1.59 +- 0.722,0.15 +- 0.088,42,658
Mean,Lsq,"F, H",15.17 +- 8.058,7.77 +- 3.511,0.56 +- 0.136,1.32 +- 0.248,3.75 +- 1.363,2.63 +- 1.555,0.15 +- 0.042,29,367
Mean,Lsq,Mean,14.42,9.62,0.61,1.14,5.93,2.12,0.15,NA,NA
