"Table 1. Selected soil properties, including %C, %N, C/N, δ15N, Δ14C [Δ14C from (Torn et al., 1997) and new data acquired in this MS for Pololu] and SRO mineral abundance, with depth across the chronosequence: Site A) Thurston 300y, Site B) Laupahoehoe 20 ky, Site C) Kohala 150 ky, Site D) Pololu 350 ky, Site E) Kolekole 1.4 My, Site F) Kokee 4.1 My. Bw mineral horizons used in Fig. 9b, B and A horizons used in the core leaching experiment shown in boldface type. - are used to show no data, unless a dash with a number means approximation",,,,,,,,,
Site,Horizon designation,Mineral sample no.,Depth (cm),C (%),N (%),C/N,δ15N (‰),Δ14C (‰),SRO minerals (%)
Thurston 0.3 ky,Oie,-,0-4,51.6,1.2,43,-4.5,-,-
Thurston 0.3 ky,Oa,-,4-10,36.8,1.3,28,-3.1,202.8,-
Thurston 0.3 ky,A,1,10-18,8.4,0.5,16,-0.7,144.3,9
Thurston 0.3 ky,Bw,2,18-26,1.8,0.1,17,1.5,98.9,12
Thurston 0.3 ky,2AB,3,26-29,4.5,0.3,16,2.2,2.91,10
Thurston 0.3 ky,2Bwb,4,29-35,4,0.3,16,1.8,-4.09,9
Laupahoehoe 20 yr,Oie,-,0-5,51.4,1.4,37,1.6,15.75,-
Laupahoehoe 20 yr,Oa,-,5-12,33.8,1.5,23,2.9,194.3,-
Laupahoehoe 20 yr,Ag or Bh,5,12-20,32.8,1.8,18,5.9,-0.32,14
Laupahoehoe 20 yr,Bg or Bhs,6,20-27,15.7,0.7,22,5.6,-205,19
Laupahoehoe 20 yr,BW1,7,27-39,10.8,0.39,28,4.3,-224,35
Laupahoehoe 20 yr,Bw2,8,39-52,10.7,0.37,29,4.6,-318,25
Laupahoehoe 20 yr,Bw3,9,52-71,10.8,0.34,32,3.2,-426,50
Laupahoehoe 20 yr,Bw4,10,71-94,9.9,0.31,32,3.5,-582,55
Kohala 150 yr,Oie,-,0-2,41.8,1.8,23,0.0,-,-
Kohala 150 yr,Oa,-,2-4,33.3,1.77,19,2.6,198.1,-
Kohala 150 yr,Ag or Bh,11,4-11,20.6,1.56,13,3.1,-35.3,7
Kohala 150 yr,Bg or Bhs,12,11-21,3.9,0.47,8,4.7,-178,4
Kohala 150 yr,Bw1,13,21-48,8.6,0.29,29,4.1,-386,38
Kohala 150 yr,Bw2,14,48-78,9.1,0.25,37,2.8,-823,32
Kohala 150 yr,Cr1,15,78-100,7.6,0.19,40,1.3,-916,33
Pololu 350 ky,Oie,-,0-7,42.8,1,45,-0.8,-,-
Pololu 350 ky,Oa,-,7015,45.7,1.9,24,4.0,-,-
Pololu 350 ky,Ag or Bh,16,15-25,22.1,1.2,18,4.1,1.8,1
Pololu 350 ky,Bg or Bhs,17,25-31,13.6,0.8,18,3.9,-,3
Pololu 350 ky,Bw1,18,31-46,13.7,0.36,38,1.6,-,43
Pololu 350 ky,Bw2,19,46-62,11.9,0.32,37,1.9,-565,40
Pololu 350 ky,B3,20,62-80,9.5,0.32,30,1.3,-,45
Pololu 350 ky,Cr,21,80+,8.6,0.26,33,1.7,-,68
Kolekole 1.4 My,Oie,-,0-2,47.5,1.7,27,-1.5,-,-
Kolekole 1.4 My,Oa,-,2-10,35.9,1.6,22,0.9,262.4,-
Kolekole 1.4 My,Ag or Bh,22,10-21,22.3,1.33,17,5.5,24.25,13
Kolekole 1.4 My,Bg or Bhs,23,21-30,12.6,0.8,16,4.0,-32.4,14
Kolekole 1.4 My,Bw1,24,31-38,7.6,0.42,18,4.2,-197,14
Kolekole 1.4 My,Bw2,25,38-58,1.5,0.06,24,4.2,-303,26
Kolekole 1.4 My,Bw3,26,58-72,1.1,0.04,28,3.7,-486,23
Kokee 4.1 My,Oie,-,0-2,52.91,2.18,24,1.4,-,-
Kokee 4.1 My,Oa ,-,2-7,48.42,2.06,24,2.8,193.4,-
Kokee 4.1 My,Ag or Bh,27,7-11,14.76,0.65,23,2.9,142.4,5
Kokee 4.1 My,Bhs,28,11-16,3.56,0.14,25,2.9,-724,3
Kokee 4.1 My,Bw1,29,16-23,2.36,0.09,27,3.2,-104,4
Kokee 4.1 My,Bw2,30,23-32,3.17,0.09,34,5.0,-320,6
Kokee 4.1 My,Bw3,31,32-43,2.56,0.15,17,5.7,-459,4
Kokee 4.1 My,Bw4,32,43-54,2.25,0.22,10,6.0,-648,5
Kokee 4.1 My,Bw5,33,54-72,1.2,0.07,17,6.1,-821,5
