Fig. 3. (A) Soil depth profiles of organic carbon content at each of the soil pits collected across the climate sequence on Mauna Kea.,,,
Pit,Site elevation (m),Organic carbon content (%),Depth (cm)
Pit 1,"3,560",0.809,26.8
Pit 1,"3,560",0.732,32.3
Pit 1,"3,440",1.05,34.5
Pit 1,"3,440",1.20,24.6
Pit 1,"3,440",1.09,73.24
Pit 1,"3,260",2.20,5.54
Pit 1,"3,260",2.96,9.23
Pit 1,"3,260",2.38,13.5
Pit 1,"3,260",1.24,25.8
Pit 1,"3,260",2.01,40.6
Pit 1,"3,260",1.10,57.2
Pit 1,"3,260",1.50,75.1
Pit 1,"3,260",0.805,85.5
Pit 1,"3,260",0.768,95.4
Pit 1,"3,030",2.40,9.23
Pit 1,"3,030",2.36,17.2
Pit 1,"3,030",4.69,27.7
Pit 1,"3,030",2.25,37.5
Pit 1,"3,030",0.873,57.9
Pit 1,"3,030",0.764,78.2
Pit 2,"3,560",0.768,18.9
Pit 2,"3,560",0.768,23.8
Pit 2,"3,560",0.732,53.0
Pit 2,"3,440",1.24,29.3
Pit 2,"3,440",1.16,49.4
Pit 2,"3,440",0.836,79.3
Pit 2,"3,260",3.17,6.10
Pit 2,"3,260",2.58,18.3
Pit 2,"3,260",2.02,30.5
Pit 2,"3,260",3.35,41.5
Pit 2,"3,260",1.51,59.8
Pit 2,"3,260",1.33,78.0
Pit 2,"3,260",0.736,87.2
Pit 2,"3,030",2.40,15.6
Pit 2,"3,030",3.02,22.9
Pit 2,"3,030",1.85,30.8
Pit 2,"3,030",0.764,50.9
Pit 2,"3,030",0.727,71.0
Pit 3,"3,560",0.732,30.7
Pit 3,"3,560",0.695,45.4
Pit 3,"3,560",0.695,56.4
Pit 3,"3,440",1.05,58.3
Pit 3,"3,440",1.09,65.0
Pit 3,"3,440",1.16,85.3
Pit 3,"3,440",0.800,98.2
Pit 3,"3,260",NA,NA
Pit 3,"3,030",3.42,17.2
Pit 3,"3,030",3.64,18.7
Pit 3,"3,030",6.91,31.0
Pit 3,"3,030",3.75,44.5
Pit 3,"3,030",2.00,64.7
Pit 3,"3,030",1.31,67.8
Pit 3,"3,030",0.800,87.4
