"Table 1. Selected soil properties from sites sampled across the elevation climate gradient on Mauna Kea. *Notes:* Properties include elevation, rainfall, <2 mm fraction, sand, silt, clay content (%), %C, %N, C/N, extractable Al + 1/2 Fe hydroxylamine content (Alh + 1/2 Feh; %), base saturation (%), cation exchange capacity, and soil pH (measured in a 1:1 mixture of soil and water) All values are reported as means, with SE in parentheses.",,,,,,,,,,,,,,
Site elevation (m),Estimated rainfall (mm),Soil horizon,Profile depth (cm),Soil fraction (%) <2mm,Soil fraction (%) Sand,Soil fraction (%) Silt,Soil fraction (%) Clay,Soil fraction (%) Alh + 1/2 Feh,Soil fraction (%) C,Soil fraction (%) N,C/N,CEC (mEq/100 g),Base saturation (%),pH
"3,560",250,surface pebbles,0-10,7.8(4.1),-,-,-,-,-,-,-,-,-,-
"3,560",250,coarse-grained tephra,10-23,76.7(5.2),90.1(5.2),8.3(4.6),1.6(0.6),3.81(0.51),0.18(0.01),0.02(0.01),7.9(0.3),16.66(3.68),15.51(3.53),6.8(0.1)
"3,560",250,"C, cinder",23-59,59.3(4.2),97.1(0.7),2.0(0.5),1.0(0.2),2.57(0.63),0.05(0.01),0.00(0.00),7.9(2.2),12.98(3.91),23.46(15.81),7.0(0.1)
"3,440",300,surface pebbles,0-20,2.1(0.2),-,-,-,-,-,-,-,-,-,-
"3,440",300,coarse-grained tephra,20-35,84.2(2.9),92.3(0.9),5.6(0.9),2.2(0.3),3.33(0.38),0.38(0.08),0.04(0.01),9.5(0.5),14.58(1.01),8.82(2.29),6.5(0.1)
"3,440",300,cinder,35-97,75.5(9.1),90.8(1.4),5.9(0.7),3.4(1.0),4.26(0.31),0.37(0.03),0.03(0.01),11.3(0.3),18.92(2.64),21.91(4.22),6.7(0.1)
"3,260",400,surface pebbles,0-8,-,-,-,-,-,-,-,-,-,-,-
"3,260",400,"A, fine tephra",8-18,90.6(—),78.2(—),17.5(—),4.2(—),3.02(—),2.49(—–),0.25(—),9.9(—),24.99(—),26.54(—),6.3(—)
"3,260",400,"Bw, fine tephra",18-77,85.1(—),77.7(—),19.4(—),2.9(—),4.32(—),1.32(—–),0.13(—),10.1(—),30.13(—),23.14(—),6.7(—)
"3,260",400,"C, cinder",77-100,90.7(—),90.3(—),6.6(—),3.1(—),5.14(—),0.31(—–),0.03(—),12.7(—),22.29(—),33.48(—),6.9(—)
"3,030",500,Oiea,0-7,-,-,-,-,-,39.54(3.54),2.09(0.25),18.9(0.7),-,-,-
"3,030",500,"A, fine tephra",7-20,96.9(1.3),82.5(1.2),13.5(0.5),3.9(0.7),4.71(1.12),2.17(0.46),0.21(0.04),10.5(0.2),22.74(1.21),34.37(4.58),6.4(0.1)
"3,030",500,"Bw, fine tephra",20-47,94.7(2.2),72.9(1.5),20.5(1.2),6.6(0.3),5.96(0.97),2.82(0.49),0.25(0.04),11.5(0.2),41.68(6.32),16.66(4.69),6.5(0.1)
"3,030",500,"C, cinder",47-81,91.1(3.5),95.4(1.1),2.6(0.3),2.1(0.8),5.83(1.35),0.11(0.03),0.01(0.01),14.3(0.3),16.01(0.61),35.41(4.41),6.8(0.1)
