Fig. 3. (A) Soil depth profiles of organic carbon content at each of the soil pits collected across the climate sequence on Mauna Kea.,,,
Pit,Site elevation (m),Organic carbon content (%),Depth (cm)
Pit 1,3560,0.83,25.7
Pit 1,3560,0.72,31.7
Pit 1,3440,1.02,35.1
Pit 1,3440,1.15,25.1
Pit 1,3440,1.04,73.7
Pit 1,3260,2.21,6.04
Pit 1,3260,2.99,10.3
Pit 1,3260,2.40,14.3
Pit 1,3260,1.25,25.97
Pit 1,3260,2.02,41.4
Pit 1,3260,1.09,57.4
Pit 1,3260,1.51,75.4
Pit 1,3260,0.83,85.3
Pit 1,3260,0.80,95.6
Pit 1,3030,2.41,10.6
Pit 1,3030,2.37,18.5
Pit 1,3030,4.71,28.7
Pit 1,3030,2.20,38.7
Pit 1,3030,0.79,58.5
Pit 1,3030,0.66,78.8
Pit 2,3560,0.75,18.97
Pit 2,3560,0.73,24.3
Pit 2,3560,0.73,53.4
Pit 2,3440,1.24,29.97
Pit 2,3440,1.16,50.1
Pit 2,3440,0.83,79.96
Pit 2,3260,3.19,7.02
Pit 2,3260,2.57,19.1
Pit 2,3260,2.06,31.1
Pit 2,3260,3.37,42.4
Pit 2,3260,1.52,60.5
Pit 2,3260,1.35,78.6
Pit 2,3260,0.75,87.8
Pit 2,3030,2.34,16.3
Pit 2,3030,2.95,23.5
Pit 2,3030,1.78,31.6
Pit 2,3030,0.69,51.8
Pit 2,3030,0.66,72.0
Pit 3,3560,0.67,30.0
Pit 3,3560,0.67,45.5
Pit 3,3560,0.66,55.8
Pit 3,3440,1.06,57.3
Pit 3,3440,1.11,64.6
Pit 3,3440,1.17,84.96
Pit 3,3440,0.82,98.1
Pit 3,3260,NA,NA
Pit 3,3030,3.48,16.6
Pit 3,3030,3.67,18.2
Pit 3,3030,6.95,30.4
Pit 3,3030,3.81,43.6
Pit 3,3030,2.06,64.0
Pit 3,3030,1.34,66.9
Pit 3,3030,0.83,87.2
