"Table 2. Major elements with depth from sites sampled across the elevation climate gradient on Mauna Kea, including elevation, rainfall, including Alh, Feh, Sih (%), and major elements. *Note:* All values are reported as means with SE in parentheses.",,,,,,,,,,,,,,,
Elevation (m),Rainfall (mm),Soil horizon,Profile depth (cm),Soil fraction (%) SiO$_2$,Soil fraction (%) Al$_2$O$_3$,Soil fraction (%) Fe$_2$O$_3$,Soil fraction (%) CaO,Soil fraction (%) MgO,Soil fraction (%) Na$_2$O,Soil fraction (%) K$_2$O,Soil fraction (%) TiO$_2$,Soil fraction (%) MnO,Soil fraction (%) P$_2$O$_5$,Soil fraction (%) BaO,Soil fraction (%) LOI
"3,560",250,surface pebbles,0-10,48.81(0.39),18.14(0.17),11.82(0.15),6.27(0.02),3.71(0.03),4.11(0.04),1.64(0.06),2.79(0.05),0.23,0.96(0.02),0.07,1.26(0.18)
"3,560",250,fine-grained tephra,10-23,44.05(0.71),19.37(0.26),13.14(0.14),5.62(0.14),4.05(0.09),3.21(0.11),1.05(0.07),3.06(0.04),0.23,0.91(0.02),0.08,6.46(1.05)
"3,560",250,cinder,23-59,46.86(0.91),18.48(0.39),12.45(0.13),6.11(0.13),3.99(0.08),3.66(0.16),1.38(0.12),2.91(0.06),0.22,0.88(0.01),0.07,2.72(0.81)
"3,440",300,surface pebbles,0-20,50.77(0.02),18.67(0.11),9.97(0.01),5.77(0.06),3.12(0.01),4.5(0.02),1.85(0.03),2.28(0.01),0.22(0),0.97(0.02),0.08(0),1.56(0.08)
"3,440",300,fine-grained tephra,20-35,43.13(0.44),19.15(0.06),13.74(0.08),5.62(0.05),4.54(0.08),3.2(0.06),0.96(0.03),3.18(0.01),0.24(0),0.89(0.01),0.06(0),4.95(0.46)
"3,440",300,cinder,35-97,42.06(0.22),19.92(0.08),13.64(0.03),5.51(0.03),4.14(0.05),3.1(0.04),0.82(0.03),3.21(0.02),0.24(0),0.91(0.01),0.07(0),6.06(0.22)
"3,260",400,surface pebbles,0-8,50.12(—),17.73(—),10.47(—),6.26(—),3.51(—),4.21(—),1.66(—),2.51(—),0.21(—),0.95(—),0.08(—),1.46(—)
"3,260",400,A horizon (fine-grained tephra),8-10,42.19(—),17.66(—),12.82(—),5.41(—),4.04(—),3.12(—),0.95(—),2.89(—),0.23(—),0.96(—),0.07(—),9.31(—)
"3,260",400,Bw and fine tephra,18-77,41.41(—),19.34(—),13.16(—),5.22(—),3.84(—),3.07(—),0.94(—),3.01(—),0.24(—),0.92(—),0.07(—),8.51(—)
"3,260",400,cinder,77-100,41.53(—),20.33(—),13.29(—),5.47(—),3.76(—),2.98(—),0.78(—),3.15(—),0.25(—),0.95(—),0.07(—),7.07(—)
"3,030",500,Oiea,0-7,-,-,-,-,-,-,-,-,-,-,-,-
"3,030",500,A horizon (fine-grained tephra),7-20,43.04(0.26),17.45(0.45),13.12(0.27),5.64(0.09),4.35(0.06),3.24(0.04),1.04(0.01),2.94(0.09),0.24(0),0.85(0.02),0.07(0),7.71(0.66)
"3,030",500,Bw and fine tephra,20-47,35.54(0.92),20.49(0.12),14.06(0.09),4.62(0.15),4.11(0.08),2.38(0.11),0.68(0.01),3.28(0.03),0.25(0),0.91(0.02),0.05(0),13.47(1.32)
"3,030",500,cinder,47-81,43.28(0.24),19.54(0.03),13.24(0.14),5.93(0.03),4.09(0.11),3.26(0.04),0.93(0.02),3.08(0.02),0.24(0),0.89(0.01),0.07(0),5.15(0.09)
