Fig. 2 Subsequent microbial respiration rate from *Bromus diandrus* litter as a function of time for litter exposed during summer. Mean and standard errors are shown (*n*=4). *P < 0.1 and **P < 0.05,,,,,,
x value,y value,y value SE difference,UV treatment,x value unit,y value unit,P value
1.0,11.7,0.97,UV pass,Days since the start of incubation,Microbial respiration (μg C g^{-1} litter hr^{-1}),**
1.0,29.7,3.8,UV block,Days since the start of incubation,Microbial respiration (μg C g^{-1} litter hr^{-1}),-
2.0,280.0,26.0,UV pass,Days since the start of incubation,Microbial respiration (μg C g^{-1} litter hr^{-1}),**
2.0,375.2,27.3,UV block,Days since the start of incubation,Microbial respiration (μg C g^{-1} litter hr^{-1}),-
3.0,218.2,8.1,UV pass,Days since the start of incubation,Microbial respiration (μg C g^{-1} litter hr^{-1}),-
3.0,203.0,20.7,UV block,Days since the start of incubation,Microbial respiration (μg C g^{-1} litter hr^{-1}),-
4.0,157.9,8.5,UV pass,Days since the start of incubation,Microbial respiration (μg C g^{-1} litter hr^{-1}),-
4.0,162.4,15.4,UV block,Days since the start of incubation,Microbial respiration (μg C g^{-1} litter hr^{-1}),-
5.0,125.6,11.6,UV pass,Days since the start of incubation,Microbial respiration (μg C g^{-1} litter hr^{-1}),-
5.0,132.8,10.7,UV block,Days since the start of incubation,Microbial respiration (μg C g^{-1} litter hr^{-1}),-
6.0,111.5,5.8,UV pass,Days since the start of incubation,Microbial respiration (μg C g^{-1} litter hr^{-1}),-
6.0,122.8,11.7,UV block,Days since the start of incubation,Microbial respiration (μg C g^{-1} litter hr^{-1}),-
7.0,98.8,7.7,UV pass,Days since the start of incubation,Microbial respiration (μg C g^{-1} litter hr^{-1}),-
7.0,104.7,10.4,UV block,Days since the start of incubation,Microbial respiration (μg C g^{-1} litter hr^{-1}),-
8.0,94.4,7.0,UV pass,Days since the start of incubation,Microbial respiration (μg C g^{-1} litter hr^{-1}),-
8.0,105.6,9.8,UV block,Days since the start of incubation,Microbial respiration (μg C g^{-1} litter hr^{-1}),-
9.0,69.8,5.7,UV pass,Days since the start of incubation,Microbial respiration (μg C g^{-1} litter hr^{-1}),-
9.0,83.7,5.0,UV block,Days since the start of incubation,Microbial respiration (μg C g^{-1} litter hr^{-1}),-
11.0,57.5,4.2,UV pass,Days since the start of incubation,Microbial respiration (μg C g^{-1} litter hr^{-1}),**
11.0,75.0,5.2,UV block,Days since the start of incubation,Microbial respiration (μg C g^{-1} litter hr^{-1}),-
13.0,67.4,6.6,UV pass,Days since the start of incubation,Microbial respiration (μg C g^{-1} litter hr^{-1}),-
13.0,77.1,2.1,UV block,Days since the start of incubation,Microbial respiration (μg C g^{-1} litter hr^{-1}),-
15.0,76.3,2.7,UV pass,Days since the start of incubation,Microbial respiration (μg C g^{-1} litter hr^{-1}),**
15.0,90.8,4.8,UV block,Days since the start of incubation,Microbial respiration (μg C g^{-1} litter hr^{-1}),-
17.0,41.0,1.7,UV pass,Days since the start of incubation,Microbial respiration (μg C g^{-1} litter hr^{-1}),**
17.0,57.5,3.3,UV block,Days since the start of incubation,Microbial respiration (μg C g^{-1} litter hr^{-1}),-
19.0,46.4,2.6,UV pass,Days since the start of incubation,Microbial respiration (μg C g^{-1} litter hr^{-1}),**
19.0,71.9,8.0,UV block,Days since the start of incubation,Microbial respiration (μg C g^{-1} litter hr^{-1}),-
21.0,52.5,3.0,UV pass,Days since the start of incubation,Microbial respiration (μg C g^{-1} litter hr^{-1}),**
21.0,84.8,11.4,UV block,Days since the start of incubation,Microbial respiration (μg C g^{-1} litter hr^{-1}),-
23.0,50.8,3.2,UV pass,Days since the start of incubation,Microbial respiration (μg C g^{-1} litter hr^{-1}),*
23.0,81.6,13.5,UV block,Days since the start of incubation,Microbial respiration (μg C g^{-1} litter hr^{-1}),-
25.0,47.8,4.7,UV pass,Days since the start of incubation,Microbial respiration (μg C g^{-1} litter hr^{-1}),*
25.0,71.8,10.6,UV block,Days since the start of incubation,Microbial respiration (μg C g^{-1} litter hr^{-1}),-
