"Relationship between litter N concentration and cumulative microbial respiration when the treatments were applied during a summer, b summer-winter, and c 1 year. r, Pearson correlation coefficient",,,,,,
x value,y value,x axis label,y axis label,graph label,UV Treatment,r and P values
0.52,46.6,Litter N %,Cumulative Microbial Respiration (mg C g^{-1} litter),a) Summer,UV Pass,"r = 0.928, P < 0.001"
0.53,41.6,Litter N %,Cumulative Microbial Respiration (mg C g^{-1} litter),a) Summer,UV Pass,"r = 0.928, P < 0.001"
0.54,45.6,Litter N %,Cumulative Microbial Respiration (mg C g^{-1} litter),a) Summer,UV Pass,"r = 0.928, P < 0.001"
0.58,55.5,Litter N %,Cumulative Microbial Respiration (mg C g^{-1} litter),a) Summer,UV Pass,"r = 0.928, P < 0.001"
0.63,56.4,Litter N %,Cumulative Microbial Respiration (mg C g^{-1} litter),a) Summer,UV Block,"r = 0.928, P < 0.001"
0.64,52.2,Litter N %,Cumulative Microbial Respiration (mg C g^{-1} litter),a) Summer,UV Block,"r = 0.928, P < 0.001"
0.72,60.5,Litter N %,Cumulative Microbial Respiration (mg C g^{-1} litter),a) Summer,UV Block,"r = 0.928, P < 0.001"
0.76,71.9,Litter N %,Cumulative Microbial Respiration (mg C g^{-1} litter),a) Summer,UV Block,"r = 0.928, P < 0.001"
0.51,42.7,Litter N %,Cumulative Microbial Respiration (mg C g^{-1} litter),b) Summer -Winter,UV Pass,"r = 0.669, P = 0.070"
0.55,52.4,Litter N %,Cumulative Microbial Respiration (mg C g^{-1} litter),b) Summer -Winter,UV Pass,"r = 0.669, P = 0.070"
0.64,43.8,Litter N %,Cumulative Microbial Respiration (mg C g^{-1} litter),b) Summer -Winter,UV Pass,"r = 0.669, P = 0.070"
0.66,58.4,Litter N %,Cumulative Microbial Respiration (mg C g^{-1} litter),b) Summer -Winter,UV Pass,"r = 0.669, P = 0.070"
0.52,41.6,Litter N %,Cumulative Microbial Respiration (mg C g^{-1} litter),b) Summer -Winter,UV Block,"r = 0.669, P = 0.070"
0.58,48.6,Litter N %,Cumulative Microbial Respiration (mg C g^{-1} litter),b) Summer -Winter,UV Block,"r = 0.669, P = 0.070"
0.62,53.9,Litter N %,Cumulative Microbial Respiration (mg C g^{-1} litter),b) Summer -Winter,UV Block,"r = 0.669, P = 0.070"
0.65,53.8,Litter N %,Cumulative Microbial Respiration (mg C g^{-1} litter),b) Summer -Winter,UV Block,"r = 0.669, P = 0.070"
0.59,41.1,Litter N %,Cumulative Microbial Respiration (mg C g^{-1} litter),c) One Year,UV Pass,"r = 575, P = 0.136"
0.61,72.5,Litter N %,Cumulative Microbial Respiration (mg C g^{-1} litter),c) One Year,UV Pass,"r = 575, P = 0.136"
0.62,44.6,Litter N %,Cumulative Microbial Respiration (mg C g^{-1} litter),c) One Year,UV Pass,"r = 575, P = 0.136"
0.67,47.5,Litter N %,Cumulative Microbial Respiration (mg C g^{-1} litter),c) One Year,UV Pass,"r = 575, P = 0.136"
0.67,46,Litter N %,Cumulative Microbial Respiration (mg C g^{-1} litter),c) One Year,UV Pass,"r = 575, P = 0.136"
0.61,44.8,Litter N %,Cumulative Microbial Respiration (mg C g^{-1} litter),c) One Year,UV Block,"r = 575, P = 0.136"
0.61,77.1,Litter N %,Cumulative Microbial Respiration (mg C g^{-1} litter),c) One Year,UV Block,"r = 575, P = 0.136"
0.65,41.2,Litter N %,Cumulative Microbial Respiration (mg C g^{-1} litter),c) One Year,UV Block,"r = 575, P = 0.136"
0.66,58.7,Litter N %,Cumulative Microbial Respiration (mg C g^{-1} litter),c) One Year,UV Block,"r = 575, P = 0.136"
0.68,50.8,Litter N %,Cumulative Microbial Respiration (mg C g^{-1} litter),c) One Year,UV Block,"r = 575, P = 0.136"
