"TABLE 2 Soil carbon pools (g C m<sup>-2</sup> to 30cm depth) in grass and grass removal plots. Values are treatment means (±1 SE; *n* = 3); means with the same letter within a row do not differ at α = 0.05. *Organic matter (roots and mineral soil C) contained within porous lava rocks. †Microbial biomass C (mg C g dry soil<sup>-1</sup>)."
Component,Soil C (gCm<sup>-2</sup>) Removal,Soil C (gCm<sup>-2</sup>) Grass
Litter layer - Year 1,548 (75)<sup>a</sup>,592 (77)<sup>a</sup>
Litter layer - Year 2,291 (12)<sup>a</sup>,327 (60)<sup>a</sup>
Roots - Fine (<2mm),209 (36)<sup>a</sup>,191 (49)<sup>a</sup>
Roots - Coarse (≥2mm),144 (50)<sup>a</sup>,145 (47)<sup>a</sup>
Total root,353 (85)<sup>a</sup>,336 (93)<sup>a</sup>
Mineral soil - Fine (<2mm),20 695 (3114)<sup>a</sup>,20 281 (1897)<sup>a</sup>
"Mineral soil - Coarse (≥2mm, <5mm)",610 (271)<sup>a</sup>,524 (67)<sup>a</sup>
Mineral soil - Rock* (≥5mm),467 (98)<sup>a</sup>,624 (135)<sup>a</sup>
C<sub>mic</sub> † - Year 1,1.9 (0.3)<sup>a</sup>,1.9 (0.1)<sup>a</sup>
C<sub>mic</sub> † - Year 2,1.9 (0.1)<sup>a</sup>,1.9 (0.5)<sup>a</sup>
Total mineral soil,21 771 (2948)<sup>a</sup>,21 428 (1936)<sup>a</sup>
Total soil carbon,22 627 (2855)<sup>a</sup>,22 356 (1772)<sup>a</sup>
