"Table 2. Soil Carbon pools (g C m-2 to 30 cm depth) in grass and grass removal plots. Values are treatment means (± 1 SE; n= 3); means with the same letter within a row do not differ at α= 0.05. * Organic matter (roots and mineral soil C) contained within porous lava rocks. † Microbial biomass C (mg C g dry soil−1).",,
Component,Soil C (g C m-2),Grass Soil C (g C m-2)
Litter Layer - Year 1,548 (75)a,592 (77)a
Litter Layer - Year 2,291 (12)a,327 (60) a
Roots - Fine (<2 mm),209 (36)a,191 (49)a
Roots - Coarse (≥2 mm),144 (50)a,145 (47)a
Roots - Total Root,353 (85)a,336 (93)a
Mineral soil - Fine (<2 mm),20 695 (3114)a,20 281 (1897)a
"Mineral soil - Coarse (≥2 mm, < 5 mm)",610 (271)a,524 (67)a
Mineral soil - Rock* (≥5 mm),467 (98)a,624 (135)a
Cmin † - Year 1,1.9 (0.3)a,1.9 (0.1)a
Cmin † - Year 2,1.9 (0.1)a,1.9 (0.5)a
Total mineral soil,21 771 (2948)a,21 428 (1936)a
Total soil carbon,22 627 (2855)a,22 356 (1772)a
