"Figure 2. Ashe juniper wood change in percent nitrogen through time, shaded and open treatments combined. Linear fit (solid line): r$^2$ = 0.794, *F* = 362.81, *P* < 0.0001; single-exponential (dotted line): r$^2$ = 0.787, *F* = 348.54, *P* < 0.0001.",,,,
x value,y value,y upper SE value,x label,y label
0.10,0.159,0.175,Time (year),Nitrogen (%)
0.26,0.141,0.152,Time (year),Nitrogen (%)
0.42,0.135,0.146,Time (year),Nitrogen (%)
0.50,0.127,0.136,Time (year),Nitrogen (%)
0.82,0.138,0.144,Time (year),Nitrogen (%)
1.10,0.165,0.173,Time (year),Nitrogen (%)
1.30,0.282,0.320,Time (year),Nitrogen (%)
1.37,0.287,0.327,Time (year),Nitrogen (%)
1.62,0.341,0.381,Time (year),Nitrogen (%)
2.26,0.366,0.397,Time (year),Nitrogen (%)
2.66,0.440,0.517,Time (year),Nitrogen (%)
