"Figure 2. Ashe juniper wood change in percent nitrogen through time, shaded and open treatments combined. Linear fit (solid line): r$^2$ = 0.794, *F* = 362.81, *P* < 0.0001; single-exponential (dotted line): r$^2$ = 0.787, *F* = 348.54, *P* < 0.0001.",,,,
x value,y value,y upper SE value,x label,y label
0.00,0.159,0.175,Time (year),Nitrogen (%)
0.17,0.140,0.152,Time (year),Nitrogen (%)
0.33,0.134,0.145,Time (year),Nitrogen (%)
0.42,0.126,0.136,Time (year),Nitrogen (%)
0.75,0.136,0.143,Time (year),Nitrogen (%)
1.00,0.164,0.173,Time (year),Nitrogen (%)
1.25,0.280,0.320,Time (year),Nitrogen (%)
1.33,0.286,0.327,Time (year),Nitrogen (%)
1.58,0.339,0.380,Time (year),Nitrogen (%)
2.25,0.364,0.397,Time (year),Nitrogen (%)
2.67,0.438,0.517,Time (year),Nitrogen (%)
