"Figure 3. Ashe juniper wood change in carbon:nitrogen (C:N) through time, shaded and open treatments combined. Linear fit (solid line): r$^2$ = 0.726, *F* = 246.44, *P* < 0.0001; single-exponential (dotted line): r$^2$ = 0.772, *F* = 315.86, *P* < 0.0001.",,,,
x value,y value,y SE high value,x label,y label
0.00,312,346,Time (year),C:N ratio
0.17,345,368,Time (year),C:N ratio
0.33,364,395,Time (year),C:N ratio
0.42,391,420,Time (year),C:N ratio
0.75,362,379,Time (year),C:N ratio
1.00,302,317,Time (year),C:N ratio
1.25,180,205,Time (year),C:N ratio
1.33,174,199,Time (year),C:N ratio
1.58,147,168,Time (year),C:N ratio
2.25,138,150,Time (year),C:N ratio
2.67,122,142,Time (year),C:N ratio
