"Figure 3. Ashe juniper wood change in carbon:nitrogen (C:N) through
time, shaded and open treatments combined. Linear fit (solid line):
$r^2$ = 0.726, *F* = 246.44, *P* < 0.0001; single-exponential (dotted line):
$r^2$ = 0.772, *F* = 315.86, *P* < 0.0001.",,,,
x value,y value,upper y SE,x label ,y label
0.00,313,346,Time (year),C:N ratio
0.16,345,368,Time (year),C:N ratio
0.33,365,395,Time (year),C:N ratio
0.42,391,420,Time (year),C:N ratio
0.76,362,379,Time (year),C:N ratio
1.00,303,318,Time (year),C:N ratio
1.25,181,205,Time (year),C:N ratio
1.33,175,200,Time (year),C:N ratio
1.58,148,168,Time (year),C:N ratio
2.25,138,150,Time (year),C:N ratio
2.67,122,142,Time (year),C:N ratio
