"Fig. 4. Basal Respiration (a), Metabolic quotient qCO$_2$ (b) and AWCD calculated from Biolog after 45 h after 2 (June), 5 (September), and 13 (May) months. Litterbags C10/C10 (black) and C10/C300 (white) are litters from area C10 placed in area C10 or C300, respectively. Litterbags C300/C300 (gray) and C300/C10 (dash) are litters from area C300 placed in area C300 or C10, respectively. The different letters show significant differences of means according to Kruskal–Wallis non parametric comparison (p < 0.05) between the litterbags tested separately for each sampling time. Error bars are SE (n = 3). At t0 BR, qCO$_2$ and AWCD were respectively in C10 and C300: 43 (±2), 49 (±2), 2.9 (±0.0), 3.5 (±0.0), 0.6 (±0.0), and 0.8 (±0.0).",,,,,,
y value,SE high y value,x label,y label,graph label,litterbag type,footnotes
88.2,92.4,June 2009,μg CO2-C gdw$^{-1}$,a,C10/C10,a
87.4,89.6,June 2009,μg CO2-C gdw$^{-1}$,a,C10/C300,a
87.5,97.9,June 2009,μg CO2-C gdw$^{-1}$,a,C300/C300,a
82.2,94.4,June 2009,μg CO2-C gdw$^{-1}$,a,C300/C10,a
53.1,55.7,September 2009,μg CO2-C gdw$^{-1}$,a,C10/C10,ab
49.6,53.3,September 2009,μg CO2-C gdw$^{-1}$,a,C10/C300,a
57.8,61.6,September 2009,μg CO2-C gdw$^{-1}$,a,C300/C300,b
67.6,71.3,September 2009,μg CO2-C gdw$^{-1}$,a,C300/C10,c
45.2,50.8,May 2010,μg CO2-C gdw$^{-1}$,a,C10/C10,a
61.8,62.8,May 2010,μg CO2-C gdw$^{-1}$,a,C10/C300,b
62.5,66.9,May 2010,μg CO2-C gdw$^{-1}$,a,C300/C300,b
53.7,58.5,May 2010,μg CO2-C gdw$^{-1}$,a,C300/C10,a
5.30,5.66,June 2009,qCO$^2$,b,C10/C10,a
5.46,5.56,June 2009,qCO$^2$,b,C10/C300,a
5.81,6.77,June 2009,qCO$^2$,b,C300/C300,a
5.36,6.22,June 2009,qCO$^2$,b,C300/C10,a
3.55,3.80,September 2009,qCO$^2$,b,C10/C10,a
3.49,3.80,September 2009,qCO$^2$,b,C10/C300,a
4.59,4.93,September 2009,qCO$^2$,b,C300/C300,b
5.65,6.47,September 2009,qCO$^2$,b,C300/C10,b
2.91,3.36,May 2010,qCO$^2$,b,C10/C10,a
3.98,4.21,May 2010,qCO$^2$,b,C10/C300,b
4.46,4.83,May 2010,qCO$^2$,b,C300/C300,b
3.41,3.65,May 2010,qCO$^2$,b,C300/C10,a
0.359,0.368,June 2009,ACWD 45h,c,C10/C10,a
0.352,0.389,June 2009,ACWD 45h,c,C10/C300,a
0.652,0.699,June 2009,ACWD 45h,c,C300/C300,b
0.482,0.539,June 2009,ACWD 45h,c,C300/C10,b
0.819,0.947,September 2009,ACWD 45h,c,C10/C10,a
0.912,1.07,September 2009,ACWD 45h,c,C10/C300,ab
0.937,1.03,September 2009,ACWD 45h,c,C300/C300,ab
1.06,1.12,September 2009,ACWD 45h,c,C300/C10,b
0.60,0.642,May 2010,ACWD 45h,c,C10/C10,a
0.77,-,May 2010,ACWD 45h,c,C10/C300,b
0.75,0.78,May 2010,ACWD 45h,c,C300/C300,b
0.595,0.609,May 2010,ACWD 45h,c,C300/C10,a
