"Fig. 3. Temporal variations in microbial enzyme activities in *Pinus halepensis* litters measured after 2 (June), 5 (September), and 13 (May) months in litterbags. Litterbags C10/C10 (black) and C10/C300 (white) are litters from area C10 placed in area C10 or C300, respectively. Litterbags C300/C300 (gray) and C300/C10 (dash) are litters from area C300 placed in area C300 or C10, respectively. The different letters show significant differences of means according to Kruskal–Wallis non-parametric comparison (p < 0.05) between the litterbags tested separately for each sampling time (n = 12). Error bars are SE (n = 3). At t0 enzyme activities (U gdw$^{−1}$) in C10 and C300 were respectively: laccase activity 0.5 (±1), 1.4 (±0.5), cellulase activity 1.6 (±0.3), 3.2 (±0.5), phosphatase activity 0.8 (±0.1), 0.7 (±0.1), and β-glucosidase activity 0.6 (±0.1), 0.6 (±0.0).",,,,,
U gdW$^{-1}$,high SE y value,x label,graph label,litterbag type,footnotes
0.002,-,June 2009,a) Laccase,C10/C10,ab
0.0,-,June 2009,a) Laccase,C10/C300,a
0.35,0.42,June 2009,a) Laccase,C300/C300,c
0.001,0.008,June 2009,a) Laccase,C300/C10,b
0.04,0.05,September 2009,a) Laccase,C10/C10,ab
0.019,0.024,September 2009,a) Laccase,C10/C300,a
0.58,0.73,September 2009,a) Laccase,C300/C300,bc
0.92,0.93,September 2009,a) Laccase,C300/C10,c
0.06,0.10,May 2010,a) Laccase,C10/C10,a
0.003,0.007,May 2010,a) Laccase,C10/C300,b
0.07,0.086,May 2010,a) Laccase,C300/C300,a
0.095,0.012,May 2010,a) Laccase,C300/C10,b
0.375,0.623,June 2009,b) Cellulase,C10/C10,a
0.671,0.768,June 2009,b) Cellulase,C10/C300,a
1.30,1.61,June 2009,b) Cellulase,C300/C300,b
0.750,0.933,June 2009,b) Cellulase,C300/C10,a
0.328,0.575,September 2009,b) Cellulase,C10/C10,a
0.795,1.12,September 2009,b) Cellulase,C10/C300,a
1.417,1.485,September 2009,b) Cellulase,C300/C300,c
1.01,1.02,September 2009,b) Cellulase,C300/C10,b
0,-,May 2010,b) Cellulase,C10/C10,a
0.380,0.632,May 2010,b) Cellulase,C10/C300,a
1.385,1.500,May 2010,b) Cellulase,C300/C300,b
0,-,May 2010,b) Cellulase,C300/C10,a
0.486,0.556,June 2009,c) β-glucosidase,C10/C10,a
0.531,0.565,June 2009,c) β-glucosidase,C10/C300,a
0.632,0.650,June 2009,c) β-glucosidase,C300/C300,b
0.575,0.647,June 2009,c) β-glucosidase,C300/C10,a
0.543,0.559,September 2009,c) β-glucosidase,C10/C10,a
0.768,0.812,September 2009,c) β-glucosidase,C10/C300,b
0.810,0.880,September 2009,c) β-glucosidase,C300/C300,b
0.748,0.782,September 2009,c) β-glucosidase,C300/C10,b
0.184,0.203,May 2010,c) β-glucosidase,C10/C10,a
0.370,0.508,May 2010,c) β-glucosidase,C10/C300,a
0.560,0.619,May 2010,c) β-glucosidase,C300/C300,b
0.205,0.217,May 2010,c) β-glucosidase,C300/C10,a
0.588,0.706,June 2009,d) Phosphatase,C10/C10,a
0.718,0.770,June 2009,d) Phosphatase,C10/C300,a
1.11,1.17,June 2009,d) Phosphatase,C300/C300,b
0.984,1.04,June 2009,d) Phosphatase,C300/C10,b
1.39,1.44,September 2009,d) Phosphatase,C10/C10,a
1.80,1.90,September 2009,d) Phosphatase,C10/C300,b
1.69,1.85,September 2009,d) Phosphatase,C300/C300,b
1.29,1.41,September 2009,d) Phosphatase,C300/C10,a
0.595,0.757,May 2010,d) Phosphatase,C10/C10,a
0.875,1.01,May 2010,d) Phosphatase,C10/C300,ab
1.76,1.81,May 2010,d) Phosphatase,C300/C300,c
1.15,1.22,May 2010,d) Phosphatase,C300/C10,b
