"Fig. 4. Basal Respiration (a), Metabolic quotient qCO$_2$ (b) and AWCD calculated from Biolog after 45 h after 2 (June), 5 (September), and 13 (May) months. Litterbags C10/C10 (black) and C10/C300 (white) are litters from area C10 placed in area C10 or C300, respectively. Litterbags C300/C300 (gray) and C300/C10 (dash) are litters from area C300 placed in area C300 or C10, respectively. The different letters show significant differences of means according to Kruskal-Wallis non parametric comparison (p < 0.05) between the litterbags tested separately for each sampling time. Error bars are SE (n = 3). At t0 BR, qCO$_2$ and AWCD were respectively in C10 and C300: 43 (±2), 49 (±2), 2.9 (±0.0), 3.5 (±0.0), 0.6 (±0.0), and 0.8 (±0.0).",,,,,,
y value,SE high y value,x label,y label,graph label,litterbag type,footnotes
88.2,92.4,June 2009,μg CO2-C gdw$^{-1}$,a,C10/C10,a
87.3,89.6,June 2009,μg CO2-C gdw$^{-1}$,a,C10/C300,a
87.3,97.7,June 2009,μg CO2-C gdw$^{-1}$,a,C300/C300,a
82.3,94.4,June 2009,μg CO2-C gdw$^{-1}$,a,C300/C10,a
53.2,55.8,September 2009,μg CO2-C gdw$^{-1}$,a,C10/C10,ab
49.6,53.5,September 2009,μg CO2-C gdw$^{-1}$,a,C10/C300,a
57.7,61.7,September 2009,μg CO2-C gdw$^{-1}$,a,C300/C300,b
67.6,71.3,September 2009,μg CO2-C gdw$^{-1}$,a,C300/C10,c
45.4,50.7,May 2009,μg CO2-C gdw$^{-1}$,a,C10/C10,a
62.0,62.8,May 2009,μg CO2-C gdw$^{-1}$,a,C10/C300,b
62.5,66.8,May 2009,μg CO2-C gdw$^{-1}$,a,C300/C300,b
53.8,58.6,May 2009,μg CO2-C gdw$^{-1}$,a,C300/C10,a
5.29,5.65,June 2009,qCO$^2$,b,C10/C10,a
5.44,5.55,June 2009,qCO$^2$,b,C10/C300,a
5.82,6.76,June 2009,qCO$^2$,b,C300/C300,a
5.36,6.21,June 2009,qCO$^2$,b,C300/C10,a
3.54,3.78,September 2009,qCO$^2$,b,C10/C10,a
3.48,3.78,September 2009,qCO$^2$,b,C10/C300,a
4.59,4.93,September 2009,qCO$^2$,b,C300/C300,b
5.65,6.45,September 2009,qCO$^2$,b,C300/C10,b
2.9,3.37,May 2009,qCO$^2$,b,C10/C10,a
3.97,4.2,May 2009,qCO$^2$,b,C10/C300,b
4.46,4.82,May 2009,qCO$^2$,b,C300/C300,b
3.41,3.65,May 2009,qCO$^2$,b,C300/C10,a
0.359,0.369,June 2009,ACWD,c,C10/C10,a
0.354,0.388,June 2009,ACWD,c,C10/C300,a
0.652,0.697,June 2009,ACWD,c,C300/C300,b
0.482,0.537,June 2009,ACWD,c,C300/C10,b
0.817,0.945,September 2009,ACWD,c,C10/C10,a
0.908,1.065,September 2009,ACWD,c,C10/C300,ab
0.937,1.026,September 2009,ACWD,c,C300/C300,ab
1.058,1.115,September 2009,ACWD,c,C300/C10,b
0.60,0.642,May 2009,ACWD,c,C10/C10,a
0.767,-,May 2009,ACWD,c,C10/C300,b
0.752,0.769,May 2009,ACWD,c,C300/C300,b
0.595,0.608,May 2009,ACWD,c,C300/C10,a
