"Table 1. Description of the Four Study Sites. a @Garcia-Montiel1998. See text for primary references for each site",,,,
Characteristic,"Kamae, HI 20°N, 155°W","Chinchuck, HI 20°N, 155°W","Lajas, PR 18°N, 76°W","Toa Baja, PR 18°N, 66°W"
Plantation establishment,September 1982,September 1982,February 1980,September 1989
Age at sampling,15 yr,16 yr,16 yr,7 yr
Land use at time of planting,Fallow sugarcane,Fallow sugarcane,Fallow sugarcane,Pasture
Species: N-fixer(s),*Albizia*,*Albizia*,"*Casuarina, Leucaena*","*Casuarina, Leucaena*"
Species: non-N-fixer,*Eucalyptus saligna*,*Eucalyptus saligna*,*Eucalyptus robusta*,*Eucalyptus robusta*
Climate: Precipitation,4000 mm y$^{-1}$,4000 mm y$^{-1}$,1100 mm y$^{-1}$,1600 mm y$^{-1}$
Climate: Temperature,21°C,21°C,25°C,27°C
Soils: Classification,Typic Hydrudands,Typic Hydrudands,Typic Haplusterts,Typic Troposamments
Soils: Surface soil pH (CaCl$_2$),4.6 a,5.0 a,5.6,7.0
Fertilization regimes,11 and 5 g/m$^2$ N and P at planting,"4, 1.8, and 3.3 g/m$^2$ N, P, and K, respectively, at planting, 4 and 8 mo (and at 12, 18, 24, and 36 mo for *Eucalyptus* seedlings)",11.2 g/m$^2$ N before planting and 6-mo intervals for initial 2 yr,1.0 g/m$^2$ N at 6-mo intervals from March 1990 to 1992
