"Table 2. Soil Bulk Density, pH, Effective Cation Exchange Capacity (ECEC), Base Saturation (BS), N, C, and $^{13}$C Concentrations for A the Kamae Site, B the Chinchuck Site, C the Lajas Site, and D the Toa Baja Site. Standard deviations are provided where applicable. At the Kamae site, one *Eucalyptus* plot is excluded from analysis due to the predominance of rock in the last 20 cm of the 0—40-cm soil core. a Data from @Garcia-Montiel1998. Data were measured from the surface 20 cm of soil when the plantation was 12 years old. b Data from @Wang1991. Data were measured from the top 3 cm of soil when the plantation was 5.5 years old. c Base saturation was calculated as the sum of the basic cations Ca$^{2+}$, Mg$^{2+}$, K$^+$, and Na$^+$ divided by the CEC. d Data from @Parrotta1999. Data were measured from the surface 20 cm of soil when the plantation was 7.5 years old. e Base saturation was calculated as the sum of the basic cations Ca$^{2+}$, Mg$^{2+}$, K$^+$, and Na$^+$ divided by the CEC from @Parrotta1999 and Parrotta Unpublished. Data were measured when the plantation was 7.5 years old.",,,,,,,,,
Location,Species,Depth (cm),Bulk Density (kg L$^{-1}$),pH$^a$ (in Water),ECEC$^a$ (mmol$_c$ kg$^{-1}$),BS$^a$ (%),N (g kg$^{-1}$),C (g kg$^{-1}$),δ$^{13}$C (‰)
A Kamae,*Eucalyptus* (*n* = 3),0-10,0.51 ± 0.08,4.8 ± 0.1,40.4 ± 3.3,22.3 ± 4.3,8.2 ± 0.3,133.4 ± 10.5,-22.8 ± 1.2
A Kamae,*Eucalyptus* (*n* = 3),10-20,0.37 ± 0.13,-,-,-,6.4 ± 1.4,102.5 ± 15.4,-22.5 ± 1.1
A Kamae,*Eucalyptus* (*n* = 3),20-30,0.24 ± 0.04,-,-,-,4.5 ± 0.2,81.7 ± 5.4,-24.1 ± 0.3
A Kamae,*Eucalyptus* (*n* = 3),30-40,0.27 ± 0.03,-,-,-,4.6 ± 0.2,82.4 ± 3.1,-23.9 ± 0.7
A Kamae,*Albizia* (*n* = 4),0-10,0.49 ± 0.06,4.7 ± 0.04,39.4 ± 2.2,20.0 ± 4.7,9.4 ± 0.4,142.4 ± 5.0,-22.9 ± 0.5
A Kamae,*Albizia* (*n* = 4),10-20,0.40 ± 0.14,-,-,-,7.5 ± 0.7,113.8 ± 7.0,-23.1 ± 0.8
A Kamae,*Albizia* (*n* = 4),20-30,0.28 ± 0.06,-,-,-,5.3 ± 0.6,85.5 ± 9.7,-23.5 ± 0.6
A Kamae,*Albizia* (*n* = 4),30-40,0.26 ± 0.07,-,-,-,4.6 ± 0.4,77.5 ± 12.5,-23.8 ± 0.6
A Kamae,Cane (*n* = 3),0-10,0.44 ± 0.10,no data,no data,no data,6.9 ± 0.3,103.7 ± 7.0,-20.4 ± 0.7
A Kamae,Cane (*n* = 3),10-20,0.43 ± 0.12,-,-,-,5.3 ± 0.9,85.9 ± 11.5,-22.2 ± 1.3
