"Figure 1. Total organic (OC) and inorganic (IC) carbon for the four sugarcane cultivars grown in Pulehu soils. Black (solid) portion of the bars represent the IC and color portion represent OC for each soil depth and sugarcane growing stages (i.e., blue (open arrows)-tillering, yellow (irregular shape)-grand growth, green (light circles)-maturity) when the soil samples were collected. Means followed by the same letter or no letters for the bars in each soil depth are not significantly different in the Tukey’s test at Pr < 0.05.",,,,,,
x,footnote,y,site label,x axis label,y axis label,color portion label,bar color
10.0, a,100,H-65-7052 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-green
25.1, a,100,H-65-7052 Pulehu,Total carbon (kg*m^-2),soil depth (cm),maturity - green,black-green
11.2, a,100,H-65-7052 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-yellow
24.7, a,100,H-65-7052 Pulehu,Total carbon (kg*m^-2),soil depth (cm),grand growth - yellow,black-yellow
9.1, b,100,H-65-7052 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-blue
20.9, b,100,H-65-7052 Pulehu,Total carbon (kg*m^-2),soil depth (cm),tillering - blue,black-blue
4.1, a,60,H-65-7052 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-green
10.2, a,60,H-65-7052 Pulehu,Total carbon (kg*m^-2),soil depth (cm),maturity - green,black-green
3.8, b,60,H-65-7052 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-yellow
8.5, b,60,H-65-7052 Pulehu,Total carbon (kg*m^-2),soil depth (cm),grand growth - yellow,black-yellow
2.5, c,60,H-65-7052 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-blue
5.8, c,60,H-65-7052 Pulehu,Total carbon (kg*m^-2),soil depth (cm),tillering - blue,black-blue
3.2, b,30,H-65-7052 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-green
8.0, b,30,H-65-7052 Pulehu,Total carbon (kg*m^-2),soil depth (cm),maturity - green,black-green
4.9, a,30,H-65-7052 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-yellow
10.9, a,30,H-65-7052 Pulehu,Total carbon (kg*m^-2),soil depth (cm),grand growth - yellow,black-yellow
2.8, c,30,H-65-7052 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-blue
4.9, c,30,H-65-7052 Pulehu,Total carbon (kg*m^-2),soil depth (cm),tillering - blue,black-blue
3.5, a,10,H-65-7052 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-green
8.7, a,10,H-65-7052 Pulehu,Total carbon (kg*m^-2),soil depth (cm),maturity - green,black-green
2.8, b,10,H-65-7052 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-yellow
6.2, b,10,H-65-7052 Pulehu,Total carbon (kg*m^-2),soil depth (cm),grand growth - yellow,black-yellow
1.2, c,10,H-65-7052 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-blue
2.9, c,10,H-65-7052 Pulehu,Total carbon (kg*m^-2),soil depth (cm),tillering - blue,black-blue
2.7, a,100,H-86-3792 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-green
20.0, a,100,H-86-3792 Pulehu,Total carbon (kg*m^-2),soil depth (cm),maturity - green,black-green
2.9, b,100,H-86-3792 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-yellow
18.8, b,100,H-86-3792 Pulehu,Total carbon (kg*m^-2),soil depth (cm),grand growth - yellow,black-yellow
2.9, c,100,H-86-3792 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-blue
15.8, c,100,H-86-3792 Pulehu,Total carbon (kg*m^-2),soil depth (cm),tillering - blue,black-blue
2.9, a,60,H-86-3792 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-green
16.1, a,60,H-86-3792 Pulehu,Total carbon (kg*m^-2),soil depth (cm),maturity - green,black-green
1.9, b,60,H-86-3792 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-yellow
12.8, b,60,H-86-3792 Pulehu,Total carbon (kg*m^-2),soil depth (cm),grand growth - yellow,black-yellow
1.6, c,60,H-86-3792 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-blue
10.8, c,60,H-86-3792 Pulehu,Total carbon (kg*m^-2),soil depth (cm),tillering - blue,black-blue
0.9, a,30,H-86-3792 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-green
10.8, a,30,H-86-3792 Pulehu,Total carbon (kg*m^-2),soil depth (cm),maturity - green,black-green
1.1, a,30,H-86-3792 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-yellow
10.6, a,30,H-86-3792 Pulehu,Total carbon (kg*m^-2),soil depth (cm),grand growth - yellow,black-yellow
0.9, b,30,H-86-3792 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-blue
6.5, b,30,H-86-3792 Pulehu,Total carbon (kg*m^-2),soil depth (cm),tillering - blue,black-blue
1.5, a,10,H-86-3792 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-green
9.98, a,10,H-86-3792 Pulehu,Total carbon (kg*m^-2),soil depth (cm),maturity - green,black-green
0.6, b,10,H-86-3792 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-yellow
7.0, b,10,H-86-3792 Pulehu,Total carbon (kg*m^-2),soil depth (cm),grand growth - yellow,black-yellow
0.2, c,10,H-86-3792 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-blue
1.5, c,10,H-86-3792 Pulehu,Total carbon (kg*m^-2),soil depth (cm),tillering - blue,black-blue
2.6, a,100,H-78-3567 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-green
6.2, a,100,H-78-3567 Pulehu,Total carbon (kg*m^-2),soil depth (cm),maturity - green,black-green
2.7, b,100,H-78-3567 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-yellow
5.6, b,100,H-78-3567 Pulehu,Total carbon (kg*m^-2),soil depth (cm),grand growth - yellow,black-yellow
2.5, c,100,H-78-3567 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-blue
4.5, c,100,H-78-3567 Pulehu,Total carbon (kg*m^-2),soil depth (cm),tillering - blue,black-blue
3.5, a,60,H-78-3567 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-green
5.1, a,60,H-78-3567 Pulehu,Total carbon (kg*m^-2),soil depth (cm),maturity - green,black-green
2.3, b,60,H-78-3567 Pulehu,Total carbon (kg*m^-2),soil depth (cm),inorganic carbon - black,black-yellow
