Figure 9. Total Carbon (kg*m^-2) in the first 120 cm of soil accumulation in the different sugarcane cultivars over the sugarcane growing stages.,,,,,
y,graph label,site label,y axis label,growing stage,x axis label
34.7,Pulehu,H-65-7052,Total Carbon (kg*m^-2),tillering,Sugarcane Cultivar
50.6,Pulehu,H-65-7052,Total Carbon (kg*m^-2),grand growth,Sugarcane Cultivar
52.5,Pulehu,H-65-7052,Total Carbon (kg*m^-2),maturity,Sugarcane Cultivar
9.9,Pulehu,H-78-3567,Total Carbon (kg*m^-2),tillering,Sugarcane Cultivar
19.8,Pulehu,H-78-3567,Total Carbon (kg*m^-2),grand growth,Sugarcane Cultivar
23.6,Pulehu,H-78-3567,Total Carbon (kg*m^-2),maturity,Sugarcane Cultivar
34.2,Pulehu,H-86-3792,Total Carbon (kg*m^-2),tillering,Sugarcane Cultivar
49.1,Pulehu,H-86-3792,Total Carbon (kg*m^-2),grand growth,Sugarcane Cultivar
56.6,Pulehu,H-86-3792,Total Carbon (kg*m^-2),maturity,Sugarcane Cultivar
5.5,Pulehu,H-87-4319,Total Carbon (kg*m^-2),tillering,Sugarcane Cultivar
17.0,Pulehu,H-87-4319,Total Carbon (kg*m^-2),grand growth,Sugarcane Cultivar
34.7,Pulehu,H-87-4319,Total Carbon (kg*m^-2),maturity,Sugarcane Cultivar
17.9,Molokai,H-65-7052,Total Carbon (kg*m^-2),tillering,Sugarcane Cultivar
32.9,Molokai,H-65-7052,Total Carbon (kg*m^-2),grand growth,Sugarcane Cultivar
53.2,Molokai,H-65-7052,Total Carbon (kg*m^-2),maturity,Sugarcane Cultivar
11.9,Molokai,H-78-3567,Total Carbon (kg*m^-2),tillering,Sugarcane Cultivar
18.9,Molokai,H-78-3567,Total Carbon (kg*m^-2),grand growth,Sugarcane Cultivar
26.8,Molokai,H-78-3567,Total Carbon (kg*m^-2),maturity,Sugarcane Cultivar
22.6,Molokai,H-86-3792,Total Carbon (kg*m^-2),tillering,Sugarcane Cultivar
33.0,Molokai,H-86-3792,Total Carbon (kg*m^-2),grand growth,Sugarcane Cultivar
47.2,Molokai,H-86-3792,Total Carbon (kg*m^-2),maturity,Sugarcane Cultivar
19.2,Molokai,H-87-4319,Total Carbon (kg*m^-2),tillering,Sugarcane Cultivar
27.7,Molokai,H-87-4319,Total Carbon (kg*m^-2),grand growth,Sugarcane Cultivar
35.7,Molokai,H-87-4319,Total Carbon (kg*m^-2),maturity,Sugarcane Cultivar
