"Figure 1. Total organic (OC) and inorganic (IC) carbon for the four sugarcane cultivars grown in Pulehu soils. Black (solid) portion of the bars represent the IC and color portion represent OC for each soil depth and sugarcane growing stages (i.e., blue (open arrows)-tillering, yellow (irregular shape)-grand growth, green (light circles)-maturity) when the soil samples were collected. Means followed by the same letter or no letters for the bars in each soil depth are not significantly different in the Tukey’s test at Pr < 0.05.",,,,,
Inorganic carbon (kg*m^-2), Total carbon (kg*m^-2), footnote, soil depth (cm), site, stage, stage color
10.0, 25.1, a,100,H-65-7052 Pulehu,maturity, green
11.2, 24.7, a,100,H-65-7052 Pulehu,grand growth, yellow
9.1, 20.9, b,100,H-65-7052 Pulehu,tillering, blue
4.1, 10.2, a,60,H-65-7052 Pulehu,maturity, green
3.8, 8.5, b,60,H-65-7052 Pulehu,grand growth, yellow
2.5, 5.8, c,60,H-65-7052 Pulehu,tillering, blue
3.2, 8.0, b,30,H-65-7052 Pulehu,maturity, green
4.9, 10.9, a,30,H-65-7052 Pulehu,grand growth, yellow
2.8, 4.9, c,30,H-65-7052 Pulehu,tillering, blue
3.5, 8.7, a,10,H-65-7052 Pulehu,maturity, green
2.8, 6.2, b,10,H-65-7052 Pulehu,grand growth, yellow
1.2, 2.9, c,10,H-65-7052 Pulehu,tillering, blue
2.7, 20.0, a,100,H-86-3792 Pulehu,maturity, green
2.9, 18.8, b,100,H-86-3792 Pulehu,grand growth, yellow
2.9, 15.8, c,100,H-86-3792 Pulehu,tillering, blue
2.9, 16.1, a,60,H-86-3792 Pulehu,maturity, green
1.9,12.8, b,60,H-86-3792 Pulehu,grand growth, yellow
1.6, 10.8, c,60,H-86-3792 Pulehu,tillering, blue
0.9, 10.8, a,30,H-86-3792 Pulehu,maturity, green
1.1, 10.6, a,30,H-86-3792 Pulehu,grand growth, yellow
0.9, 6.5, b,30,H-86-3792 Pulehu,tillering, blue
1.5, 9.98, a,10,H-86-3792 Pulehu,maturity, green
0.6, 7.0, b,10,H-86-3792 Pulehu,grand growth, yellow
0.2, 1.5, c,10,H-86-3792 Pulehu,tillering, blue
2.6, 6.2, a,100,H-78-3567 Pulehu,maturity, green
2.7, 5.6, b,100,H-78-3567 Pulehu,grand growth, yellow
2.5, 4.5, c,100,H-78-3567 Pulehu,tillering, blue
3.5, 5.1, a,60,H-78-3567 Pulehu,maturity, green
2.3, 3.6, b,60,H-78-3567 Pulehu,grand growth, yellow
0.5, 0.9, c,60,H-78-3567 Pulehu,tillering, blue
0.4, 5.3, b,30,H-78-3567 Pulehu,maturity, green
2.6, 5.8, a,30,H-78-3567 Pulehu,grand growth, yellow
1.0, 1.9, c,30,H-78-3567 Pulehu,tillering, blue
1.6, 4.2, a,10,H-78-3567 Pulehu,maturity, green
1.6, 4.2, a,10,H-78-3567 Pulehu,grand growth, yellow
1.4, 2.7, b,10,H-78-3567 Pulehu,tillering, blue
1.1, 7.4, a,100,H-87-4319 Pulehu,maturity, green
1.2, 4.5, b,100,H-87-4319 Pulehu,grand growth, yellow
0.9, 1.1, c,100,H-87-4319 Pulehu,tillering, blue
1.8, 9.0, a,60,H-87-4319 Pulehu,maturity, green
1.7, 4.5, b,60,H-87-4319 Pulehu,grand growth, yellow
1.7, 2.3, c,60,H-87-4319 Pulehu,tillering, blue
1.3, 9.0, a,30,H-87-4319 Pulehu,maturity, green
1.5, 5.9, b,30,H-87-4319 Pulehu,grand growth, yellow
1.3, 1.9, c,30,H-87-4319 Pulehu,tillering, blue
0.3, 9.4, a,10,H-87-4319 Pulehu,maturity, green
0.3, 2.4, b,10,H-87-4319 Pulehu,grand growth, yellow
0.1, 0.3, c,10,H-87-4319 Pulehu,tillering, blue
