Figure 10. Root carbon (kg·m^−2) from sugarcane cultivars collected less than two weeks prior harvest date. Means from sugarcane cultivars bars followed by the same letter or no letters are not significantly different Tukey’s test at Pr < 0.05.,,,,,,
x,footnote,y,error bar,graph label,site label,y axis label,x axis label
0.095,c,80-120,0.096,Pulehu soils,H-87-4319,Soil depth (cm),Root carbon (Kg*m^-2)
0.13,b,80-120,0.135,Pulehu soils,H-86-3792,Soil depth (cm),Root carbon (Kg*m^-2)
0.11,b,80-120,0.121,Pulehu soils,H-78-3567,Soil depth (cm),Root carbon (Kg*m^-2)
0.16,a,80-120,-,Pulehu soils,H-65-7052,Soil depth (cm),Root carbon (Kg*m^-2)
0.31,c,40-80,0.313,Pulehu soils,H-87-4319,Soil depth (cm),Root carbon (Kg*m^-2)
0.46,b,40-80,0.469,Pulehu soils,H-86-3792,Soil depth (cm),Root carbon (Kg*m^-2)
0.52,a,40-80,0.530,Pulehu soils,H-78-3567,Soil depth (cm),Root carbon (Kg*m^-2)
0.24,d,40-80,0.243,Pulehu soils,H-65-7052,Soil depth (cm),Root carbon (Kg*m^-2)
0.73,d,20-40,0.747,Pulehu soils,H-87-4319,Soil depth (cm),Root carbon (Kg*m^-2)
1.01,b,20-40,1.024,Pulehu soils,H-86-3792,Soil depth (cm),Root carbon (Kg*m^-2)
1.90,a,20-40,1.921,Pulehu soils,H-78-3567,Soil depth (cm),Root carbon (Kg*m^-2)
0.97,c,20-40,0.983,Pulehu soils,H-65-7052,Soil depth (cm),Root carbon (Kg*m^-2)
1.01,d,0-20,1.148,Pulehu soils,H-87-4319,Soil depth (cm),Root carbon (Kg*m^-2)
1.52,b,0-20,1.540,Pulehu soils,H-86-3792,Soil depth (cm),Root carbon (Kg*m^-2)
2.12,a,0-20,2.172,Pulehu soils,H-78-3567,Soil depth (cm),Root carbon (Kg*m^-2)
1.36,c,0-20,1.372,Pulehu soils,H-65-7052,Soil depth (cm),Root carbon (Kg*m^-2)
0.13,b,80-120,0.143,Molokai soils,H-87-4319,Soil depth (cm),Root carbon (Kg*m^-2)
0.21,a,80-120,0.222,Molokai soils,H-86-3792,Soil depth (cm),Root carbon (Kg*m^-2)
0.12,c,80-120,0.121,Molokai soils,H-78-3567,Soil depth (cm),Root carbon (Kg*m^-2)
0.15,b,80-120,0.153,Molokai soils,H-65-7052,Soil depth (cm),Root carbon (Kg*m^-2)
0.42,b,40-80,0.428,Molokai soils,H-87-4319,Soil depth (cm),Root carbon (Kg*m^-2)
0.76,a,40-80,0.776,Molokai soils,H-86-3792,Soil depth (cm),Root carbon (Kg*m^-2)
0.27,d,40-80,0.302,Molokai soils,H-78-3567,Soil depth (cm),Root carbon (Kg*m^-2)
0.33,c,40-80,0.343,Molokai soils,H-65-7052,Soil depth (cm),Root carbon (Kg*m^-2)
1.01,b,20-40,1.051,Molokai soils,H-87-4319,Soil depth (cm),Root carbon (Kg*m^-2)
1.18,a,20-40,1.198,Molokai soils,H-86-3792,Soil depth (cm),Root carbon (Kg*m^-2)
0.74,c,20-40,0.776,Molokai soils,H-78-3567,Soil depth (cm),Root carbon (Kg*m^-2)
0.67,d,20-40,0.700,Molokai soils,H-65-7052,Soil depth (cm),Root carbon (Kg*m^-2)
1.99,b,0-20,2.080,Molokai soils,H-87-4319,Soil depth (cm),Root carbon (Kg*m^-2)
2.22,a,0-20,2.262,Molokai soils,H-86-3792,Soil depth (cm),Root carbon (Kg*m^-2)
1.00,d,0-20,1.097,Molokai soils,H-78-3567,Soil depth (cm),Root carbon (Kg*m^-2)
1.37,c,0-20,1.389,Molokai soils,H-65-7052,Soil depth (cm),Root carbon (Kg*m^-2)
