"Figure 2. Total organic (OC) and inorganic (IC) carbon for the four sugarcane cultivars growing in Molokai soils. Black (solid) portion of the bars represent the IC and color portion represent OC for each soil depth and sugarcane growing stages (i.e., blue (open arrows)-tillering, yellow (irregular shape)-grand growth, green (light circles)-maturity) when the soil samples were collected. Means followed by the same letter or no letters for the bars in each Soil depth are not significantly different Tukey’s test at Pr < 0.05.",,,,,,
x,footnote,y,site label,x axis label,y axis label,color portion label,bar color
1.6,a,100,H-65-7052 Molokai,Total carbon (kg*m^-2),Soil depth (cm),inorganic carbon - black,black-green
25.0,a,100,H-65-7052 Molokai,Total carbon (kg*m^-2),Soil depth (cm),maturity - green,black-green
1.1,b,100,H-65-7052 Molokai,Total carbon (kg*m^-2),Soil depth (cm),inorganic carbon - black,black-yellow
13.2,b,100,H-65-7052 Molokai,Total carbon (kg*m^-2),Soil depth (cm),grand growth - yellow,black-yellow
1.0,c,100,H-65-7052 Molokai,Total carbon (kg*m^-2),Soil depth (cm),inorganic carbon - black,black-blue
4.8,c,100,H-65-7052 Molokai,Total carbon (kg*m^-2),Soil depth (cm),tillering - blue,black-blue
0.7,a,60,H-65-7052 Molokai,Total carbon (kg*m^-2),Soil depth (cm),inorganic carbon - black,black-green
10.0,a,60,H-65-7052 Molokai,Total carbon (kg*m^-2),Soil depth (cm),maturity - green,black-green
0.8,b,60,H-65-7052 Molokai,Total carbon (kg*m^-2),Soil depth (cm),inorganic carbon - black,black-yellow
6.4,b,60,H-65-7052 Molokai,Total carbon (kg*m^-2),Soil depth (cm),grand growth - yellow,black-yellow
0.4,c,60,H-65-7052 Molokai,Total carbon (kg*m^-2),Soil depth (cm),inorganic carbon - black,black-blue
4.2,c,60,H-65-7052 Molokai,Total carbon (kg*m^-2),Soil depth (cm),tillering - blue,black-blue
2.1,a,30,H-65-7052 Molokai,Total carbon (kg*m^-2),Soil depth (cm),inorganic carbon - black,black-green
11.7,a,30,H-65-7052 Molokai,Total carbon (kg*m^-2),Soil depth (cm),maturity - green,black-green
2.3,b,30,H-65-7052 Molokai,Total carbon (kg*m^-2),Soil depth (cm),inorganic carbon - black,black-yellow
7.2,b,30,H-65-7052 Molokai,Total carbon (kg*m^-2),Soil depth (cm),grand growth - yellow,black-yellow
0.2,c,30,H-65-7052 Molokai,Total carbon (kg*m^-2),Soil depth (cm),inorganic carbon - black,black-blue
4.0,c,30,H-65-7052 Molokai,Total carbon (kg*m^-2),Soil depth (cm),tillering - blue,black-blue
