"Figure 4. Dissolved organic carbon (DOC) in Molokai soils. Color represents sugarcane growing stages (i.e., blue-tillering, yellow-grand growth, green-maturity) when the soil samples were collected. Means followed by the same letter or no letters for the bars in each soil depth are not significantly different Tukey’s test at Pr < 0.05.",,,,,
x,footnote,y,site label,x axis label,y axis label,growing stage
14.1,-,100,H-65-7052 Molokai,DOC (ppm),Soil depth (cm),maturity
17.9,-,100,H-65-7052 Molokai,DOC (ppm),Soil depth (cm),grand growth
21.1,-,100,H-65-7052 Molokai,DOC (ppm),Soil depth (cm),tillering
35.1,-,60,H-65-7052 Molokai,DOC (ppm),Soil depth (cm),maturity
20.9,-,60,H-65-7052 Molokai,DOC (ppm),Soil depth (cm),grand growth
52.7,-,60,H-65-7052 Molokai,DOC (ppm),Soil depth (cm),tillering
31.5,-,30,H-65-7052 Molokai,DOC (ppm),Soil depth (cm),maturity
47.8,-,30,H-65-7052 Molokai,DOC (ppm),Soil depth (cm),grand growth
58.4,-,30,H-65-7052 Molokai,DOC (ppm),Soil depth (cm),tillering
46.2,a,10,H-65-7052 Molokai,DOC (ppm),Soil depth (cm),maturity
45.3,a,10,H-65-7052 Molokai,DOC (ppm),Soil depth (cm),grand growth
23.4,b,10,H-65-7052 Molokai,DOC (ppm),Soil depth (cm),tillering
12.6,-,100,H-78-3567 Molokai,DOC (ppm),Soil depth (cm),maturity
9.1,-,100,H-78-3567 Molokai,DOC (ppm),Soil depth (cm),grand growth
26.3,-,100,H-78-3567 Molokai,DOC (ppm),Soil depth (cm),tillering
15.7,-,60,H-78-3567 Molokai,DOC (ppm),Soil depth (cm),maturity
16.5,-,60,H-78-3567 Molokai,DOC (ppm),Soil depth (cm),grand growth
21.2,-,60,H-78-3567 Molokai,DOC (ppm),Soil depth (cm),tillering
32.6,-,30,H-78-3567 Molokai,DOC (ppm),Soil depth (cm),maturity
28.4,-,30,H-78-3567 Molokai,DOC (ppm),Soil depth (cm),grand growth
13.5,-,30,H-78-3567 Molokai,DOC (ppm),Soil depth (cm),tillering
35.7,-,10,H-78-3567 Molokai,DOC (ppm),Soil depth (cm),maturity
47.0,-,10,H-78-3567 Molokai,DOC (ppm),Soil depth (cm),grand growth
47.7,-,10,H-78-3567 Molokai,DOC (ppm),Soil depth (cm),tillering
17.3,b,100,H-86-3792 Molokai,DOC (ppm),Soil depth (cm),maturity
8.7,b,100,H-86-3792 Molokai,DOC (ppm),Soil depth (cm),grand growth
37.5,a,100,H-86-3792 Molokai,DOC (ppm),Soil depth (cm),tillering
27.4,-,60,H-86-3792 Molokai,DOC (ppm),Soil depth (cm),maturity
13.5,-,60,H-86-3792 Molokai,DOC (ppm),Soil depth (cm),grand growth
48.8,-,60,H-86-3792 Molokai,DOC (ppm),Soil depth (cm),tillering
34.6,-,30,H-86-3792 Molokai,DOC (ppm),Soil depth (cm),maturity
21.5,-,30,H-86-3792 Molokai,DOC (ppm),Soil depth (cm),grand growth
61.6,-,30,H-86-3792 Molokai,DOC (ppm),Soil depth (cm),tillering
47.4,a,10,H-86-3792 Molokai,DOC (ppm),Soil depth (cm),maturity
47.6,a,10,H-86-3792 Molokai,DOC (ppm),Soil depth (cm),grand growth
17.6,b,10,H-86-3792 Molokai,DOC (ppm),Soil depth (cm),tillering
14.8,b,100,H-87-4319 Molokai,DOC (ppm),Soil depth (cm),maturity
19.3,b,100,H-87-4319 Molokai,DOC (ppm),Soil depth (cm),grand growth
49.1,a,100,H-87-4319 Molokai,DOC (ppm),Soil depth (cm),tillering
27.7,a,60,H-87-4319 Molokai,DOC (ppm),Soil depth (cm),maturity
36.6,a,60,H-87-4319 Molokai,DOC (ppm),Soil depth (cm),grand growth
15.7,b,60,H-87-4319 Molokai,DOC (ppm),Soil depth (cm),tillering
29.7,-,30,H-87-4319 Molokai,DOC (ppm),Soil depth (cm),maturity
59.7,-,30,H-87-4319 Molokai,DOC (ppm),Soil depth (cm),grand growth
45.2,-,30,H-87-4319 Molokai,DOC (ppm),Soil depth (cm),tillering
51.6,a,10,H-87-4319 Molokai,DOC (ppm),Soil depth (cm),maturity
56.3,a,10,H-87-4319 Molokai,DOC (ppm),Soil depth (cm),grand growth
18.9,b,10,H-87-4319 Molokai,DOC (ppm),Soil depth (cm),tillering
