"Figure 2: Effects of position treatments on litter decomposition in the semi-arid ecosystem. Symbols indicate litter mass remaining (%) over time under different position treatments. The inset shows the litter decomposition rate, k (year^-1) with black bar representing surface litter and grey bar representing standing litter. Values are means +/- SE (*n* = 3). Different letters and the asterisks indicate significant difference between surface and standing litter based on independent samples t-test. *P < 0.05; **P < 0.01. P, position; *T*, time.",,
Time (days),Litter mass remaining (%),Litter type
0,100,Surface
29.5,98.7,Surface
55.1,80.6,Surface
87.1,65.7,Surface
115.4,57.5,Surface
317.4,57.8,Surface
343.2,46.9,Surface
383,49.7,Surface
407.4,51.4,Surface
472.1,42.4,Surface
710.5,31.2,Surface
786.2,29.2,Surface
0,100,Standing
29.7,93.7,Standing
55.1,79.8,Standing
86.2,69.4,Standing
115.4,53.1,Standing
315.9,49.8,Standing
344.7,43.9,Standing
382.5,39.5,Standing
407.4,37.5,Standing
473,19,Standing
710,15.9,Standing
786.1,5.9,Standing
