is_type,project_definition,of_variable
comment,"a free text comment that could be anything","carbon_percent,inorganic_carbon_percent,layer_middle,loss_on_ignition,organic_carbon_percent,organic_matter_density,total_carbon_percent"
control_vocabulary,"the control vocabulary used in the value","soil_class,stand_type,NA"
description,"a human readable discription often of a variable","carbon_percent,dry_bulk_density,field_water_percent,inorganic_carbon_percent,layer_bottom,layer_middle,layer_thickness,layer_top,loss_on_ignition,organic_carbon_density,organic_carbon_percent,organic_matter_density,organic_matter_percent,sampling_method,total_carbon_percent"
method,"what was the method used to record the value","carbon_percent,delta_13_carbon,dry_bulk_density,elevation,layer_middle,mean_air_temperature,mean_max_vapor_pressure_deficit,mean_solar_radiation,nitrogen_density,organic_carbon_density,organic_carbon_percent,sample_prep,soil_aluminum,soil_calcium,soil_class,soil_control_potassium,soil_depth,soil_fertilized_potassium,soil_magnesium,soil_nitrogen,soil_organic_carbon,soil_ph,soil_pH_calcium_chloride,soil_phosphorus,stand_age,total_carbon_percent,total_rainfall"
interval,"an interval of time","land_use"
interval_format,"the format for the time interval, generally ISO8601","land_use"
unit,"the unit that the value is in","carbon_percent,dry_bulk_density,elevation,elevation_end,elevation_start,field_water_percent,grazing_distance,inorganic_carbon_percent,layer_bottom,layer_middle,layer_thickness,layer_top,loss_on_ignition,mean_air_temperature,mean_max_vapor_pressure_deficit,mean_rainfall,mean_solar_radiation,nitrogen_density,organic_carbon_density,organic_carbon_percent,organic_matter_density,organic_matter_percent,precipitation,soil_age,soil_aluminum,soil_calcium,soil_control_potassium,soil_depth,soil_fertilized_potassium,soil_magnesium,soil_nitrogen,soil_organic_carbon,soil_phosphorus,stand_age,total_carbon_percent,total_rainfall,transect_distance,transect_size"
time_format,"time format, often ISO8601","observation_time"
value,"the reported value of a variable, could be a mean, observed or measured value that is numerical, text, or control vocabulary","carbon_percent,citation,core_comment,data_license,doi,delta_13_carbon,dry_bulk_density,elevation,elevation_end,elevation_start,field_water_percent,grazing_distance,initial_planting,inorganic_carbon_percent,land_use,latitude,layer_bottom,layer_middle,layer_thickness,layer_top,longitude,loss_on_ignition,mean_air_temperature,mean_max_vapor_pressure_deficit,mean_solar_radiation,nitrogen_density,observation_time,organic_carbon_density,organic_carbon_percent,organic_matter_density,organic_matter_percent,principal_investigator,projects,region,related_research,sampling_method,sample_id,soil_aluminum,soil_calcium,soil_class,soil_control_potassium,soil_depth,soil_fertilized_potassium,soil_magnesium,soil_nitrogen,soil_organic_carbon,soil_ph,soil_pH_calcium_chloride,soil_phosphorus,stand_age,stand_type,total_carbon_percent,total_rainfall,transect_distance,transect_size"
maximum,"upper interval of ranged value","mean_rainfall,soil_age,soil_pH_water,precipitation"
minimum,"lower interval of ranged value","mean_rainfall,soil_age,soil_pH_water,precipitation"
