"of_variable","project_definition","project_status"
"citation","full human readable citation of data source","draft"
"diameter_at_breast_height","diameter at breast height.","incomplete"
"doi","digital object id of data source","draft"
"elevation","site elevation","draft"
"height","height","incomplete"
"land_use","a classification of the current land use","draft"
"mean_air_temperature","mean annual air temperature","draft"
"mean_max_vapor_pressure_deficit","mean maximum vapor presure deficit","draft"
"mean_solar_radiation","mean solar radiation","draft"
"observation_time","when observations were made","draft"
"region","free text discription of region site location","draft"
"soil_class","soil taxonomic class","draft"
"soil_nitrogen","soil nitrogen content","draft"
"soil_organic_carbon","soil organic carbon content","draft"
"soil_ph","soil pH","draft"
"soil_phosphorus","soil phosphorus","draft"
"stand_age","age of tree stand at site","draft"
"stand_type","type of tree stand at site, generally species","draft"
"stem_density","stem density of a tree","incomplete"
"total_rainfall","total annual rainfall","draft"
"carbon_percent","carbon percent of soil","draft"
"core_comment","coment on soil core","draft"
"data_license","license for data use","draft"
"dry_bulk_density","bulk density of dry soil","draft"
"elevation_end","ending elevation of a survey transect","draft"
"elevation_start","starting elevation of a soil transect","draft"
"field_water_percent","soil water percent under field condition","draft"
"inorganic_carbon_percent","inorganic carbon precentage of soil","draft"
"latitude","latitude of a geolocation","draft"
"layer_bottom","bottom boundary of a soil layer","draft"
"layer_middle","mid point of a soil layer","draft"
"layer_thickness","thickness of a soil layer","draft"
"layer_top","top boundary of a soil layer","draft"
"longitude","longitude of a geolocation","draft"
"loss_on_ignition","mass loss after combustion","draft"
"organic_carbon_density","organic carbon as a mass density of soil (by volume or area)","draft"
"organic_carbon_percent","organic carbon as a percent of soil","draft"
"organic_matter_density","organic matter as a mass density of soil (by volume or area)","draft"
 "organic_matter_percent","organic mater as a percent of soil","draft"
 "peatland_class","peat classification","draft"
 "principal_investigator","prinicipal investigator of study","draft"
 "projects","project study was associated with","draft"
 "related_research","other related research","draft"
 "sampling_method","sampling method notes","draft"
 "site_name","site name","draft"
 "total_carbon_percent","carbon percent of soil including organic and inorganic","draft"
