of_variable,is_type,study_id
region,country,Austin2010
region,province,Austin2010
geolocation,latitude,Austin2010
geolocation,longitude,Austin2010
geolocation,unit,Austin2010
exposure_duration,value,Austin2010
exposure_duration,unit,Austin2010
soil_contact,value,Austin2010
litter_type,value,Austin2010
mass_loss,unit,Austin2010
litter_age_class,value,Austin2010
vegitation_class,value,Austin2010
litter_fraction,cellulose_and_sugar:mean,Austin2010
litter_fraction,cellulose_and_sugar:sd,Austin2010
litter_fraction,hemicellulose:mean,Austin2010
litter_fraction,hemicellulose:sd,Austin2010
litter_fraction,lignin:mean,Austin2010
litter_fraction,lignin:sd,Austin2010
litter_fraction,unit,Austin2010
litter_fraction,method,Austin2010
litter_deployment,value,Austin2010
rain_out,value,Austin2010
solar_filter,transmission_fraction,Austin2010
solar_filter,transmission_wavelength,Austin2010
solar_filter,attenuation,Austin2010
mass_loss,value,Austin2010
mass_loss,sem,Austin2010
