of_variable, is_type, study_id
region,site,Burke2003
region,state,Burke2003
elevation,value,Burke2003
elevation,unit,Burke2003
soil_class,value,Burke2003
soil_age,maximum,Burke2003
soil_age,minimum,Burke2003
soil_age,unit,Burke2003
rainfall,maximum,Burke2003
rainfall,minimum,Burke2003
rainfall,unit,Burke2003
air_temperature,value,Burke2003
air_temperature,unit,Burke2003
stand_age,value,Burke2003
stand_age,unit,Burke2003
observation_time,value,Burke2003
region,municiplaity,Burke2003
region,city,Burke2003
region,country,Burke2003
rainfall,value,Burke2003
mineralogy,value,Burke2003
region,value,Burke2003
air_temperature,minimum,Burke2003
air_temperature,maximum,Burke2003
soil_age,value,Burke2003
citation,value,Burke2003
doi,value,Burke2003
land_use,description,Burke2003
land_use,duration,Burke2003
layer,unit,Burke2003
phospholipid_acid_content,unit,Burke2003
organic_carbon,unit,Burke2003
delta_13_carbon,unit,Burke2003
region_id,method,Burke2003
site_id,method,Burke2003
layer,method,Burke2003
phospholipid_acid_content,method,Burke2003
delta_13_carbon,method,Burke2003
stand_type,control_vocabulary,Burke2003
site_id,value,Burke2003
region_id,value,Burke2003
organic_carbon,value,Burke2003
phospholipid_acid_content,value,Burke2003
layer,value,Burke2003
delta_13_carbon,value,Burke2003
