study_id,table,of_variable,is_type
ISCN3_2015,site,geolocation,latitude
ISCN3_2015,site,geolocation,longitude
ISCN3_2015,site,geolocation,datum
ISCN3_2015,site,geolocation,unit
ISCN3_2015,site,georegion,state
ISCN3_2015,site,georegion,country
ISCN3_2015,site,observation_date,date
ISCN3_2015,layer,depth_interval,upper
ISCN3_2015,layer,depth_interval,lower
ISCN3_2015,layer,depth_interval,zero_ref
ISCN3_2015,layer,depth_interval,unit
ISCN3_2015,layer,bulk_density,value
ISCN3_2015,layer,bulk_density,method
ISCN3_2015,layer,bulk_density,unit
ISCN3_2015,layer,coarse_fraction,unit
ISCN3_2015,layer,coarse_fraction,value
ISCN3_2015,layer,coarse_fraction,method
ISCN3_2015,layer,carbon_fraction,unit
ISCN3_2015,layer,carbon_fraction,value
ISCN3_2015,layer,carbon_fraction,method
ISCN3_2015,layer,organic_fraction,value
ISCN3_2015,layer,organic_fraction,unit
ISCN3_2015,layer,organic_fraction,method
ISCN3_2015,collection,bibkey,value
