"Leaf mass per area (LMA), foliar nitrogen, phosphorus, major cations, δ^{15}N, and δ^{13}C for native overstory species from sites along the precipitation gradient in Hawai'i. All concentrations are percent dry weight, and values are means with SE in parentheses. Where no SE is reported, a single or composite sample was analyzed. Species names from @Wagner1990.",,,,,
-,Kaniku,Kaupulehu,Manuka,Kaloko,Waiakea
Species,LMA,LMA,LMA,LMA,LMA
Acacia koa,-,-,-,-,140 (2)
Antidesma platyphyllum,-,-,97 (12),72,94 (11)
Canthium odoratum,181 (20),214 (17),115 (7),-,-
Diospyros sandwicensis,215 (12),252 (10),141 (6),-,-
Freycinetia arborea,-,-,-,105 (5),60 (5)
Myrsine spp.,164,-,99 (10),69 (14),83
Metrosideros polymorpha,220 (12),203 (21),172 (11),143 (11),145 (9)
Nestegis sandwicensis,-,-,111 (8),-,-
Psychotria hawaiiense,-,-,101 (8),120 (13.5),133
Pouteria sandwicensis,206 (4),202 (12),-,-,-
Santalum ellipticum,175 (10),159 (25),-,-,-
Xylosma hawaiiense,108 (3),113 (12),-,-,-
Average,181 (15),190 (20),119 (11),102 (18),108 (20)
,,,,,
-,Kaniku,Kaupulehu,Manuka,Kaloko,Waiakea
Species,%N,%N,%N,%N,%N
Acacia koa,-,-,-,-,2.37 (.54)
Antidesma platyphyllum,-,-,1.22 (.02),1.38,1.17 (.11)
Canthium odoratum,1.27 (.11),1.30 (.15),1.35 (.15),-,-
Diospyros sandwicensis,0.86 (.05),0.87 (.05),0.93 (.06),-,-
Freycinetia arborea,-,-,-,1.05 (.21),1.58 (.22)
Myrsine spp.,1.27,-,1.06 (.06),1.21 (.22),1.13 (.13)
Metrosideros polymorpha,0.95 (.06),0.93 (.05),0.84 (.02),1.02 (.05),1.03 (.05)
Nestegis sandwicensis,-,-,1.27 (.06),-,-
Psychotria hawaiiense,-,-,1.51 (.05),1.39 (.08),1.23
Pouteria sandwicensis,1.67 (.06),1.70 (.08),-,-,-
Santalum ellipticum,1.13 (.08),0.96 (.07),-,-,-
Xylosma hawaiiense,1.49 (.12),1.40 (.21),-,-,-
Average,1.23 (.11),1.19 (.13),1.16 (.10),1.21 (.09),1.42 (.11)
,,,,,
-,Kaniku,Kaupulehu,Manuka,Kaloko,Waiakea
Species,%P,%P,%P,%P,%P
Acacia koa,-,-,-,-,0.10 (.01)
Antidesma platyphyllum,-,-,0.07 (.01),0.09,0.07 (.01)
Canthium odoratum,0.18 (.05),0.10 (.02),0.09 (.02),-,-
Diospyros sandwicensis,0.11 (.02),0.07 (.01),0.07 (.01),-,-
Myrsine spp.,0.20,-,0.07 (.01),0.11 (.02),0.09 (.01)
Metrosideros polymorpha,0.07 (.01),0.07 (.01),0.06 (.00),0.06 (.01),0.08 (.00)
Nestegis sandwicensis,-,-,0.08 (.01),-,-
Psychotria hawaiiense,-,-,0.09 (.01),0.08 (.01),0.09
Pouteria sandwicensis,0.18 (.03),0.15 (.06),-,-,-
Santalum ellipticum,0.08 (.01),0.24 (.06),-,-,-
Xylosma hawaiiense,0.12 (.02),0.11 (.02),-,-,-
Average (SE),0.13 (.02),0.12 (.03),0.07 (.01),0.09 (.01),0.09 (.01)
,,,,,
-,Kaniku,Kaupulehu,Manuka,Kaloko,Waiakea
Species,%Ca,%Ca,%Ca,%Ca,%Ca
Acacia koa,-,-,-,-,0.48 (.14)
Antidesma platyphyllum,-,-,2.44 (.44),2.14,1.80 (.47)
Canthium odoratum,1.36 (.23),1.55 (.34),1.30 (.15),-,-
Diospyros sandwicensis,1.43 (.18),1.65 (.25),1.97 (.32),-,-
Freycinetia arborea,-,-,-,2.08 (.19),2.10 (.56)
Myrsine spp.,1.94,-,1.99 (.45),1.18 (.15),1.33 (.13)
Metrosideros polymorpha,1.21 (.11),1.81 (.33),0.88 (.11),1.08 (.16),0.73 (.14)
Nestegis sandwicensis,-,-,1.87 (.38),-,-
Psychotria hawaiiense,-,-,2.62 (.51),1.77 (.28),1.01
Pouteria sandwicensis,1.83 (.18),1.39 (.19),-,-,-
Santalum ellipticum,0.90 (.15),1.67 (.53),-,-,-
Xylosma hawaiiense,1.62 (.16),1.59 (.63),-,-,-
Average,1.47 (.14),1.61 (.06),1.86 (.25),1.65 (.28),1.24 (.29)
,,,,,
-,Kaniku,Kaupulehu,Manuka,Kaloko,Waiakea
Species,%Mg,%Mg,%Mg,%Mg,%Mg
Acacia koa,-,-,-,-,0.13 (.02)
Antidesma platyphyllum,-,-,0.33 (.01),0.27,0.37 (.12)
