"Table 2. Average values (± S.D.) for chemical soil properties and exchangeable nutrients in three different sampling positions: (1) bare, unvegetated (control) ground; (2) under the canopy of adjacent, live silversword rosettes; and (3) below nearby dead plants. Sample N for
each of the three sampling positions is 12. Significance levels refer to statistical comparisons, using a U (Mann-Whitney) test, between control soils, and soils sampled under live or dead silverswords. Significance levels: a = .001; b = .0025; c = .005; d = .05."
Soil properties,Control,Silversword rosettes,Dead plants
Carbon %,.14 ± .06,.35 ± .19b,1.39 ± 1.0a
Nitrogen %,.011 ± .01,.016 ± .01,.055 ± .04a
Carbon / Nitrogen ratio,11.8 ± 3.4,22.8 ± 8.8c,29.0 ± 9.4a
Calcium (ppm),240.1 ± 72.2,271.3 ± 90.0,1032.8 ± 714.4a
Magnesium (ppm),23.5 ± 6.7,22.5 ± 8.0,103.8 ± 109a
Potassium (ppm),33.0 ± 8.6,134.6 ± 41.8a,187.4 ± 165.1a
Phosphorus (ppm),2.9 ± 2.3,9.6 ± 2.7a,15.1 ± 5.8a
Cation-exchange capacity (cmol+ kg-1),1.48 ± .4,1.89 ± .5,6.51 ± 4.7a
pH,7.03 ± .12,6.88 ± .18,6.88 ± .18d
