table_id,column_id,of_variable,of_type,with_entry
study,abstract,abstract,description,Abstract
study,coverage,bounded_coverage,description,Bounded coverage
study,citation,citation,description,Citation
study,citation.1,citation,description,Citation
study,COMMENT,core_comment,description,Data package comment
study,comment,core_comment,description,Dataset Comment
study,Recovery,core_length,description,core length
study,Penetration,core_length,description,core length
study,Recovery,core_length,unit,cm
study,Penetration,core_length,unit,cm
study,core_name,core_name,description,Core name
study,status,cutation_level,description,Curation level
study,parent_doi,data_doi,description,data package DOI
study,doi,data_doi,description,data package DOI
study,license,data_license,description,Data license
study,path,data_local_filepath,description,download path
study,url,download_url,description,download url
study,ELEVATION,elevation,description,elevation
study,ELEVATION,elevation,unit,m
study,ELEVATION.END,elevation_end,description,End of elevation transect
study,ELEVATION.END,elevation_end,unit,m
study,ELEVATION.START,elevation_start,description,Start of elevation transect
study,ELEVATION.START,elevation_start,unit,m
study,further_details,futher_citations,description,Citations
study,keywords,keywords,description,Keywords
study,LATITUDE,latitude,description,Latitude
study,LATITUDE,latitude,unit,decimal degree
study,LONGITUDE,longitude,description,Longitude
study,LONGITUDE,longitude,unit,decimal degree
study,size,observation_size,description,Observation size
study,size,observation_size,unit,data point count
study,projects,project,description,Related project
study,LOCATION,region,description,Adminstrative region
study,related_to,related_citation,description,Related citations
study,METHOD.DEVICE,sample_devise,description,Sampling devise
core,Age [ka BP] (Loisel et al. 2014),age,description,"AGE [ka BP] (Age) GEOCODE PI: Jones, Miriam C (https://orcid.org/0000-0002-6650-7619, miriamjones@usgs.gov) COMMENT: Loisel et al. 2014"
core,Age [ka BP] (Loisel et al. 2014),age,unit,ka BP
core,Age [ka BP] (Loisel et al. 2014),age,value,--
core,DBD [g/cm**3],bulk_density,description,"Density, dry bulk [g/cm  3] (DBD) PI: Jones, Miriam C (https://orcid.org/0000-0002-6650-7619, miriamjones@usgs.gov)"
core,DBD [g/cm**3],bulk_density,unit,g cm-3
core,DBD [g/cm**3],bulk_density,value,--
core,doi,doi,id,--
core,Depth sed [m],layer_mid,description,"DEPTH, sediment/rock [m] (Depth sed) GEOCODE PI: Jones, Miriam C (https://orcid.org/0000-0002-6650-7619, miriamjones@usgs.gov)"
core,Depth sed [m],layer_mid,unit,m
core,Depth sed [m],layer_mid,value,--
core,Corg dens [g/cm**3],organic_carbon,description,"Density, organic carbon [g/cm  3] (Corg dens) PI: Jones, Miriam C (https://orcid.org/0000-0002-6650-7619, miriamjones@usgs.gov)"
core,Corg dens [g/cm**3],organic_carbon,unit,g cm-3
core,Corg dens [g/cm**3],organic_carbon,value,--
core,OM [%],organic_matter,description,"Organic matter [%] (OM) PI: Jones, Miriam C (https://orcid.org/0000-0002-6650-7619, miriamjones@usgs.gov)"
core,OM dens [g/cm**3],organic_matter,description,"Density, organic matter [g/cm  3] (OM dens) PI: Jones, Miriam C (https://orcid.org/0000-0002-6650-7619, miriamjones@usgs.gov)"
core,OM [%],organic_matter,unit,mass percent
core,OM dens [g/cm**3],organic_matter,unit,g cm-3
core,OM [%],organic_matter,value,--
core,OM dens [g/cm**3],organic_matter,value,--
core,Peat type,peat,description,"Peat type (Peat type) PI: Jones, Miriam C (https://orcid.org/0000-0002-6650-7619, miriamjones@usgs.gov)"
core,Peat type (Loisel et al. 2014),peat,description,"Peat type (Peat type) PI: Jones, Miriam C (https://orcid.org/0000-0002-6650-7619, miriamjones@usgs.gov) COMMENT: Loisel et al. 2014"
core,Peat type,peat,note,--
core,Peat type (Loisel et al. 2014),peat,note,--
core,Age unc [±],age,1 sigma,--
core,Comm,age,description,"Age, comment (Comm) PI: Jones, Miriam C (https://orcid.org/0000-0002-6650-7619, miriamjones@usgs.gov)"
core,Age dated [ka],age,description,"Age, dated [ka] (Age dated) PI: Jones, Miriam C (https://orcid.org/0000-0002-6650-7619, miriamjones@usgs.gov) METHOD/DEVICE: Age, 14C"
core,Age unc [±],age,description,"Age, uncertainty [±] (Age unc) PI: Jones, Miriam C (https://orcid.org/0000-0002-6650-7619, miriamjones@usgs.gov) METHOD/DEVICE: Age, 14C COMMENT: lab uncertainty"
core,Dated material,age,description,"Age, dated material (Dated material) PI: Jones, Miriam C (https://orcid.org/0000-0002-6650-7619, miriamjones@usgs.gov)"
core,Comm,age,method,--
core,Dated material,age,method,--
core,Age dated [ka],age,method,14C
core,Age dated [ka],age,unit,ka BP
core,Age dated [ka],age,value,--
core,doi,doi,id,--
core,Lab label,lab_label,description,"Laboratory code/label (Lab label) PI: Jones, Miriam C (https://orcid.org/0000-0002-6650-7619, miriamjones@usgs.gov)"
core,Lab label,lab_label,id,--
core,Depth sed [m],layer_mid,description,"DEPTH, sediment/rock [m] (Depth sed) GEOCODE PI: Jones, Miriam C (https://orcid.org/0000-0002-6650-7619, miriamjones@usgs.gov)"
core,Depth sed [m],layer_mid,unit,m
