table_name;header_name;is_type;of_variable;with_entry
.;Abstract;value;abstract;--
.;Citation;value;citation;--
.;Comment;value;comment;--
.;Further details;value;core_further_details;--
.;Status;value;curation_status;--
.;License;value;data_license;--
.;Size;value;data_size;--
.;Keyword(s);value;keyword;--
.;Project(s);value;project;--
.;Related to;value;related_objects;--
.;Change history;value;change_log;--
Coverage;MAXIMUM DEPTH, sediment/rock;value;core_maximum_depth;--
Coverage;MINIMUM DEPTH, sediment/rock;value;core_minimum_depth;--
Coverage;LATITUDE;value;latitude;--
Coverage;LONGITUDE;value;longitude;--
data;Age;value;age;--
data;Age;name;age;--
data;Age, comment;value;age;--
data;Age, dated;value;age;--
data;Age, comment;name;age;--
data;Age, dated;name;age;--
data;Calendar age;value;age;--
data;Calendar age;name;age;--
data;Calendar age, standard deviation;value;age_calendar;--
data;Calendar age, standard deviation;name;age_calendar;--
data;Age, error;value;age_error;--
data;Age, error;name;age_error;--
data;Age, dated material;value;age_material;--
data;Age, dated material;name;age_material;--
data;Calendar age, maximum/old;value;age_maximum;--
data;Calendar age, maximum/old;name;age_maximum;--
data;Calendar age, minimum/young;value;age_minimum;--
data;Calendar age, minimum/young;name;age_minimum;--
data;Age model;value;age_model;--
data;Age model;name;age_model;--
data;Age, relative, number of years;value;age_relative;--
data;Age, relative, number of years;name;age_relative;--
data;Age, dated standard deviation;value;age_standard_deviation;--
data;Age, standard deviation;value;age_standard_deviation;--
data;Age, dated standard deviation;name;age_standard_deviation;--
data;Age, standard deviation;name;age_standard_deviation;--
data;Calendar age, standard error;value;age_standard_error;--
data;Calendar age, standard error;name;age_standard_error;--
data;Age, uncertainty;value;age_uncertainty;--
data;Age, uncertainty;name;age_uncertainty;--
data;Density, dry bulk;value;bulk_density;--
data;Density, dry bulk;name;bulk_density;--
data;Carbon;value;carbon;--
data;Carbon;name;carbon;--
data;Carbon, total;value;carbon_total;--
data;Carbon, total;name;carbon_total;--
data;Comment;value;comment;--
data;Comment;name;comment;--
data;Cumulative mass;value;cumulative_mass;--
data;Cumulative mass;name;cumulative_mass;--
data;Depth, bottom/max;value;depth_bottom;--
data;Depth, bottom/max;name;depth_bottom;--
data;Depth, sediment/rock;value;depth_mid;--
data;Depth, sediment/rock;name;depth_mid;--
data;Sample thickness;value;depth_thickness;--
data;Sample thickness;name;depth_thickness;--
data;Depth, top/min;value;depth_top;--
data;Depth, top/min;name;depth_top;--
data;Fraction modern carbon;value;fraction_modern_carbon;--
data;Fraction modern carbon;name;fraction_modern_carbon;--
data;Fraction modern carbon, error;value;fraction_modern_carbon_error;--
data;Carbon, inorganic, total;value;inorganic_carbon;--
data;Carbon, inorganic, total;name;inorganic_carbon;--
data;Laboratory code/label;value;lab_label;--
data;Laboratory code/label;name;lab_label;--
