table_id,column_id,of_variable,is_type,with_entry
Longleaf pine biomass data,NA,NA,note,Data were not collected for cells with "."
Longleaf pine biomass data,YEAR,Year_collected,value,--
Longleaf pine biomass data,YEAR,Year_collected,description,Year the data were collected for that site
Longleaf pine biomass data,YEAR,Year_collected,unit,integer
Longleaf pine biomass data,YEAR,Year_collected,identifier,--
Longleaf pine biomass data,STATE,State_collected,value,--
Longleaf pine biomass data,STATE,State_collected,description,U.S. State in which the data were located
Longleaf pine biomass data,STATE,State_collected,control_vocabulary,GA|Georgia; LA|Louisiana; NC|North Carolina; FL|Florida
Longleaf pine biomass data,STATE,State_collected,identifier,--
Longleaf pine biomass data,BASE,Base_collected,value,--
Longleaf pine biomass data,BASE,Base_collected,description,Military Installation in which the data were collected
Longleaf pine biomass data,BASE,Base_collected,control_vocabulary,Benning|US Army Fort Benning; Polk|US Army Fort Polk/Kistachie National Forest; Lejeune|US Marine Corps Camp Lejeune; Eglin|Eglin Air Force Base
Longleaf pine biomass data,BASE,Base_collected,identifier,--
Longleaf pine biomass data,AGE,Sample_age,value,--
Longleaf pine biomass data,AGE,Sample_age,description,Age of stand sampled
Longleaf pine biomass data,AGE,Sample_age,unit,years
Longleaf pine biomass data,AGE,Sample_age,identifier,--
Longleaf pine biomass data,SAMPLE,Sample_number,value,--
Longleaf pine biomass data,SAMPLE,Sample_number,description,Sample number of the tree harvested
Longleaf pine biomass data,SAMPLE,Sample_number,unit,integer
Longleaf pine biomass data,SAMPLE,Sample_number,identifier,--
Longleaf pine biomass data,SPECIES,Tree_species,value,--
Longleaf pine biomass data,SPECIES,Tree_species,description,Species of harvested tree
Longleaf pine biomass data,SPECIES,Tree_species,identifier,--
Longleaf pine biomass data,DBH,Breast_height_diameter,value,--
Longleaf pine biomass data,DBH,Breast_height_diameter,description,Diameter at breast height (1.37 m aboveground)
Longleaf pine biomass data,DBH,Breast_height_diameter,unit,cm
Longleaf pine biomass data,DBH,Breast_height_diameter,identifier,--
Longleaf pine biomass data,HEIGHT,Tree_height,value,--
Longleaf pine biomass data,HEIGHT,Tree_height,description,Total height
Longleaf pine biomass data,HEIGHT,Tree_height,unit,m
