table_id;column_id;column_number;of_variable;is_type;with_entry
lab_analysis_procedure;proced_abbrev;5;analysis_procedure;description;A character string containing the procedure abbreviation.
lab_analysis_procedure;proced_abbrev;5;analysis_procedure;abbreviation;--
lab_analysis_procedure;proced_desc;6;analysis_procedure;description;SSIR number version and page
lab_analysis_procedure;proced_desc;6;analysis_procedure;reference;--
lab_analysis_procedure;proced_name;4;analysis_procedure;description;A character string containing the Soil Survey Laboratory name of the procedure.
lab_analysis_procedure;proced_name;4;analysis_procedure;method;--
lab_analysis_procedure;procedure_key;2;analysis_procedure;identifier;--
lab_analysis_procedure;procedure_key;2;analysis_procedure;foreign_key;--
lab_analysis_procedure;procedure_key;2;analysis_procedure;description;procedure key
lab_analysis_procedure;requested_anal_name;3;analysis_procedure;description;requested_anal_name
lab_analysis_procedure;requested_anal_name;3;analysis_procedure;value;--
lab_analysis_procedure;apid;1;analysis_procedure;identifier;--
lab_analysis_procedure;apid;1;analysis_procedure;foreign_key;--
lab_analysis_procedure;apid;1;analysis_procedure;description;"An internal ID (integer) that is part (or all) of a key that uniquely identifies a record.  Also known as part (or all) of the ""primary key"".  This value is managed by NASIS and cannot be edited"
lab_analysis_procedure;SSIR_5_Page;7;analysis_procedure;description;SSIR_5_Page
lab_analysis_procedure;SSIR_5_Page;7;analysis_procedure;reference;--
lab_analysis_procedure;Links_to_SSIR_42_V_5;9;analysis_procedure;description;Links_to_SSIR_42_V_5
lab_analysis_procedure;Links_to_SSIR_42_V_5;9;analysis_procedure;reference;--
lab_analysis_procedure;notes;10;analysis_procedure;description;Notes describing decisions, issues, or other history related to the record.
lab_analysis_procedure;notes;10;analysis_procedure;note;--
lab_analysis_procedure;PDF_pg;8;analysis_procedure;description;PDF_pg
lab_analysis_procedure;PDF_pg;8;analysis_procedure;reference;--
lab_analyte;analyte_abbrev;4;NA;description;A character string containing the Analyte Abbreviation, the short name given to a particular analyte (reportable result).
lab_analyte;analyte_agg_method;10;NA;description;analyte_agg analysis method
lab_analyte;analyte_algorithm;11;NA;description;analyte_algorithm
lab_analyte;analyte_code;5;NA;description;A character string containing the Analyte Code is a SSL assigned code which identifies a particular analyte. The code is used as a formative element of the method code, reported with the analyte result.
lab_analyte;analyte_data_type;6;NA;description;analyte_data_type
lab_analyte;analyte_desc;12;NA;description;A character string containing the description of the analyte. Some analytes have special meaning in soil characterization, which is different than the conventional analytical meaning.
lab_analyte;analyte_format;7;NA;description;analyte_format
lab_analyte;analyte_key;1;NA;description;analyte key
lab_analyte;analyte_name;3;NA;description;A character string containing the name of the analyte used by the SSL. The analyte is a property or analytical result derived from raw data.
lab_analyte;analyte_size_frac_base;13;NA;description;analyte_size_frac_base
lab_analyte;analyte_source_type;9;NA;description;analyte_source_type
lab_analyte;analyte_type;2;NA;description;analyte_type
lab_analyte;uom_abbrev;8;NA;description;A character string containing the unit of measure abbreviation.
lab_analyte;uom_abbrev;8;NA;unit;--
lab_area;area_abbrev;8;region;value;--
lab_area;area_code;6;region;value;--
lab_area;area_desc;9;region;value;--
lab_area;area_key;1;region;foreign_key;--
lab_area;area_name;7;region;description;The name given to the specified geographic area.
lab_area;area_name;7;region;value;--
lab_area;area_sub_type;3;NA;description;area_sub_type
lab_area;area_type;2;NA;value;--
lab_area;area_type;2;NA;description;The record ID (an integer number) of a particular record (component record, horizon record, etc.) in a particular table (component table, horizon table, etc.). A record ID is not sufficient in and of itself to uniquely identify a record in a table. Each record in a table is uniquely identified by the combination of a record ID and the ID of the database in which the entity (area type, legend or data mapunit), of which the record is a member, was created.
lab_area;parent_area_key;4;NA;foreign_key;--
lab_area;parent_area_key;4;NA;description;parent_area key
lab_area;parent_org_key;5;NA;foreign_key;--
lab_area;parent_org_key;5;NA;description;parent_org key
lab_calculations_including_estimates_and_default_values;percent_passing_2_micron_sieve;79;NA;description;This is the cumulative gravimetric percentage of particles with diameters <2 microns (0.002 mm), reported on a <3 inch base. ( < 75 mm base)
lab_calculations_including_estimates_and_default_values;percent_passing_20_micron_sieve;77;NA;description;This is the cumulative gravimetric percentage of particles with diameters <20 microns (0.02 mm), reported on a <3 inch base. ( < 75 mm base)
lab_calculations_including_estimates_and_default_values;percent_passing_3_eights_inch;72;NA;description;This is the cumulative gravimetric percentage of particles passing through a 3/8 inch sieve, reported on a <3 inch base. ( < 75 mm base)
lab_calculations_including_estimates_and_default_values;percent_passing_3_inch_sieve;35;NA;description;This is the cumulative gravimetric percentage of particles passing through a 3 inch sieve, reported on a <3 inch base.(<75 mm)
lab_calculations_including_estimates_and_default_values;percent_passing_3_quarter_inch;71;NA;description;This is the cumulative gravimetric percentage of particles passing through a 3/4 inch sieve, reported on a <3 inch base. (< 75 mm)
lab_calculations_including_estimates_and_default_values;percent_passing_5_micron_sieve;78;NA;description;This is the cumulative gravimetric percentage of particles with diameters <5 microns (0.005 mm), reported on a <3 inch base.  ( < 75 mm base)
lab_calculations_including_estimates_and_default_values;percent_passing_no_10_sieve;74;NA;description;This is the cumulative gravimetric percentage of particles passing through a No. 10 (2.00 mm) sieve, reported on a <3 inch base.  ( < 75 mm base)
lab_calculations_including_estimates_and_default_values;percent_passing_no_200_sieve;76;NA;description;This is the cumulative gravimetric percentage of particles passing through a No. 200 (0.074 mm) sieve, reported on a <3 inch base. ( < 75 mm base)
lab_calculations_including_estimates_and_default_values;percent_passing_no_4_sieve;73;NA;description;This is the cumulative gravimetric percentage of particles passing through a No. 4 (4.76 mm) sieve, reported on a <3 inch base. ( < 75 mm base)
lab_calculations_including_estimates_and_default_values;percent_passing_no_40_sieve;75;NA;description;This is the cumulative gravimetric percentage of particles passing through a No. 40 (0.42 mm) sieve, reported on a <3 inch base. ( < 75 mm base)
lab_calculations_including_estimates_and_default_values;pores_drained_third_bar_ws;57;NA;description;Drained pores at 1/3 bar tension is the volumetric percent of drained pores at 1/3 bar water tension, reported on a whole soil base. These are defined as noncapillary pores.
