table_id,column_id,of_variable,is_type,with_entry
Appendix_3a_Ahorizon_18Sept2013,NA,NA,note,"A_" in any column heading indicates the data in that column are for the soil A horizon
Appendix_3a_Ahorizon_18Sept2013,NA,NA,control_vocabulary,cm|centimeters; wt. %|weight percent; mg/kg|milligrams per kilogram; <|less than; ≤|less than or equal to; N.S.|no sample (either not collected or lost in shipping); N.D.|not detected; INS|insufficient sample for analysis
Appendix_3a_Ahorizon_18Sept2013,A_LabID,Unique_identifier,value,--
Appendix_3a_Ahorizon_18Sept2013,A_LabID,Unique_identifier,description,unique identifier assigned by the analytical laboratories
Appendix_3a_Ahorizon_18Sept2013,A_LabID,Unique_identifier,identifier,--
Appendix_3a_Ahorizon_18Sept2013,SiteID,Unique_identifier,value,--
Appendix_3a_Ahorizon_18Sept2013,SiteID,Unique_identifier,description,unique identifier assigned by generalized random tessellation stratified design software
Appendix_3a_Ahorizon_18Sept2013,SiteID,Unique_identifier,identifier,--
Appendix_3a_Ahorizon_18Sept2013,StateID,State identifier,value,--
Appendix_3a_Ahorizon_18Sept2013,StateID,State identifier,description,abbreviation for state name as follows
Appendix_3a_Ahorizon_18Sept2013,StateID,State identifier,control_vocabulary,AL|Alabama; AR|Arkansas; AZ|Arizona; CA|California; CO|Colorado; CT|Connecticut; DE|Delaware; FL|Florida; GA|Georgia; IA|Iowa; ID|Idaho; IL|Illinois; IN|Indiana; KS|Kansas; KY|Kentucky; LA|Louisiana; MA|Massachusetts; MD|Maryland; ME|Maine; MI|Michigan; MN|Minnesota; MO|Missouri; MS|Mississippi; MT|Montana; NC|North Carolina; ND|North Dakota; NE|Nebraska; NH|New Hampshire; NJ|New Jersey; NM|New Mexico; NV|Nevada; NY|New York; OH|Ohio; OK|Oklahoma; OR|Oregon; PA|Pennsylvania; RI|Rhode Island; SC|South Carolina; SD|South Dakota; TN|Tennessee; TX|Texas; UT|Utah; VA|Virginia; VT|Vermont; WA|Washington; WI|Wisconsin; WV|West Virginia; WY|Wyoming
Appendix_3a_Ahorizon_18Sept2013,StateID,State identifier,identifier,--
Appendix_3a_Ahorizon_18Sept2013,Latitude,Latitude,value,--
Appendix_3a_Ahorizon_18Sept2013,Latitude,Latitude,unit,Degrees
Appendix_3a_Ahorizon_18Sept2013,Latitude,Latitude,identifier,--
Appendix_3a_Ahorizon_18Sept2013,Longitude,Longitude,value,--
Appendix_3a_Ahorizon_18Sept2013,Longitude,Longitude,unit,Degrees
Appendix_3a_Ahorizon_18Sept2013,Longitude,Longitude,identifier,--
Appendix_3a_Ahorizon_18Sept2013,CollDate,Date_sampled,value,--
Appendix_3a_Ahorizon_18Sept2013,CollDate,Date_sampled,description,date sample was collected in MM/DD/YY
Appendix_3a_Ahorizon_18Sept2013,CollDate,Date_sampled,identifier,--
Appendix_3a_Ahorizon_18Sept2013,LandCover1,NLC_database_land_classification,value,--
Appendix_3a_Ahorizon_18Sept2013,LandCover1,NLC_database_land_classification,description,primary classification from National Land Cover Database 1992 Classification System
Appendix_3a_Ahorizon_18Sept2013,LandCover1,NLC_database_land_classification,identifier,--
Appendix_3a_Ahorizon_18Sept2013,LandCover2,NLC_database_land_classification,value,--
Appendix_3a_Ahorizon_18Sept2013,LandCover2,NLC_database_land_classification,description,secondary classification from National Land Cover Database 1992 Classification System
Appendix_3a_Ahorizon_18Sept2013,LandCover2,NLC_database_land_classification,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Depth,A_horizon_depth,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Depth,A_horizon_depth,unit,cm
Appendix_3a_Ahorizon_18Sept2013,A_Depth,A_horizon_depth,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Quartz,A_horizon_soil_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Quartz,A_horizon_soil_composition,unit,wt. %
Appendix_3a_Ahorizon_18Sept2013,A_Quartz,A_horizon_soil_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Tot_K_fs,A_horizon_soil_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Tot_K_fs,A_horizon_soil_composition,description,total potassium feldspar
Appendix_3a_Ahorizon_18Sept2013,A_Tot_K_fs,A_horizon_soil_composition,unit,wt. %
Appendix_3a_Ahorizon_18Sept2013,A_Tot_K_fs,A_horizon_soil_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Tot_Plag,A_horizon_soil_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Tot_Plag,A_horizon_soil_composition,description,total plagioclase feldspar
Appendix_3a_Ahorizon_18Sept2013,A_Tot_Plag,A_horizon_soil_composition,unit,wt. %
Appendix_3a_Ahorizon_18Sept2013,A_Tot_Plag,A_horizon_soil_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Tot_Flds,A_horizon_soil_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Tot_Flds,A_horizon_soil_composition,description,total feldspar
Appendix_3a_Ahorizon_18Sept2013,A_Tot_Flds,A_horizon_soil_composition,unit,wt. %
Appendix_3a_Ahorizon_18Sept2013,A_Tot_Flds,A_horizon_soil_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Tot_14A,A_horizon_soil_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Tot_14A,A_horizon_soil_composition,description,total 14-angstrom clay minerals
Appendix_3a_Ahorizon_18Sept2013,A_Tot_14A,A_horizon_soil_composition,unit,wt. %
Appendix_3a_Ahorizon_18Sept2013,A_Tot_14A,A_horizon_soil_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Tot_10A,A_horizon_soil_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Tot_10A,A_horizon_soil_composition,description,total 10-angstrom clay minerals
Appendix_3a_Ahorizon_18Sept2013,A_Tot_10A,A_horizon_soil_composition,unit,wt. %
Appendix_3a_Ahorizon_18Sept2013,A_Tot_10A,A_horizon_soil_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Kaolinit,A_horizon_soil_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Kaolinit,A_horizon_soil_composition,description,kaolinite
Appendix_3a_Ahorizon_18Sept2013,A_Kaolinit,A_horizon_soil_composition,unit,wt. %
Appendix_3a_Ahorizon_18Sept2013,A_Kaolinit,A_horizon_soil_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Tot_Clay,A_horizon_soil_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Tot_Clay,A_horizon_soil_composition,unit,wt. %
Appendix_3a_Ahorizon_18Sept2013,A_Tot_Clay,A_horizon_soil_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Gibbsite,A_horizon_soil_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Gibbsite,A_horizon_soil_composition,unit,wt. %
Appendix_3a_Ahorizon_18Sept2013,A_Gibbsite,A_horizon_soil_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Calcite,A_horizon_soil_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Calcite,A_horizon_soil_composition,unit,wt. %
Appendix_3a_Ahorizon_18Sept2013,A_Calcite,A_horizon_soil_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Dolomite,A_horizon_soil_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Dolomite,A_horizon_soil_composition,unit,wt. %
Appendix_3a_Ahorizon_18Sept2013,A_Dolomite,A_horizon_soil_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Aragon,A_horizon_soil_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Aragon,A_horizon_soil_composition,description,aragonite
Appendix_3a_Ahorizon_18Sept2013,A_Aragon,A_horizon_soil_composition,unit,wt. %
Appendix_3a_Ahorizon_18Sept2013,A_Aragon,A_horizon_soil_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Tot_Carb,A_horizon_soil_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Tot_Carb,A_horizon_soil_composition,description,total carbonate minerals
Appendix_3a_Ahorizon_18Sept2013,A_Tot_Carb,A_horizon_soil_composition,unit,wt. %
Appendix_3a_Ahorizon_18Sept2013,A_Tot_Carb,A_horizon_soil_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Analcime,A_horizon_soil_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Analcime,A_horizon_soil_composition,unit,wt. %
Appendix_3a_Ahorizon_18Sept2013,A_Analcime,A_horizon_soil_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Heuland,A_horizon_soil_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Heuland,A_horizon_soil_composition,description,heulandite
Appendix_3a_Ahorizon_18Sept2013,A_Heuland,A_horizon_soil_composition,unit,wt. %
Appendix_3a_Ahorizon_18Sept2013,A_Heuland,A_horizon_soil_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Tot_Zeol,A_horizon_soil_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Tot_Zeol,A_horizon_soil_composition,description,total zeolite minerals
Appendix_3a_Ahorizon_18Sept2013,A_Tot_Zeol,A_horizon_soil_composition,unit,wt. %
Appendix_3a_Ahorizon_18Sept2013,A_Tot_Zeol,A_horizon_soil_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Gypsum,A_horizon_soil_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Gypsum,A_horizon_soil_composition,unit,wt. %
Appendix_3a_Ahorizon_18Sept2013,A_Gypsum,A_horizon_soil_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Talc,A_horizon_soil_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Talc,A_horizon_soil_composition,unit,wt. %
Appendix_3a_Ahorizon_18Sept2013,A_Talc,A_horizon_soil_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Hornbl,A_horizon_soil_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Hornbl,A_horizon_soil_composition,description,hornblende
Appendix_3a_Ahorizon_18Sept2013,A_Hornbl,A_horizon_soil_composition,unit,wt. %
Appendix_3a_Ahorizon_18Sept2013,A_Hornbl,A_horizon_soil_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Serpent,A_horizon_soil_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Serpent,A_horizon_soil_composition,description,serpentine
Appendix_3a_Ahorizon_18Sept2013,A_Serpent,A_horizon_soil_composition,unit,wt. %
Appendix_3a_Ahorizon_18Sept2013,A_Serpent,A_horizon_soil_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Hematite,A_horizon_soil_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Hematite,A_horizon_soil_composition,unit,wt. %
Appendix_3a_Ahorizon_18Sept2013,A_Hematite,A_horizon_soil_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Goethite,A_horizon_soil_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Goethite,A_horizon_soil_composition,unit,wt. %
Appendix_3a_Ahorizon_18Sept2013,A_Goethite,A_horizon_soil_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Pyroxene,A_horizon_soil_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Pyroxene,A_horizon_soil_composition,unit,wt. %
Appendix_3a_Ahorizon_18Sept2013,A_Pyroxene,A_horizon_soil_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Pyrite,A_horizon_soil_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Pyrite,A_horizon_soil_composition,unit,wt. %
Appendix_3a_Ahorizon_18Sept2013,A_Pyrite,A_horizon_soil_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Other,A_horizon_soil_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Other,A_horizon_soil_composition,unit,wt. %
Appendix_3a_Ahorizon_18Sept2013,A_Other,A_horizon_soil_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Amorph,A_horizon_soil_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Amorph,A_horizon_soil_composition,description,amorphous
Appendix_3a_Ahorizon_18Sept2013,A_Amorph,A_horizon_soil_composition,unit,wt. %
Appendix_3a_Ahorizon_18Sept2013,A_Amorph,A_horizon_soil_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Ag,A_horizon_element_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Ag,A_horizon_element_composition,description,silver
Appendix_3a_Ahorizon_18Sept2013,A_Ag,A_horizon_element_composition,unit,mg/kg
Appendix_3a_Ahorizon_18Sept2013,A_Ag,A_horizon_element_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Al,A_horizon_element_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Al,A_horizon_element_composition,description,aluminum
Appendix_3a_Ahorizon_18Sept2013,A_Al,A_horizon_element_composition,unit,wt. %
Appendix_3a_Ahorizon_18Sept2013,A_Al,A_horizon_element_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_As,A_horizon_element_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_As,A_horizon_element_composition,description,arsenic
Appendix_3a_Ahorizon_18Sept2013,A_As,A_horizon_element_composition,unit,mg/kg
Appendix_3a_Ahorizon_18Sept2013,A_As,A_horizon_element_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Ba,A_horizon_element_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Ba,A_horizon_element_composition,description,barium
Appendix_3a_Ahorizon_18Sept2013,A_Ba,A_horizon_element_composition,unit,mg/kg
Appendix_3a_Ahorizon_18Sept2013,A_Ba,A_horizon_element_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Be,A_horizon_element_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Be,A_horizon_element_composition,description,beryllium
Appendix_3a_Ahorizon_18Sept2013,A_Be,A_horizon_element_composition,unit,mg/kg
Appendix_3a_Ahorizon_18Sept2013,A_Be,A_horizon_element_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Bi,A_horizon_element_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Bi,A_horizon_element_composition,description,bismuth
Appendix_3a_Ahorizon_18Sept2013,A_Bi,A_horizon_element_composition,unit,mg/kg
Appendix_3a_Ahorizon_18Sept2013,A_Bi,A_horizon_element_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_C_Tot,A_horizon_soil_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_C_Tot,A_horizon_soil_composition,description,total carbon
Appendix_3a_Ahorizon_18Sept2013,A_C_Tot,A_horizon_soil_composition,unit,wt. %
Appendix_3a_Ahorizon_18Sept2013,A_C_Tot,A_horizon_soil_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_C_Inorg,A_horizon_soil_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_C_Inorg,A_horizon_soil_composition,description,inorganic (carbonate) carbon
Appendix_3a_Ahorizon_18Sept2013,A_C_Inorg,A_horizon_soil_composition,unit,wt. %
Appendix_3a_Ahorizon_18Sept2013,A_C_Inorg,A_horizon_soil_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_C_Org,A_horizon_soil_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_C_Org,A_horizon_soil_composition,description,organic carbon (difference between C_Tot and C_Inorg)
Appendix_3a_Ahorizon_18Sept2013,A_C_Org,A_horizon_soil_composition,unit,wt. %
Appendix_3a_Ahorizon_18Sept2013,A_C_Org,A_horizon_soil_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Ca,A_horizon_element_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Ca,A_horizon_element_composition,description,calcium
Appendix_3a_Ahorizon_18Sept2013,A_Ca,A_horizon_element_composition,unit,wt. %
Appendix_3a_Ahorizon_18Sept2013,A_Ca,A_horizon_element_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Cd,A_horizon_element_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Cd,A_horizon_element_composition,description,cadmium
Appendix_3a_Ahorizon_18Sept2013,A_Cd,A_horizon_element_composition,unit,mg/kg
Appendix_3a_Ahorizon_18Sept2013,A_Cd,A_horizon_element_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Ce,A_horizon_element_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Ce,A_horizon_element_composition,description,cerium
Appendix_3a_Ahorizon_18Sept2013,A_Ce,A_horizon_element_composition,unit,mg/kg
Appendix_3a_Ahorizon_18Sept2013,A_Ce,A_horizon_element_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Co,A_horizon_element_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Co,A_horizon_element_composition,description,cobalt
Appendix_3a_Ahorizon_18Sept2013,A_Co,A_horizon_element_composition,unit,mg/kg
Appendix_3a_Ahorizon_18Sept2013,A_Co,A_horizon_element_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Cr,A_horizon_element_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Cr,A_horizon_element_composition,description,chromium
Appendix_3a_Ahorizon_18Sept2013,A_Cr,A_horizon_element_composition,unit,mg/kg
Appendix_3a_Ahorizon_18Sept2013,A_Cr,A_horizon_element_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Cs,A_horizon_element_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Cs,A_horizon_element_composition,description,cesium
Appendix_3a_Ahorizon_18Sept2013,A_Cs,A_horizon_element_composition,unit,mg/kg
Appendix_3a_Ahorizon_18Sept2013,A_Cs,A_horizon_element_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Cu,A_horizon_element_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Cu,A_horizon_element_composition,description,copper
Appendix_3a_Ahorizon_18Sept2013,A_Cu,A_horizon_element_composition,unit,mg/kg
Appendix_3a_Ahorizon_18Sept2013,A_Cu,A_horizon_element_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Fe,A_horizon_element_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Fe,A_horizon_element_composition,description,iron
Appendix_3a_Ahorizon_18Sept2013,A_Fe,A_horizon_element_composition,unit,wt. %
Appendix_3a_Ahorizon_18Sept2013,A_Fe,A_horizon_element_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Ga,A_horizon_element_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Ga,A_horizon_element_composition,description,gallium
Appendix_3a_Ahorizon_18Sept2013,A_Ga,A_horizon_element_composition,unit,mg/kg
Appendix_3a_Ahorizon_18Sept2013,A_Ga,A_horizon_element_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Hg,A_horizon_element_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Hg,A_horizon_element_composition,description,mercury
Appendix_3a_Ahorizon_18Sept2013,A_Hg,A_horizon_element_composition,unit,mg/kg
Appendix_3a_Ahorizon_18Sept2013,A_Hg,A_horizon_element_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_In,A_horizon_element_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_In,A_horizon_element_composition,description,indium
Appendix_3a_Ahorizon_18Sept2013,A_In,A_horizon_element_composition,unit,mg/kg
Appendix_3a_Ahorizon_18Sept2013,A_In,A_horizon_element_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_K,A_horizon_element_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_K,A_horizon_element_composition,description,potassium
Appendix_3a_Ahorizon_18Sept2013,A_K,A_horizon_element_composition,unit,wt. %
Appendix_3a_Ahorizon_18Sept2013,A_K,A_horizon_element_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_La,A_horizon_element_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_La,A_horizon_element_composition,description,lanthanum
Appendix_3a_Ahorizon_18Sept2013,A_La,A_horizon_element_composition,unit,mg/kg
Appendix_3a_Ahorizon_18Sept2013,A_La,A_horizon_element_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Li,A_horizon_element_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Li,A_horizon_element_composition,description,lithium
Appendix_3a_Ahorizon_18Sept2013,A_Li,A_horizon_element_composition,unit,mg/kg
Appendix_3a_Ahorizon_18Sept2013,A_Li,A_horizon_element_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Mg,A_horizon_element_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Mg,A_horizon_element_composition,description,magnesium
Appendix_3a_Ahorizon_18Sept2013,A_Mg,A_horizon_element_composition,unit,wt. %
Appendix_3a_Ahorizon_18Sept2013,A_Mg,A_horizon_element_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Mn,A_horizon_element_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Mn,A_horizon_element_composition,description,manganese
Appendix_3a_Ahorizon_18Sept2013,A_Mn,A_horizon_element_composition,unit,mg/kg
Appendix_3a_Ahorizon_18Sept2013,A_Mn,A_horizon_element_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Mo,A_horizon_element_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Mo,A_horizon_element_composition,description,molybdenum
Appendix_3a_Ahorizon_18Sept2013,A_Mo,A_horizon_element_composition,unit,mg/kg
Appendix_3a_Ahorizon_18Sept2013,A_Mo,A_horizon_element_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Na,A_horizon_element_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Na,A_horizon_element_composition,description,sodium
Appendix_3a_Ahorizon_18Sept2013,A_Na,A_horizon_element_composition,unit,wt. %
Appendix_3a_Ahorizon_18Sept2013,A_Na,A_horizon_element_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Nb,A_horizon_element_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Nb,A_horizon_element_composition,description,niobium
Appendix_3a_Ahorizon_18Sept2013,A_Nb,A_horizon_element_composition,unit,mg/kg
Appendix_3a_Ahorizon_18Sept2013,A_Nb,A_horizon_element_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Ni,A_horizon_element_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Ni,A_horizon_element_composition,description,nickel
Appendix_3a_Ahorizon_18Sept2013,A_Ni,A_horizon_element_composition,unit,mg/kg
Appendix_3a_Ahorizon_18Sept2013,A_Ni,A_horizon_element_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_P,A_horizon_element_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_P,A_horizon_element_composition,description,phosphorus
Appendix_3a_Ahorizon_18Sept2013,A_P,A_horizon_element_composition,unit,mg/kg
Appendix_3a_Ahorizon_18Sept2013,A_P,A_horizon_element_composition,identifier,--
Appendix_3a_Ahorizon_18Sept2013,A_Pb,A_horizon_element_composition,value,--
Appendix_3a_Ahorizon_18Sept2013,A_Pb,A_horizon_element_composition,description,lead
Appendix_3a_Ahorizon_18Sept2013,A_Pb,A_horizon_element_composition,unit,mg/kg
Appendix_3a_Ahorizon_18Sept2013,A_Pb,A_horizon_element_composition,identifier,--
