table_id,column_id,of_variable,is_type,with_entry
ENTIRE_SOILS_SAMPLE_LOC,CN,Soil_visit,description,A unique sequence number used to identify a soils sample location.
ENTIRE_SOILS_SAMPLE_LOC,CN,Soil_visit,identifier,--
ENTIRE_SOILS_SAMPLE_LOC,PLT_CN,Plot_visit,description,Foreign key linking the soils lab record to the P2 plot record.
ENTIRE_SOILS_SAMPLE_LOC,PLT_CN,Plot_visit,identifier,--
ENTIRE_SOILS_SAMPLE_LOC,INVYR,Inventory_year,description,The year that best represents when the inventory data were collected.
ENTIRE_SOILS_SAMPLE_LOC,INVYR,Inventory_year,identifier,--
ENTIRE_SOILS_SAMPLE_LOC,STATECD,State,description,Bureau of the Census Federal Information Processing Standards (FIPS) two-digit code for each State.
ENTIRE_SOILS_SAMPLE_LOC,STATECD,State,identifier,--
ENTIRE_SOILS_SAMPLE_LOC,COUNTYCD,County,description,"The identification number for a county, parish, watershed, borough, or similar governmental unit in a State. FIPS codes from the Bureau of the Census are used."
ENTIRE_SOILS_SAMPLE_LOC,COUNTYCD,County,identifier,--
ENTIRE_SOILS_SAMPLE_LOC,PLOT,Plot,description,"An identifier for a plot. Along with STATECD, INVYR, and COUNTYCD, PLOT may be used to uniquely identify a plot."
ENTIRE_SOILS_SAMPLE_LOC,PLOT,Plot,identifier,--
ENTIRE_SOILS_SAMPLE_LOC,SMPLNNBR,Sample_number,description,The number corresponding to the subplot where the sample was collected. SMPLNNBR equals the subplot number.
ENTIRE_SOILS_SAMPLE_LOC,SMPLNNBR,Sample_number,control_vocabulary,TBD
ENTIRE_SOILS_SAMPLE_LOC,MEASYEAR,Measure_year,description,The year in which the plot was completed. MEASYEAR may differ from INVYR.
ENTIRE_SOILS_SAMPLE_LOC,MEASYEAR,Measure_year,value,--
ENTIRE_SOILS_SAMPLE_LOC,FORFLTHK,Forest_floor_depth_avg,description,The average forest floor thickness for the subplot measured from the top of the litter layer to the boundary between the forest floor and mineral soil.
ENTIRE_SOILS_SAMPLE_LOC,FORFLTHK,Forest_floor_depth_avg,unit,tenths of inches
ENTIRE_SOILS_SAMPLE_LOC,FORFLTHK,Forest_floor_depth_avg,method,FORFLTHK = (FORFLTHKE + FORFLTHKW + FORFLTHKN + FORFLTHKS) / 4
