Table 1. Characteristics of *Fraxinus uhdei* and mixed *Fraxinus uhdei* - *Acacia koa* stands along an elevational gradient on the island of Hawaii.,,,,,,,,,,,,,
Stand type,Elevation (m),Soil type,Soil pH,Soil organic carbon (%),Soil N (%),Soil P (mg kg<sup>-1</sup>),Stand age (years),*A. koa* Stem density (trees / ha),*F. uhdei* Stem density (trees / ha),*A. koa* Mean DBH (cm),*F. uhdei* Mean DBH (cm),*A. koa* Mean height(m),*F. uhdei* Mean height(m)
*F. uhdei*,730,Histosols,5.3,29.0,1.57,11,33,NA,452,NA,27.1,NA,23.8
*F. uhdei*,950,Histosols,5.9,28.6,1.81,8,32,NA,764,NA,19.2,NA,16.5
*F. uhdei*,1020,Andisols,5.7,23.0,1.78,5,66,NA,1020,NA,31.0,NA,25.8
*F. uhdei*,1140,Histosols,6.2,26.1,1.43,9,37,NA,834,NA,20.8,NA,17.1
*F. uhdei*,1200,Andisols,5.7,27.3,2.07,9,30,NA,643,NA,29.2,NA,22.0
*F. uhdei*,1300,Andisols,5.3,22.3,1.76,12,31,NA,1442,NA,18.4,NA,23.5
*F. uhdei*,1300,Histosols,5.8,23.7,1.15,9,34,NA,693,NA,16.2,NA,15.3
*F. uhdei*,1300,Histosols,5.6,28.4,1.46,6,35,NA,1114,NA,13.4,NA,11.2
*F. uhdei*,1400,Histosols,5.4,18.7,1.08,7,36,NA,796,NA,9.8,NA,9.5
Mixed,1360,Histosols,5.4,21.9,1.29,6,36,212,792,21.0,18.1,16.0,15.2
Mixed,1420,Histosols,5.4,34.6,2.27,6,36,735,750,16.2,16.8,18.8,17.8
Mixed,1420,Histosols,5.6,35.0,2.42,10,36,424,721,19.1,18.7,21.4,17.7
