"Leaf mass per area (LMA), foliar nitrogen, phosphorus, major cations, Î´^{15}N, and Î´^{13}C for native overstory species from sites along the precipitation gradient in Hawai'i. All concentrations are percent dry weight, and values are means with SE in parentheses. Where no SE is reported, a single or composite sample was analyzed. Species names from @Wagner1990.",,,,,,
Condition,Species,Kaniku,Kaupulehu,Manuka,Kaloko,Waiakea
LMA,Acacia koa,-,-,-,-,140 (2)
LMA,Antidesma platyphyllum,-,-,97 (12),72,94 (11)
LMA,Canthium odoratum,181 (20),214 (17),115 (7),-,-
LMA,Diospyros sandwicensis,215 (12),252 (10),141 (6),-,-
LMA,Freycinetia arborea,-,-,-,105 (5),60 (5)
LMA,Myrsine spp.,164,-,99 (10),69 (14),83
LMA,Metrosideros polymorpha,220 (12),203 (21),172 (11),143 (11),145 (9)
LMA,Nestegis sandwicensis,-,-,111 (8),-,-
LMA,Psychotria hawaiiense,-,-,101 (8),120 (13.5),133
LMA,Pouteria sandwicensis,206 (4),202 (12),-,-,-
LMA,Santalum ellipticum,175 (10),159 (25),-,-,-
LMA,Xylosma hawaiiense,108 (3),113 (12),-,-,-
LMA,Average,181 (15),190 (20),119 (11),102 (18),108 (20)
%N,Acacia koa,-,-,-,-,2.37 (.54)
%N,Antidesma platyphyllum,-,-,1.22 (.02),1.38,1.17 (.11)
%N,Canthium odoratum,1.27 (.11),1.30 (.15),1.35 (.15),-,-
%N,Diospyros sandwicensis,0.86 (.05),0.87 (.05),0.93 (.06),-,-
%N,Freycinetia arborea,-,-,-,1.05 (.21),1.58 (.22)
%N,Myrsine spp.,1.27,-,1.06 (.06),1.21 (.22),1.13 (.13)
%N,Metrosideros polymorpha,0.95 (.06),0.93 (.05),0.84 (.02),1.02 (.05),1.03 (.05)
%N,Nestegis sandwicensis,-,-,1.27 (.06),-,-
%N,Psychotria hawaiiense,-,-,1.51 (.05),1.39 (.08),1.23
%N,Pouteria sandwicensis,1.67 (.06),1.70 (.08),-,-,-
%N,Santalum ellipticum,1.13 (.08),0.96 (.07),-,-,-
%N,Xylosma hawaiiense,1.49 (.12),1.40 (.21),-,-,-
%N,Average,1.23 (.11),1.19 (.13),1.16 (.10),1.21 (.09),1.42 (.11)
%P,Acacia koa,-,-,-,-,0.10 (.01)
%P,Antidesma platyphyllum,-,-,0.07 (.01),0.09,0.07 (.01)
%P,Canthium odoratum,0.18 (.05),0.10 (.02),0.09 (.02),-,-
%P,Diospyros sandwicensis,0.11 (.02),0.07 (.01),0.07 (.01),-,-
%P,Myrsine spp.,0.2,-,0.07 (.01),0.11 (.02),0.09 (.01)
%P,Metrosideros polymorpha,0.07 (.01),0.07 (.01),0.06 (.00),0.06 (.01),0.08 (.00)
%P,Nestegis sandwicensis,-,-,0.08 (.01),-,-
%P,Psychotria hawaiiense,-,-,0.09 (.01),0.08 (.01),0.09
%P,Pouteria sandwicensis,0.18 (.03),0.15 (.06),-,-,-
%P,Santalum ellipticum,0.08 (.01),0.24 (.06),-,-,-
%P,Xylosma hawaiiense,0.12 (.02),0.11 (.02),-,-,-
%P,Average (SE),0.13 (.02),0.12 (.03),0.07 (.01),0.09 (.01),0.09 (.01)
%Ca,Acacia koa,-,-,-,-,0.48 (.14)
