Table 1. Soil data collected along gradients in grazing intensity (G) and elevation (E),,,,,,
Sample #,Distance (m),Elevation (m),\% C,$\delta^13$C,$\rho$(g cm-3),TOC (kg C m-2)
G1,20,934,19.1,-18.91,0.47,5.72
G2,50,933,15.0,-20.52,0.42,4.50
G3,80,932,23.9,-20.40,0.37,7.17
G4,100,933,17.4,-21.19,0.44,5.22
G5,131,931,27.0,-19.34,0.31,8.09
G6,151,930,21.1,-20.53,0.43,6.34
G7,181,928,22.0,-20.90,0.40,6.60
G8,231,925,26.2,-17.03,0.33,7.85
G9,271,928,24.1,-19.50,0.36,7.23
G10,332,929,25.5,-19.95,0.35,7.64
G11,372,929,27.2,-17.52,0.29,8.13
G12,422,929,24.4,-18.52,0.31,7.33
G13,472,928,24.8,-18.81,0.29,7.45
G14,522,925,25.8,-19.95,0.35,7.74
G15,583,929,25.0,-17.33,0.36,7.45
G16,633,933,26.5,-19.07,0.29,7.84
G17,673,938,26.5,-19.65,0.30,7.97
G18,723,940,28.0,-16.48,0.24,7.94
G19,774,940,25.7,-17.56,0.36,7.58
G20,824,940,29.5,-15.48,0.25,8.79
G21,1075,944,24.1,-17.56,0.30,7.22
E1,1153,1082,24.5,-19.48,0.46,7.36
E2,950,1048,29.3,-17.75,0.28,8.78
E3,853,1037,28.1,-18.20,0.35,8.43
E4,756,1021,23.6,-20.36,0.39,7.07
E5,649,1016,26.9,-18.46,0.39,8.07
E6,601,1012,19.8,-20.97,0.57,5.95
E7,552,1005,25.3,-20.63,0.48,7.60
E8,504,1000,25.7,-20.28,0.31,7.72
E9,455,996,23.8,-20.47,0.37,7.13
E10,397,991,17.8,-19.69,0.40,5.34
E11,349,984,27.2,-17.59,0.65,8.16
E12,300,979,24.7,-19.84,0.36,7.40
E13,252,972,25.9,-17.91,0.38,7.77
E14,203,964,20.2,-19.76,0.41,6.05
E15,174,961,26.3,-18.97,0.34,7.90
E16,145,958,26.1,-19.29,0.34,7.84
E17,126,956,28.5,-19.32,0.31,8.55
E18,107,955,23.2,-21.50,0.43,6.97
E19,78,952,21.8,-19.71,0.37,6.55
E20,48,949,18.5,-19.59,0.35,5.56
E21,29,947,28.5,-14.69,0.25,8.55
E22,10,944,23.4,-14.88,0.42,7.03
E23,11,943,16.3,-16.17,0.60,4.90
E24,22,942,16.1,-19.98,0.53,4.82
E25,44,940,24.8,-17.44,0.38,7.44
E26,77,937,21.4,-17.66,0.62,6.40
E27,99,935,25.3,-17.94,0.46,7.60
E28,153,927,25.5,-16.71,0.40,7.64
E29,208,922,27.9,-16.26,0.34,8.37
E30,252,917,27.1,-15.80,0.30,8.14
E31,296,912,24.3,-17.07,0.44,7.30
E32,350,906,27.1,-16.64,0.29,8.14
E33,405,901,29.3,-15.71,0.24,8.78
E34,449,897,27.2,-17.56,0.33,8.16
E35,548,889,26.7,-17.50,0.42,8.02
E36,657,878,31.6,-13.28,0.23,9.48
