"Table 1. Bulk density (ρb), organic C (Corg), pH in water, and cation-exchange capacity (CEC) of selected samples of three different soil types under forest and pasture in the Atlantic Zone of Costa Rica.",,,,,,,,,
Soil type,Depth (m),Forest ρb (Mg m-3),Forest Corg (%),Forest pH,Forest CEC (cmol kg-1),Pasture ρb (Mg m-3),Pasture Corg (%),Pasture pH (H2O),Pasture CEC (cmol kg-1)
Eutric Hapludand,0.00-0.05,0.58,7.4,5.6,38.2,0.82,3.95,5.5,48.4
Eutric Hapludand,0.30-0.35,0.83,1.54,6.0,28.0,0.92,2.17,6.1,30.2
Eutric Hapludand,0.60-0.65,0.93,1.42,6.2,16.0,1.04,0.83,6.4,24.8
Oxic Humitropept,0.00-0.05,0.62,5.32,4.3,43.5,0.74,5.07,4.8,30.2
Oxic Humitropept,0.30-0.35,0.83,1.26,4.6,31.1,0.81,1.27,4.9,26.4
Oxic Humitropept,0.60-0.65,0.89,0.79,4.7,29.2,0.81,0.92,4.9,27.5
Andic Humitropept,0.00-0.05,0.66,4.81,3.9,31.9,0.97,3.60,5.4,40.7
Andic Humitropept,0.30-0.35,0.72,0.99,4.4,29.5,0.87,1.02,5.1,27.5

Andic Humitropept,0.60-0.65,0.76,0.75,4.6,24.2,0.85,0.67,5.0,27.5
