"Table 2. Soil organic C contents for two soil types under forest and under pasture with and without correction for compaction.",,,,
Soil type,Depth (m),Forest (Mg ha-1),Pasture corrected (Mg ha-1),Pasture uncorrected (Mg ha-1)
Eutric Hapludand,0.00-0.05,21.5,11.5,16.2
Eutric Hapludand,0.05-0.10,26.6,13.1,18.1
Eutric Hapludand,0.10-0.15,15.8,13.3,14.2
Eutric Hapludand,0.15-0.20,11.0,11.6,12.3
Eutric Hapludand,0.20-0.25,13.9,10.6,11.5
Eutric Hapludand,0.25-0.30,8.5,10.4,9.8
Eutric Hapludand,0.30-0.40,12.7,17.9,18.3
Eutric Hapludand,0.40-0.50,14.5,14.3,13.3
Oxic Humitropept,0.00-0.05,16.5,15.7,18.8
Oxic Humitropept,0.05-0.10,9.9,9.2,8.8
Oxic Humitropept,0.10-0.15,7.9,6.9,8.1
Oxic Humitropept,0.15-0.20,7.0,7.4,6.9
Oxic Humitropept,0.20-0.25,6.6,5.9,6.4
Oxic Humitropept,0.25-0.30,6.0,5.7,5.3
Oxic Humitropept,0.30-0.40,9.9,10.6,10.2
Oxic Humitropept,0.40-0.50,10.2,11.1,10.2
